Timestep,C7,CLAV,LACR,LAJC,LASH,LASI,LCAL,LEJC,LFAradius,LFAsuperior,LFAulna,LHJC,LKJC,LLEL,LLFC,LLMAL,LMEL,LMFC,LMMAL,LMT5,LPSH,LPSI,LSJC,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RAJC,RASH,RASI,RCAL,REJC,RFAradius,RFAsuperior,RFAulna,RHJC,RKJC,RLEL,RLFC,RLMAL,RMEL,RMFC,RMMAL,RMT5,RPSH,RPSI,RSJC,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0101212,0.00660109,0.0050035,0.00185273,0.0103403,0.012594,0.00603801,0.00151049,0.00871785,0.00155281,0.00875116,0.00177767,0.00153605,0.00272652,0.00394864,0.0051793,0.00355154,0.00707609,0.0036502,0.00466032,0.00936943,0.0112524,0.00181388,0.00170015,0.00169859,0.00189898,0.00174139,0.00148397,0.00178468,0.00246774,0.00170819,0.00162554,0.00166924,0.00470603,0.00183998,0.00934723,0.0124778,0.0066467,0.00158646,0.00869958,0.00136129,0.00875315,0.0019566,0.00174138,0.00269146,0.00491606,0.00544158,0.00342181,0.00730688,0.00402009,0.00427871,0.00920627,0.0112222,0.00202285,0.0015697,0.00160556,0.00158349,0.00180544,0.00151955,0.00162065,0.00265879,0.00185908,0.00171018,0.00178729
0,0.0124984,0.00460501,0.00567714,0.00410031,0.0110467,0.012634,0.00534175,0.00182039,0.0107581,0.00198302,0.00648278,0.000828821,0.00217428,0.00376115,0.00426849,0.00815712,0.00344671,0.00841518,0.00571225,0.00647799,0.00970372,0.0115275,0.00119329,0.00321593,0.00305347,0.00390292,0.00208608,0.00136143,0.00261643,0.00179462,0.00124432,0.00174764,0.00157098,0.00446858,0.00361065,0.00517173,0.0140117,0.00507867,0.00349228,0.00572412,0.00307061,0.0115931,0.00126035,0.00229049,0.00299958,0.00339256,0.00672955,0.00518402,0.00945091,0.00643181,0.00780229,0.0121942,0.0117892,0.00551896,0.0024457,0.00379812,0.00303287,0.00236462,0.00339274,0.00256568,0.00376574,0.00512337,0.00419765,0.00448555
1,0.012547,0.00456634,0.00563833,0.00403044,0.0110029,0.0126871,0.00514687,0.00171869,0.0107516,0.0019045,0.00649414,0.00086843,0.00210862,0.00363454,0.00430207,0.00813615,0.00335164,0.00832447,0.00572258,0.00643985,0.00971048,0.0114406,0.00115472,0.00315194,0.00301407,0.00384453,0.00208178,0.00140069,0.0025848,0.00191013,0.00119494,0.00165322,0.00149676,0.00452461,0.00294833,0.00517881,0.0139564,0.00573914,0.00347193,0.00587259,0.00300592,0.0114645,0.00107909,0.00228323,0.00292292,0.00349167,0.00603224,0.00516642,0.00937921,0.00541372,0.00731696,0.012238,0.0116869,0.00552995,0.00244253,0.00341359,0.00291517,0.00213417,0.00313694,0.00247173,0.00257339,0.00511124,0.00416893,0.00446765
2,0.0125466,0.00456587,0.00560666,0.00393813,0.0109686,0.0127114,0.00506559,0.00162952,0.0107096,0.00182759,0.00654509,0.000859503,0.00203416,0.00352815,0.00429514,0.0080602,0.00327201,0.0082467,0.00567017,0.00637195,0.00971142,0.0113709,0.00112347,0.00306453,0.00293826,0.00375116,0.00203444,0.0013759,0.00251552,0.00191598,0.00115535,0.00157385,0.00143408,0.00453375,0.00278086,0.00522937,0.0138814,0.00620485,0.00344258,0.00597362,0.00294494,0.0113783,0.000943552,0.0022128,0.00286119,0.0034087,0.00577477,0.00512814,0.00920292,0.00497613,0.00716993,0.0122188,0.0115995,0.00547553,0.00247319,0.00322041,0.00291583,0.00196362,0.00284076,0.0023818,0.00224033,0.00505686,0.00412707,0.00442529
3,0.0125049,0.00459811,0.00557849,0.00382367,0.0109467,0.0126963,0.00509185,0.00155237,0.0106373,0.00175248,0.00662806,0.000808953,0.00194644,0.00343788,0.00426074,0.00793764,0.00320572,0.00817439,0.00556318,0.00627778,0.0096986,0.0113231,0.00110233,0.00295335,0.00282569,0.0036244,0.00195049,0.00129443,0.00240972,0.00182604,0.00112768,0.00151027,0.00138499,0.00451002,0.00278374,0.00531455,0.013817,0.00629733,0.00339847,0.00602785,0.00288585,0.0113355,0.000871617,0.00219538,0.00279831,0.00320032,0.00580541,0.00507369,0.00897705,0.00491797,0.00714596,0.0121544,0.0115404,0.00537103,0.0025204,0.00311874,0.00289763,0.00186341,0.002557,0.00232478,0.00219332,0.00496339,0.00406393,0.00435474
4,0.0124378,0.00464955,0.00554991,0.00370763,0.0109326,0.0126339,0.00520355,0.00148626,0.0105437,0.00168092,0.0067327,0.000744068,0.0018461,0.00335684,0.0042232,0.00779678,0.00314743,0.00809623,0.00543234,0.00617586,0.00967195,0.0112985,0.00109073,0.0028291,0.0026919,0.0034828,0.00185235,0.00118048,0.00227895,0.00168229,0.00111067,0.00146031,0.00134905,0.00447209,0.00282658,0.00542238,0.0138077,0.00611336,0.00333849,0.00604619,0.002827,0.0113237,0.000877795,0.00230613,0.0027249,0.00297362,0.00595682,0.00501416,0.00877084,0.00502112,0.00714079,0.0120677,0.0115242,0.0052389,0.00254862,0.00303032,0.00282392,0.00185359,0.00237016,0.00234315,0.00221468,0.00484098,0.00397725,0.00425825
5,0.01236,0.00470565,0.00551954,0.0036136,0.0109174,0.0125347,0.00536374,0.00142897,0.0104351,0.00161269,0.00685122,0.000707182,0.00173965,0.00328284,0.00420375,0.00766796,0.00309613,0.00800596,0.0053108,0.00608683,0.00963935,0.0112899,0.00108163,0.00270658,0.0025579,0.00334918,0.00176963,0.00107192,0.00214177,0.00153295,0.00109688,0.00141813,0.00131994,0.00443149,0.00282357,0.00554089,0.0138725,0.00585399,0.00327303,0.00604478,0.00277185,0.0113232,0.000959659,0.00244528,0.00265386,0.00280663,0.00605409,0.00496309,0.00861446,0.00507611,0.00705615,0.0119742,0.0115499,0.00509749,0.00252561,0.00291055,0.00269949,0.00191515,0.00230383,0.00240865,0.00213947,0.00470634,0.00388001,0.00415001
6,0.012284,0.00475532,0.00548716,0.00354156,0.0108982,0.0124292,0.00552173,0.00137534,0.0103216,0.00154589,0.00697237,0.000722847,0.00163595,0.00321822,0.00421107,0.00756174,0.00305618,0.00790407,0.00520891,0.00601306,0.00960567,0.0112854,0.001066,0.00259452,0.00243376,0.00323241,0.001721,0.00100768,0.00201855,0.00141846,0.00107722,0.00137633,0.00128829,0.00439726,0.00270767,0.00565479,0.0139778,0.00570125,0.00321894,0.0060365,0.00272768,0.0113237,0.00107632,0.00249711,0.00260128,0.00271686,0.00600164,0.00492862,0.00850618,0.00497105,0.00687818,0.0118884,0.011595,0.00496492,0.00246283,0.00276572,0.00255466,0.00198841,0.00230264,0.00245388,0.00192766,0.0045813,0.00379403,0.00405206
7,0.012216,0.00479587,0.0054544,0.00346215,0.0108792,0.0123479,0.00564803,0.00131485,0.0102098,0.00147347,0.00708974,0.000756422,0.00154038,0.00315791,0.00422999,0.00745106,0.00302656,0.00779973,0.00510078,0.00593455,0.00957179,0.0112786,0.00104058,0.00248673,0.00231133,0.00311596,0.001692,0.000985872,0.00191546,0.00134099,0.00104741,0.00132647,0.00124573,0.00437323,0.00249942,0.00575244,0.0140579,0.00574474,0.00318596,0.00602678,0.0026991,0.0113291,0.00116105,0.00246171,0.00256487,0.00269701,0.0058175,0.00490789,0.00843135,0.00472787,0.00667525,0.0118192,0.0116312,0.00485138,0.00240003,0.0026271,0.0024326,0.00201968,0.00229729,0.0024468,0.00165159,0.00447766,0.00373096,0.00397677
8,0.0121586,0.0048276,0.0054209,0.00335075,0.0108614,0.0123019,0.00573711,0.00124029,0.0101042,0.00139124,0.00719933,0.00076652,0.00145572,0.00309501,0.00425198,0.00730871,0.00300507,0.00770218,0.00496314,0.00583399,0.0095385,0.0112651,0.00100416,0.00237799,0.00218434,0.00298413,0.00166206,0.000980925,0.00183366,0.00129072,0.00100544,0.00126287,0.00118769,0.00436015,0.00229507,0.00583257,0.0140759,0.00594053,0.00317294,0.00602001,0.00268427,0.0113411,0.00117549,0.00240198,0.00253309,0.00272731,0.00559635,0.00489361,0.00837558,0.00445458,0.00652764,0.0117672,0.0116417,0.00475656,0.00236738,0.00252579,0.00236782,0.00199273,0.00225358,0.0023973,0.00143083,0.00439428,0.00368913,0.00392316
