time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_wrist_flex_r,pos_wrist_dev_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,pos_wrist_flex_l,pos_wrist_dev_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_wrist_flex_r,vel_wrist_dev_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,vel_wrist_flex_l,vel_wrist_dev_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_wrist_flex_r,tau_wrist_dev_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,tau_wrist_flex_l,tau_wrist_dev_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_wrist_flex_r,acc_wrist_dev_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,acc_wrist_flex_l,acc_wrist_dev_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
2.44,-0.117176,-0.0120876,0.151087,0.758931,0.991094,-0.521181,0.511853,-0.0776891,-0.066985,0.087407,-0.0981163,0.00079196,-0.0117021,-0.12678,-0.0225728,0.193244,0.196122,0.186146,0.107962,-0.00922108,-0.110541,0.0554306,-0.292248,-0.270856,-0.0919522,-0.183239,0.506718,1.14862,-0.00328011,0.000992806,0.15012,-0.257837,-0.0198015,0.859002,1.16463,-2.7407e-05,0.000466441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.982177,0,-0.411209,6.82883e-07,-5.4252e-07,1.94634e-08,-4.09727,3.2551,-0.11678,0.511724,0,-0.578084,-0.391175,-3.45497,-0.133289,81.7065,721.655,27.8406,4.63904e-05,0.0174444,0
2.445,-0.118574,-0.0147394,0.154468,0.765684,0.990153,-0.52085,0.512384,-0.0761093,-0.0694533,0.0943539,-0.102956,-0.000928836,-0.0117021,-0.128372,-0.0270284,0.191745,0.201521,0.18538,0.111217,-0.00922108,-0.107168,0.058692,-0.29416,-0.272668,-0.0920471,-0.183857,0.505272,1.1495,-0.00328011,0.000992806,0.152387,-0.258389,-0.0187736,0.86427,1.16419,-2.7407e-05,0.000466441,-0.279584,-0.530366,0.676159,1.35051,-0.188203,0.0663197,0.106311,0.315955,-0.493647,1.38937,-0.968009,-0.344159,0,-0.318476,-0.891132,-0.299741,1.07969,-0.153247,0.650892,0,0.674654,0.652278,-0.382464,-0.36249,-0.0189777,-0.123466,-0.289296,0.175852,0,0,0.453515,-0.110496,0.205587,1.05365,-0.08815,0,0,-0.247214,0.0803502,0.155878,-0.0674748,-0.0593967,0.0503363,-17.4064,3.90723,-0.15424,12.5729,0.748597,-0.0913699,0.0605009,41.0525,-33.4141,-5.25003,2.98001,-106.321,7.70637,0.0147979,-1.78963,12.6964,4.63168,0.234069,-2.3877,-0.32226,0.883955,-0.0208861,0.018703,-0.114853,-3.35319,-1.42922,-0.142072,-0.25219,-0.00554237,-0.0446832,0.0801317,-2.87566,-1.05424,-10.6376,2.71825,1.46414,0.94858,4.83435,7.75954,1.23272,52.352,40.1048,2.15073,0,4.20328,-3.29828,-9.59154,11.637,-30.5708,5.36698,0,5.08519,2.40858,8.02116,6.15873,-7.78801,7.39403,-3.85978,-0.115745,0,0,-21.3083,6.21635,-11.1208,-11.5655,5.02265,0,0,0,0,1,1,0.984593,0,-0.411102,4.634e-06,-4.31696e-06,2.13331e-07,-6.56995,6.12047,-0.302456,0.512984,0,-0.576929,-0.354338,-2.98433,-0.101795,85.7488,722.2,24.6341,4.6442e-05,0.0180929,0.32013
2.45,-0.120043,-0.0174176,0.157583,0.772504,0.989248,-0.520494,0.513037,-0.0743355,-0.0718907,0.10261,-0.106794,-0.00259586,-0.0117021,-0.12986,-0.0315665,0.190007,0.20721,0.183849,0.114605,-0.00922108,-0.103668,0.0620136,-0.295872,-0.274327,-0.0923367,-0.184289,0.503729,1.15038,-0.00328011,0.000992806,0.154122,-0.258786,-0.0180237,0.869249,1.16387,-2.7407e-05,0.000466441,-0.293962,-0.535637,0.622971,1.3641,-0.180883,0.0710626,0.130483,0.354753,-0.487483,1.65113,-0.767485,-0.333406,0,-0.29746,-0.907624,-0.347699,1.13788,-0.306101,0.677727,0,0.70008,0.664321,-0.342358,-0.331696,-0.0579177,-0.0864961,-0.308595,0.175273,0,0,0.346974,-0.0794147,0.149983,0.995826,-0.0630368,0,0,-0.258324,0.080878,0.153471,0.0132152,-0.0727138,0.00805442,-15.1665,3.26751,-0.065124,10.8972,1.21232,-0.180375,0.0658334,40.4464,-33.4781,-4.84081,2.65034,-106.861,7.29033,0.0160496,-3.12251,12.7509,4.60305,0.270201,-2.37788,-0.319694,0.895648,-0.0210732,0.0195976,-0.115743,-3.28445,-1.42133,-0.140815,-0.247516,-0.00608605,-0.0450827,0.0802866,-3.36547,-0.861325,-10.545,2.65468,1.48995,0.922898,4.79821,7.58006,1.76486,50.4433,39.8143,2.06402,0,4.82899,-3.04233,-9.13063,12.0582,-30.7057,4.85145,0,5.11274,2.26968,7.89366,6.34391,-7.76455,7.4512,-3.65842,-0.359921,0,0,-21.1482,6.19883,-11.0118,-11.7075,4.69129,0,0,0,0,1,1,0.985796,0,-0.410945,3.82433e-05,-4.17911e-05,3.9331e-06,-10.4328,11.4007,-1.07296,0.514346,0,-0.575862,-0.328461,-2.63709,-0.0876117,89.8411,721.299,23.9636,4.63994e-05,0.0182307,0.319926
2.455,-0.121597,-0.0201173,0.160434,0.779391,0.988381,-0.520116,0.513809,-0.0723723,-0.074284,0.112126,-0.109636,-0.00421129,-0.0117021,-0.131226,-0.0361807,0.18804,0.213201,0.181551,0.118115,-0.00922108,-0.100039,0.0653919,-0.297386,-0.275827,-0.0928204,-0.184535,0.502094,1.15125,-0.00328011,0.000992806,0.155328,-0.259029,-0.0175491,0.873935,1.16367,-2.7407e-05,0.000466441,-0.310789,-0.539944,0.570246,1.37737,-0.173433,0.0756771,0.154474,0.392653,-0.478659,1.90335,-0.568414,-0.323085,0,-0.273315,-0.922835,-0.393352,1.19817,-0.45963,0.701984,0,0.725644,0.675669,-0.30289,-0.299977,-0.0967404,-0.0492401,-0.326887,0.173474,0,0,0.241233,-0.0484205,0.0949245,0.937288,-0.0395803,0,0,-0.257795,0.0707945,0.138478,0.0583808,-0.0846466,0.0112748,-18.5286,3.53685,0.0208157,12.959,1.11441,-0.163777,0.0767339,42.8766,-33.2831,-4.72083,1.26745,-107.086,6.68565,0.0174073,-2.43075,11.9081,5.08881,0.598,-2.42157,-0.323701,1.0169,-0.0223351,0.0268978,-0.129388,-3.24412,-1.45129,-0.159598,-0.235131,-0.00798645,-0.0472442,0.0772859,-3.35601,-0.675806,-10.1093,2.67107,1.55505,0.913875,4.89561,7.33474,3.48848,45.5088,38.9147,2.01491,0,6.45827,-2.35638,-8.20715,13.1973,-31.1046,3.44268,0,5.21059,1.87681,7.89941,6.85606,-7.721,7.61884,-3.19907,-0.73987,0,0,-20.8117,6.22909,-10.8743,-12.1822,4.22916,0,0,0,0,1,1,0.985039,0,-0.410938,9.04456e-05,-0.000515402,4.90447e-05,-3.57071,20.3476,-1.93624,0.515777,0,-0.57498,-0.324415,-2.47694,-0.0852024,94.075,718.271,24.7072,4.6165e-05,0.0180263,0.318349
2.46,-0.123235,-0.0228339,0.163033,0.786345,0.987553,-0.519715,0.514704,-0.0702256,-0.0765901,0.122781,-0.111505,-0.00577635,-0.0117021,-0.132431,-0.0408538,0.185868,0.219522,0.178475,0.121711,-0.00922108,-0.0962809,0.0688172,-0.298703,-0.277155,-0.0934971,-0.184591,0.50038,1.1521,-0.00328011,0.000992806,0.156014,-0.259115,-0.0173463,0.878317,1.16358,-2.7407e-05,0.000466441,-0.327569,-0.543323,0.5197,1.39073,-0.165658,0.0802465,0.178952,0.429327,-0.461217,2.13089,-0.37384,-0.313011,0,-0.241024,-0.934617,-0.434388,1.26415,-0.615153,0.719197,0,0.751697,0.685053,-0.263393,-0.265696,-0.135345,-0.0111459,-0.342882,0.169774,0,0,0.137175,-0.0172751,0.040553,0.876377,-0.0184346,0,0,-0.236549,0.0486167,0.120241,0.0225113,-0.048705,-0.0034888,-23.9515,4.85695,0.0432693,16.282,0.896909,-0.10284,0.0917859,46.5799,-31.8486,-4.5629,-0.559084,-106.996,6.18271,0.0184543,-1.20565,10.939,5.62367,1.03248,-2.45795,-0.325402,1.18019,-0.0237509,0.0377242,-0.147441,-3.25257,-1.45741,-0.171542,-0.239159,-0.00938851,-0.050065,0.0768017,-3.30393,-0.296296,-10.3483,2.65265,1.63374,0.953868,5.28854,7.35525,6.76932,37.9866,37.3064,2.19129,0,8.94996,-1.24498,-7.15174,15.2069,-31.8195,0.923698,0,5.2131,1.23222,8.52883,7.74753,-7.66968,7.92748,-2.55008,-1.13855,0,0,-20.3529,6.41119,-10.8391,-13.1418,4.02522,0,0,0,0,1,1,0.985134,0,-0.410954,-0.000447088,-0.00184323,0.000136881,7.93081,32.6967,-2.42811,0.517303,0,-0.574137,-0.327426,-2.38239,-0.0810538,97.9332,712.573,24.2432,4.59489e-05,0.0177544,0.275078
2.465,-0.124956,-0.0255579,0.165372,0.793365,0.986765,-0.51929,0.515731,-0.0678951,-0.0787269,0.134385,-0.112442,-0.00728662,-0.0117021,-0.133413,-0.045558,0.183517,0.226223,0.174604,0.12533,-0.00922108,-0.0923921,0.0722733,-0.299807,-0.27829,-0.0943656,-0.184449,0.498602,1.15292,-0.00328011,0.000992806,0.156191,-0.259041,-0.0174145,0.882371,1.16359,-2.7407e-05,0.000466441,-0.344089,-0.544805,0.467958,1.40399,-0.157489,0.0850158,0.205394,0.466103,-0.42737,2.32083,-0.187308,-0.302054,0,-0.196274,-0.940842,-0.470147,1.34019,-0.774251,0.723816,0,0.777762,0.691214,-0.220748,-0.226959,-0.173694,0.0284915,-0.355632,0.164082,0,0,0.0354102,0.0147809,-0.0136427,0.810668,0.00169155,0,0,-0.198713,0.026592,0.101828,0.0273684,-0.053677,-0.0122343,-27.4583,5.98214,0.0442604,17.926,1.18508,-0.116011,0.108603,49.1977,-30.5512,-4.33623,-1.90307,-106.652,5.61652,0.018922,-0.827545,9.53905,5.92809,1.38217,-2.4974,-0.330792,1.32343,-0.0251724,0.0466913,-0.164135,-3.39196,-1.38031,-0.147066,-0.291646,-0.00898764,-0.05223,0.0851612,-3.39759,0.117892,-11.8228,2.49659,1.78185,1.11158,5.90118,7.97368,11.6875,29.375,35.1772,2.22565,0,11.7583,0.143627,-6.34834,18.1736,-32.7779,-2.73608,0,4.73608,0.426447,10.1509,8.97826,-7.58243,8.22559,-1.79799,-1.28186,0,0,-19.8522,6.78994,-10.9112,-14.6048,3.89091,0,0,0,0,1,1,0.985834,0,-0.410878,-0.00192718,-0.00628897,0.000327703,15.8569,51.7459,-2.69636,0.518965,0,-0.573193,-0.326145,-2.25858,-0.0759288,101.728,704.472,23.6829,4.58344e-05,0.017591,0.233116
2.47,-0.126761,-0.028279,0.167417,0.800447,0.986023,-0.518837,0.516905,-0.0653653,-0.0805716,0.146723,-0.112499,-0.00874125,-0.0117021,-0.1341,-0.0502586,0.181008,0.233378,0.169913,0.128881,-0.00922108,-0.0883849,0.07574,-0.300657,-0.2792,-0.0954236,-0.184101,0.496779,1.15371,-0.00328011,0.000992806,0.155872,-0.258797,-0.0177555,0.886059,1.1637,-2.7407e-05,0.000466441,-0.361077,-0.544215,0.408844,1.41647,-0.14858,0.0905737,0.2349,0.505971,-0.368933,2.4677,-0.0114218,-0.290926,0,-0.137482,-0.940124,-0.501888,1.43106,-0.93814,0.710135,0,0.801443,0.693347,-0.169994,-0.182067,-0.211606,0.0696195,-0.364622,0.157672,0,0,-0.0638507,0.0487306,-0.0681986,0.737644,0.0211461,0,0,-0.164046,0.0134321,0.076113,0.0332527,-0.0498714,-0.0181497,-31.002,7.19073,-0.0511382,18.4501,2.38061,-0.250268,0.126871,50.6696,-29.2366,-3.97115,-2.62892,-106.01,4.93895,0.0203114,0.30429,6.76625,5.99248,1.54553,-2.55804,-0.344766,1.43724,-0.0267051,0.0528876,-0.179573,-3.66563,-1.25328,-0.0937849,-0.359675,-0.00742166,-0.0517842,0.0984671,-2.91724,0.433096,-14.5216,2.25579,2.24589,1.4057,6.39309,9.26121,17.6675,21.3437,33.1042,1.93318,0,14.2505,1.66067,-6.08899,22.1935,-33.7703,-7.30712,0,3.36525,-0.493607,12.8062,10.4267,-7.41671,8.41368,-1.00793,-1.06085,0,0,-19.4014,7.33636,-11.0683,-16.4641,3.7736,0,0,0,0,1,1,0.986675,0,-0.410686,-0.00480515,-0.0225477,0.000614743,19.3049,90.5863,-2.46976,0.520827,0,-0.57198,-0.304734,-2.00011,-0.0666434,105.656,693.473,23.1064,4.57568e-05,0.0175703,0.191851
2.475,-0.128639,-0.0309893,0.169098,0.807586,0.985336,-0.518349,0.518239,-0.0626039,-0.0819745,0.159595,-0.111728,-0.0101475,-0.0117021,-0.134431,-0.0549177,0.178346,0.241088,0.164379,0.132249,-0.00922108,-0.0842936,0.0791944,-0.301187,-0.27985,-0.096667,-0.183542,0.49493,1.15447,-0.00328011,0.000992806,0.155068,-0.25837,-0.0183732,0.889336,1.1639,-2.7407e-05,0.000466441,-0.375663,-0.54205,0.336236,1.42775,-0.13735,0.0976022,0.266866,0.552277,-0.280595,2.57442,0.154099,-0.28126,0,-0.0662297,-0.931821,-0.532333,1.54202,-1.10699,0.6736,0,0.818269,0.690879,-0.105963,-0.129934,-0.24869,0.111688,-0.369662,0.152368,0,0,-0.160858,0.0854124,-0.12354,0.655324,0.0400141,0,0,-0.149225,0.00824596,0.0429144,0.0443169,-0.0298565,-0.0292023,-35.7974,9.21255,-0.344033,18.565,4.25391,-0.408906,0.145394,51.4664,-27.2287,-3.37494,-2.91465,-104.975,4.24747,0.0231476,2.75478,2.535,5.84013,1.51122,-2.63623,-0.366429,1.51776,-0.0282929,0.0562789,-0.193316,-4.05069,-1.0903,-0.018281,-0.429521,-0.00494139,-0.0483346,0.114352,-1.43294,0.800958,-18.1823,2.00555,3.03806,1.81679,6.31827,10.9767,23.797,15.0379,31.7628,1.33396,0,16.0018,3.29141,-6.55008,27.3944,-34.4964,-12.4066,0,0.873448,-1.63642,16.2728,11.9076,-7.12158,8.466,-0.220265,-0.515162,0,0,-19.0927,7.95615,-11.2874,-18.5118,3.75126,0,0,0,0,1,1,0.98781,0,-0.410341,-0.0101849,-0.076455,0.000569424,19.7636,148.36,-1.10496,0.522915,0,-0.570423,-0.247921,-1.54117,-0.0492871,109.242,679.085,21.7174,4.5671e-05,0.0176521,0.166991
2.48,-0.130554,-0.0336795,0.170325,0.814775,0.984725,-0.517815,0.519732,-0.0595681,-0.0827826,0.172844,-0.110164,-0.0115205,-0.0117021,-0.134362,-0.0594946,0.175521,0.249483,0.157981,0.135307,-0.00922108,-0.0801804,0.0826079,-0.30131,-0.280202,-0.0980885,-0.182772,0.493076,1.15522,-0.00328011,0.000992806,0.153786,-0.257744,-0.0192731,0.892149,1.16419,-2.7407e-05,0.000466441,-0.382828,-0.538045,0.245325,1.43778,-0.12216,0.106686,0.298457,0.607161,-0.16161,2.64961,0.312913,-0.27459,0,0.0137794,-0.915364,-0.565084,1.67899,-1.27947,0.611567,0,0.822636,0.682697,-0.024599,-0.0703959,-0.284297,0.154018,-0.370763,0.149792,0,0,-0.256321,0.125193,-0.179977,0.562764,0.0587704,0,0,-0.162698,0.0141688,0.00706816,0.0511886,-0.0320554,-0.031603,-41.0519,11.834,-0.756168,18.5893,5.98564,-0.379976,0.161916,51.6762,-25.0767,-2.66017,-2.76771,-103.489,3.50536,0.0265907,5.77099,-2.57457,5.67325,1.39246,-2.73501,-0.393771,1.57499,-0.0299679,0.0571109,-0.205776,-4.54564,-0.882913,0.0753869,-0.525765,-0.00134896,-0.0442265,0.133881,1.03515,1.53694,-22.2776,1.81481,3.90556,2.30836,5.29646,12.6615,29.1652,10.821,31.6441,0.715411,0,16.9149,5.18393,-7.84251,33.9051,-34.6411,-17.601,0,-2.69794,-3.26641,20.238,13.2128,-6.65433,8.43598,0.535888,0.198276,0,0,-18.979,8.52534,-11.5644,-20.498,4.05033,0,0,0,0,1,1,0.989651,0,-0.409797,-0.0212735,-0.229329,-0.0013331,19.3714,208.825,1.21391,0.52523,0,-0.568602,-0.164367,-0.965892,-0.0293118,112.515,661.19,20.0651,4.5582e-05,0.0177624,0.17711
2.485,-0.132442,-0.0363313,0.170994,0.822009,0.984212,-0.517224,0.521356,-0.0562157,-0.0828615,0.186362,-0.107808,-0.0128756,-0.0117021,-0.133871,-0.0639418,0.172499,0.258726,0.150718,0.137925,-0.00922108,-0.0761346,0.0859397,-0.300927,-0.280224,-0.0996764,-0.181791,0.491236,1.15597,-0.00328011,0.000992806,0.15203,-0.256905,-0.0204621,0.894451,1.16458,-2.7407e-05,0.000466441,-0.377652,-0.53036,0.133937,1.44685,-0.102632,0.118228,0.324939,0.670468,-0.0157845,2.70371,0.471133,-0.271013,0,0.0983537,-0.889444,-0.604296,1.84852,-1.45268,0.523562,0,0.809147,0.666364,0.076591,-0.00433173,-0.317569,0.196198,-0.368084,0.150784,0,0,-0.351216,0.16782,-0.237799,0.460274,0.079022,0,0,-0.15975,0.0300984,-0.0286889,0.0559199,-0.0458324,-0.0248578,-45.4883,14.4763,-1.07161,18.3579,6.99974,0.00360617,0.174738,51.0526,-23.28,-1.9308,-2.10655,-101.469,2.68447,0.0300773,8.55634,-7.8748,5.54198,1.23645,-2.84372,-0.423683,1.60302,-0.0315433,0.0550543,-0.215592,-5.11547,-0.624013,0.184092,-0.658234,0.00318791,-0.0406238,0.157079,4.1278,2.99295,-26.4931,1.69423,4.63072,2.84027,3.14355,13.8506,33.3667,8.38717,32.7401,0.111797,0,17.1956,7.55696,-10.0167,41.7909,-33.9695,-22.5499,0,-7.06996,-5.6856,24.4362,14.1562,-5.97254,8.27399,1.25356,1.0771,0,0,-19.044,8.90902,-11.8363,-22.1608,4.40948,0,0,0,0,1,1,0.992531,0,-0.409183,-0.0417043,-0.598048,-0.00914751,18.1212,259.862,3.97475,0.527804,0,-0.566552,-0.0701932,-0.388948,-0.0111581,115.39,639.389,18.3427,4.55013e-05,0.0178414,0.181919
