Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0281804,0.0216565,0.0161878,0.0141905,0.0110177,0.00537351,0.00608699,0.00499183,0.00925131,0.00865215,0.0269469,0.0167564,0.0125448,0.0106041,0.0087329,0.0141193,0.00984671,0.0151053,0.017982,0.00884439,0.00644502,0.00671213,0.0186417,0.0176701,0.00897084,0.00883252,0.00599932,0.00687586,0.0127833,0.0107667,0.0150665,0.0113582,0.00809328,0.00917695,0.00766792,0.0119761,0.0100254,0.0124092,0.00963605,0.00941496,0.00689049,0.0068563
0,0.0285125,0.0176584,0.016838,0.0110658,0.00631875,0.00388247,0.00447903,0.00287618,0.00880694,0.00308769,0.0253746,0.0163547,0.00713407,0.00533348,0.00703598,0.00391951,0.0070138,0.00622048,0.00933635,0.00631333,0.00771022,0.00661915,0.0214125,0.0274656,0.00774164,0.0097747,0.00754512,0.00645581,0.00653631,0.0155021,0.0218649,0.0104015,0.00694598,0.00868074,0.00608096,0.00403208,0.00628412,0.00531499,0.00867489,0.00437327,0.00702103,0.00765264
1,0.0284452,0.0176756,0.0163667,0.0117713,0.00494836,0.00374595,0.00409718,0.00218324,0.00838308,0.00269334,0.0271323,0.0164546,0.00907658,0.00832631,0.00873957,0.00505598,0.00724371,0.00748182,0.00603679,0.00612541,0.00765325,0.00633721,0.0218863,0.0277111,0.0089002,0.0106391,0.00652881,0.00638051,0.00556242,0.0146623,0.0243811,0.010674,0.0034845,0.0058565,0.00498306,0.00243243,0.0056968,0.00515027,0.012523,0.00370851,0.00605934,0.00652212
2,0.0286461,0.0177848,0.0161617,0.012297,0.00551259,0.00370414,0.00391204,0.00233373,0.00808066,0.00268715,0.0277676,0.0164911,0.0119087,0.0106647,0.0103397,0.00728967,0.00739284,0.00895431,0.00297731,0.00593294,0.00728505,0.00597306,0.0223002,0.027889,0.0115739,0.0109195,0.00592552,0.00694907,0.00556698,0.0139568,0.0245658,0.0104747,0.00136561,0.0050472,0.00395061,0.001185,0.00664568,0.00630445,0.011634,0.00337996,0.00540023,0.00574847
3,0.0292372,0.0179881,0.0162646,0.0126127,0.00630573,0.00375029,0.00374535,0.00301561,0.00780044,0.00330837,0.0276261,0.016529,0.0137926,0.0118405,0.0111154,0.00953086,0.00751845,0.010283,0.00355102,0.00562566,0.0064548,0.00533291,0.0226812,0.0279905,0.0137795,0.0105319,0.0053549,0.00757027,0.00611964,0.0132679,0.0222573,0.0100266,0.0046606,0.00760081,0.00484961,0.000875026,0.00876517,0.00870714,0.00940973,0.00327931,0.00482542,0.00508515
4,0.0302445,0.0183261,0.0167415,0.012859,0.0071285,0.00424119,0.00336772,0.00390077,0.007528,0.00447354,0.0275579,0.0166423,0.0147344,0.0122285,0.0113876,0.0118858,0.00809482,0.0117507,0.00843555,0.00526442,0.00502901,0.00417011,0.0230484,0.0278161,0.0160862,0.00962071,0.0045664,0.00800544,0.00696296,0.0125108,0.0179617,0.00970134,0.00607664,0.00947074,0.00717325,0.00207244,0.010617,0.0112182,0.00966757,0.00318954,0.00404959,0.00432705
5,0.031385,0.0188638,0.0175853,0.0133384,0.00825819,0.00508571,0.00262238,0.00452598,0.00750875,0.00587962,0.0281724,0.0168584,0.0154424,0.0123184,0.0117535,0.0145726,0.00948346,0.0135419,0.0142264,0.0053856,0.00324472,0.00247769,0.0233879,0.0269949,0.0180909,0.00844666,0.00334127,0.00809628,0.00810032,0.0116239,0.0140165,0.00983529,0.0046858,0.00895052,0.00940409,0.00309815,0.0115648,0.0126746,0.00944738,0.00303814,0.00295516,0.0034029
6,0.03211,0.0196359,0.0186064,0.0142925,0.00955788,0.00574926,0.00192734,0.00446192,0.00810673,0.00738239,0.029565,0.0171843,0.0164202,0.0123398,0.0124276,0.0174512,0.0112961,0.0154501,0.0200365,0.00643197,0.00254033,0.00169953,0.0236048,0.0254433,0.0190157,0.00732713,0.00173344,0.00771393,0.00954437,0.010636,0.0131245,0.0105783,0.00306693,0.00762782,0.0108249,0.00413248,0.0118849,0.0126949,0.00809636,0.00341206,0.00247796,0.00288101
7,0.0320565,0.0205476,0.0194742,0.0156771,0.010607,0.00574213,0.00282967,0.00366582,0.00926963,0.00886265,0.0313799,0.0176281,0.0174324,0.012285,0.0130907,0.0198265,0.0127333,0.0169016,0.025097,0.00787241,0.00385247,0.00356609,0.0235731,0.0234685,0.0188238,0.00672202,0.00232716,0.0068168,0.0111244,0.00977529,0.0134801,0.0117098,0.00442113,0.00748171,0.011071,0.00608243,0.0122651,0.0119614,0.00716826,0.00471723,0.00397039,0.00385839
8,0.0314667,0.0213915,0.0199149,0.0170773,0.0112757,0.0048353,0.00473237,0.00239418,0.0104839,0.0100632,0.0330927,0.0180966,0.0178978,0.0121652,0.0133986,0.0209426,0.0132801,0.0173874,0.0287928,0.008994,0.00532531,0.00565897,0.0233027,0.0214141,0.0180815,0.00718115,0.00472766,0.00545586,0.0124705,0.00945251,0.0126782,0.0126748,0.00520373,0.00755469,0.0104144,0.00839899,0.0131443,0.0115861,0.00634072,0.00586535,0.0059579,0.00563298
9,0.0309627,0.0220093,0.0198482,0.0179623,0.0117715,0.00365553,0.00637,0.00139388,0.0113421,0.0108663,0.0343255,0.018362,0.0175952,0.0120644,0.0133342,0.0206163,0.012975,0.0169049,0.0309114,0.00959152,0.00635422,0.00727581,0.0230045,0.0195687,0.0173386,0.00883571,0.00644206,0.00386441,0.0132116,0.00997037,0.0109364,0.0130181,0.00503015,0.00781392,0.00983044,0.0102015,0.0143483,0.0121979,0.00550296,0.00600417,0.00725697,0.00714908
10,0.0308645,0.0224008,0.0193931,0.0181237,0.0122822,0.00455752,0.00738519,0.00289169,0.0118312,0.0114428,0.0349191,0.0183067,0.0168467,0.0120184,0.0130761,0.0194315,0.0121449,0.0159267,0.0316412,0.00987558,0.00720796,0.00837877,0.0228777,0.0182905,0.0167835,0.0111463,0.00709092,0.00279903,0.013242,0.01119,0.00926657,0.01279,0.00512799,0.00888964,0.00980751,0.0114208,0.0154285,0.0135565,0.00522389,0.00625768,0.00763352,0.00805412
11,0.0309193,0.0227074,0.0187401,0.0178415,0.0127488,0.00713572,0.00802056,0.00488419,0.0121016,0.0119479,0.0348623,0.0181222,0.0160988,0.0119728,0.0127325,0.0184474,0.0109836,0.0149191,0.0313565,0.0101413,0.00819407,0.009112,0.022911,0.0178535,0.0163136,0.0132461,0.00728911,0.00300875,0.0127723,0.0125331,0.00817825,0.0125503,0.00517606,0.00949981,0.00965496,0.0124461,0.0162079,0.0150144,0.00516698,0.00801524,0.00744505,0.00838315
12,0.0307163,0.023075,0.0180526,0.0175797,0.012963,0.00890027,0.00860882,0.00590053,0.0122316,0.0122861,0.0342618,0.0181347,0.0154775,0.0118413,0.0122551,0.0184047,0.00960915,0.0139763,0.0303138,0.010496,0.00913343,0.00959517,0.022908,0.0181851,0.015731,0.0142791,0.00745904,0.00347484,0.012117,0.0133088,0.00761716,0.0128363,0.0047966,0.00889349,0.00883427,0.0135281,0.016806,0.0161666,0.0047834,0.00952262,0.00710759,0.00822347
13,0.0301966,0.0235438,0.0174283,0.0175323,0.0128091,0.0086339,0.00922614,0.00555707,0.012303,0.0123159,0.0333716,0.0184773,0.0148097,0.0114929,0.0115982,0.0190282,0.00837858,0.0129525,0.0285879,0.0108651,0.00959384,0.00980809,0.022647,0.0189356,0.0148527,0.0137737,0.00721175,0.0034616,0.0115056,0.0131374,0.00736115,0.0136276,0.00463878,0.00764969,0.00756895,0.014659,0.0173369,0.0169801,0.00408914,0.00916128,0.00682501,0.00759163
14,0.0296565,0.0240431,0.0169013,0.0174955,0.0123664,0.00637635,0.00961004,0.00427765,0.0123811,0.0121265,0.0325224,0.0189846,0.0139423,0.0107697,0.010846,0.0195457,0.00777656,0.0118323,0.0263215,0.0111543,0.00942446,0.00965626,0.0220319,0.0197708,0.0135444,0.0119363,0.00607232,0.00361512,0.0110929,0.0121566,0.00740318,0.0145424,0.0050809,0.0064663,0.00625883,0.0158468,0.0177631,0.0174925,0.00354855,0.00750466,0.00653882,0.00655832
15,0.0293511,0.0244511,0.0164688,0.0171711,0.0118015,0.00325921,0.00923702,0.00363753,0.0123792,0.0118829,0.0319521,0.0193743,0.0129261,0.00963506,0.0100887,0.0195702,0.00794845,0.0108388,0.0239443,0.0112868,0.00882186,0.00913108,0.0211341,0.0205131,0.011769,0.00960284,0.00406616,0.00467148,0.0109271,0.010899,0.00793417,0.0152524,0.00566602,0.00542466,0.00499609,0.017142,0.0179571,0.0176203,0.00356272,0.00647486,0.00601333,0.00540463
16,0.0292566,0.0246741,0.016104,0.0165219,0.0112197,0.00184065,0.00790705,0.0046858,0.0121674,0.0115244,0.0317278,0.0195057,0.0118992,0.00820821,0.00930878,0.0191995,0.00861064,0.0102054,0.0221089,0.0111611,0.00804061,0.00836066,0.0201164,0.0211267,0.00965852,0.00777061,0.00220517,0.00605567,0.0108669,0.00992564,0.00897583,0.0156336,0.00610654,0.00424666,0.00362051,0.0183357,0.0177877,0.017247,0.00410135,0.0066647,0.00527208,0.00453637
17,0.0292019,0.0247029,0.0157612,0.0157895,0.0106549,0.00321778,0.00612617,0.00589904,0.0117619,0.0108966,0.0317563,0.0194397,0.0109053,0.00666039,0.00848324,0.0186881,0.0093993,0.0100366,0.0213744,0.0107062,0.00720718,0.00751715,0.0191357,0.021656,0.0075405,0.00692243,0.00250496,0.00707163,0.010691,0.00944759,0.0103516,0.0157683,0.00647574,0.00285605,0.00216114,0.018912,0.0171712,0.0164142,0.00523793,0.00691277,0.00469614,0.00415274
