Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSH,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RLMAL,RMEL,RMMAL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0266785,0.0228271,0.0169001,0.0167641,0.0198569,0.00699716,0.00608983,0.0079082,0.00834836,0.0096282,0.0313882,0.0124839,0.01221,0.019595,0.0164474,0.0106329,0.0166557,0.0240103,0.0235751,0.0359938,0.00965383,0.00818054,0.00805386,0.0193476,0.0131526,0.0290895,0.00739132,0.00690929,0.00891473,0.00943063,0.0234351,0.00964411,0.0343875,0.0468655,0.0131709,0.024801,0.0168337,0.0129676,0.0181621,0.0270572,0.0302195,0.0545151,0.00890364,0.00662591,0.0064972
0,0.0276942,0.0227404,0.0291898,0.0117949,0.0142437,0.00908193,0.014669,0.0161157,0.017351,0.0208102,0.0184708,0.015178,0.00849627,0.0388888,0.0299417,0.0164528,0.0271481,0.034953,0.0429471,0.0276818,0.0207405,0.0193913,0.0195406,0.0255525,0.0213985,0.032648,0.00838567,0.00564511,0.0106267,0.00900182,0.0415405,0.00639658,0.0335126,0.0652676,0.0137482,0.00717318,0.00597843,0.0223982,0.013302,0.0082961,0.0115252,0.0688597,0.00964469,0.0064288,0.00875688
1,0.027776,0.0225078,0.0294556,0.0100235,0.0136152,0.00906878,0.013627,0.0155301,0.0157916,0.0208217,0.016954,0.0147996,0.00961883,0.0370434,0.0297964,0.0160119,0.0259818,0.0323035,0.0413098,0.0270715,0.020106,0.0192528,0.0182892,0.025979,0.0219605,0.0185978,0.00640485,0.00385043,0.0116413,0.00761947,0.0295092,0.00550248,0.0230718,0.0476705,0.0139646,0.00987535,0.0050237,0.0124789,0.00877063,0.00579153,0.0135996,0.0551515,0.00926222,0.00560443,0.00764811
2,0.0278782,0.0222102,0.0293478,0.00878657,0.0141076,0.00938115,0.0123821,0.0149027,0.0139522,0.020337,0.0150271,0.0138007,0.0107209,0.0341464,0.0291582,0.0146427,0.0252231,0.0294471,0.039008,0.0275727,0.0189338,0.0185924,0.0166683,0.0260725,0.0230222,0.0111924,0.00532464,0.00227257,0.0125325,0.00701917,0.0234264,0.00550026,0.0211732,0.0347111,0.0140635,0.0154918,0.0102752,0.0120818,0.0065704,0.00798216,0.0168269,0.0445498,0.00917325,0.00516753,0.00683928
3,0.0280757,0.0219728,0.0286623,0.00889906,0.0150093,0.00971232,0.0107545,0.0140346,0.0115656,0.0188966,0.013101,0.0121932,0.0112931,0.0307377,0.0280414,0.0130212,0.0252676,0.0269956,0.0362342,0.0285113,0.0167553,0.0169359,0.0142501,0.0258977,0.0244197,0.0091425,0.00455972,0.00124232,0.0124497,0.0076151,0.0209411,0.00631308,0.0226301,0.0268158,0.0136337,0.0192052,0.0131478,0.0158709,0.00688706,0.0104541,0.0188302,0.0358421,0.00972332,0.0053147,0.0065746
4,0.0282122,0.0218585,0.0273719,0.010684,0.0157207,0.00991659,0.00886113,0.0129422,0.00881164,0.0162798,0.0116449,0.0103931,0.0111371,0.0273898,0.0264254,0.0116216,0.0258901,0.0254669,0.0330384,0.0294628,0.0134902,0.0140752,0.0109056,0.0254555,0.0255349,0.00847729,0.00388063,0.00228447,0.0110776,0.00941186,0.0195436,0.00818063,0.0226436,0.0226161,0.012532,0.0206816,0.0137761,0.0176295,0.00836832,0.0108264,0.0188323,0.0290551,0.0112933,0.00659691,0.00735497
5,0.0280563,0.021758,0.0254986,0.0132963,0.0157289,0.0101572,0.00702278,0.0117915,0.00634931,0.0128177,0.0106358,0.00897171,0.0104839,0.0243588,0.024525,0.010523,0.0262865,0.0246757,0.0293555,0.0299778,0.00966285,0.0103527,0.0071059,0.0248462,0.025821,0.00848381,0.00425086,0.00430491,0.0089353,0.0119577,0.0171744,0.0107942,0.021,0.0192676,0.0113595,0.0201201,0.0121554,0.0157663,0.00970472,0.00938372,0.0172781,0.0245638,0.0137267,0.00882617,0.00929116
6,0.0275498,0.0214072,0.0231362,0.0155895,0.0147704,0.0106477,0.00543656,0.0107943,0.00505851,0.00936503,0.00977396,0.00828437,0.00974572,0.0215861,0.0226981,0.00957382,0.0257596,0.023731,0.0252605,0.0296927,0.00609305,0.00655835,0.00387222,0.0242672,0.0252761,0.010736,0.00623568,0.00636851,0.00724968,0.0145469,0.0134432,0.0132124,0.0198194,0.0158402,0.0111109,0.0184036,0.00899599,0.0117115,0.010564,0.00842468,0.015541,0.0219442,0.0161326,0.0109857,0.0115786
7,0.0268984,0.0206488,0.0206013,0.0169056,0.0129981,0.0112692,0.00401306,0.0100302,0.00523821,0.00677001,0.00909838,0.00833966,0.0092794,0.0190588,0.0211465,0.00866942,0.0242578,0.0218911,0.0211811,0.0286103,0.00342239,0.00347792,0.00222935,0.0238468,0.024336,0.0142315,0.00865897,0.00805325,0.00714378,0.0164149,0.00991354,0.0146577,0.0201492,0.013422,0.0122666,0.0164552,0.00587142,0.0080761,0.0110281,0.00869745,0.0145278,0.0202815,0.0174671,0.0122184,0.013177
8,0.0263781,0.019577,0.0184029,0.0172929,0.0109249,0.0115933,0.00257752,0.00932067,0.0061234,0.00522572,0.00897308,0.00882683,0.00931623,0.017015,0.0198028,0.00783864,0.0222986,0.0192057,0.0177277,0.0272387,0.00217193,0.00184108,0.0018301,0.0235658,0.0234546,0.0167233,0.0103452,0.0090236,0.00806146,0.0170503,0.00823103,0.0148296,0.0205192,0.0132064,0.0141658,0.0143398,0.00476926,0.00611182,0.0114316,0.00811011,0.0141795,0.019043,0.0171196,0.0122664,0.0134807
9,0.0261022,0.0184295,0.0169645,0.0173234,0.00904309,0.0112298,0.00121597,0.00838775,0.00696047,0.00463433,0.00955981,0.00919351,0.00966062,0.0156897,0.0185116,0.00715926,0.020528,0.016444,0.0153807,0.0263607,0.00237905,0.0021023,0.00164726,0.0233607,0.0229473,0.0171107,0.0106585,0.00908069,0.00876978,0.016405,0.00819562,0.0138093,0.019647,0.0149213,0.0155603,0.0115751,0.00588271,0.00518986,0.0120345,0.00667632,0.0140751,0.0182693,0.0152099,0.011326,0.0125123
10,0.0259756,0.0174608,0.0163721,0.0176048,0.00751959,0.0101416,0.000425311,0.00720185,0.0074355,0.0050647,0.0107442,0.00895524,0.00960016,0.0150322,0.0172437,0.00665564,0.019279,0.0144294,0.0144032,0.0265542,0.00279433,0.0023613,0.00180117,0.0231907,0.0229754,0.0157333,0.00962739,0.00831011,0.00893046,0.0148397,0.00884116,0.0119135,0.0180851,0.0172958,0.0159042,0.00806143,0.00711217,0.00456925,0.0127764,0.00644408,0.0138548,0.0180266,0.0125204,0.00966199,0.0107617
11,0.0258348,0.0168603,0.0163904,0.0182584,0.00635322,0.00872975,0.000696527,0.00630358,0.00752088,0.00588924,0.012499,0.00796033,0.00856242,0.0148153,0.0161263,0.00631466,0.0184026,0.0132528,0.0146096,0.0279937,0.00279857,0.00164045,0.00227521,0.0229607,0.0233542,0.0137337,0.00783162,0.00713494,0.00891426,0.0128788,0.0094502,0.00958027,0.0170688,0.0192935,0.0157253,0.0046565,0.00786472,0.00427712,0.0133852,0.00734697,0.0135845,0.0179885,0.0100395,0.00756934,0.00887243
12,0.0256539,0.0166966,0.0166972,0.0188862,0.00558644,0.00760473,0.00145011,0.00647597,0.00730862,0.00643104,0.0148921,0.00635861,0.006864,0.0148191,0.0153132,0.00612054,0.0174679,0.0124896,0.0153346,0.0305858,0.00238415,0.00119215,0.0030168,0.0225212,0.0236476,0.0120183,0.0059994,0.00614648,0.00906487,0.0109891,0.00976646,0.00723925,0.0170219,0.0206338,0.015826,0.00352011,0.00857284,0.00435001,0.0136706,0.00793791,0.0136067,0.0177766,0.00847034,0.00573388,0.00737761
13,0.025574,0.0169089,0.0171188,0.0190672,0.00516442,0.00711328,0.00244562,0.00753724,0.00688159,0.00666543,0.0178536,0.0045032,0.00568468,0.0149388,0.0148808,0.00607197,0.0160647,0.0120564,0.0161082,0.0340289,0.00183885,0.00285146,0.00385308,0.0218409,0.023577,0.0106742,0.00462434,0.00579746,0.00928756,0.00948849,0.0101826,0.00523998,0.0175451,0.0216129,0.0164743,0.00530867,0.00963791,0.00459653,0.0136914,0.00795535,0.0140906,0.0173893,0.00800551,0.00513374,0.00654985
14,0.025728,0.0173786,0.0176691,0.0187479,0.00485777,0.0070995,0.00329503,0.00868179,0.00627995,0.0068221,0.0210952,0.00315964,0.0056801,0.0152022,0.0147905,0.00623572,0.0140949,0.0122415,0.0168995,0.0377452,0.00184302,0.00420492,0.00432423,0.0210567,0.0232575,0.00933552,0.00383592,0.00610322,0.00934201,0.00848902,0.0112134,0.00384717,0.0180837,0.0224816,0.0174194,0.00781273,0.0111735,0.00511066,0.0136766,0.00802621,0.0150601,0.0170791,0.00838377,0.0055332,0.0063034
15,0.0261009,0.0179988,0.0183791,0.0181034,0.00450403,0.00725205,0.00388471,0.00949942,0.00556696,0.00696412,0.0242104,0.00370467,0.00614404,0.0155936,0.0148706,0.00669688,0.0118724,0.013153,0.0177232,0.040929,0.0027749,0.00449994,0.00417507,0.0203038,0.0230915,0.00779682,0.00354348,0.00673962,0.00921291,0.007901,0.0130023,0.00312562,0.018074,0.0231123,0.0184174,0.0104646,0.0131019,0.00604009,0.0138217,0.00886054,0.0166145,0.0171482,0.00915762,0.00575263,0.00632674
16,0.0265723,0.0186794,0.0191211,0.017173,0.00434552,0.00741355,0.0042837,0.0099235,0.00486323,0.00698052,0.0267935,0.0057466,0.00658574,0.0159065,0.0148836,0.00742036,0.00983802,0.014532,0.0184453,0.0428499,0.00420967,0.00397051,0.00361243,0.0195932,0.0233963,0.00687764,0.00361573,0.00740081,0.00904551,0.00756994,0.015531,0.00283855,0.0170817,0.0234375,0.0194304,0.0131783,0.0152216,0.00748182,0.0141758,0.010296,0.0187665,0.0179179,0.00990907,0.00559931,0.00645757
17,0.027041,0.0193436,0.0196475,0.0158138,0.00515234,0.00755663,0.00442203,0.00998968,0.00425833,0.00674699,0.0285192,0.0082246,0.0071045,0.0158299,0.0146605,0.00826413,0.00832585,0.015988,0.0189408,0.0431777,0.00588174,0.00360024,0.00315612,0.0188616,0.0241087,0.0083475,0.00390207,0.00797464,0.008977,0.00741384,0.018819,0.00279006,0.0154133,0.0239776,0.0204492,0.0158999,0.0172611,0.00937825,0.0147211,0.0116069,0.021115,0.0193661,0.0103525,0.00601407,0.00682029
18,0.0274804,0.0199101,0.0197855,0.0140446,0.00718189,0.00767927,0.00412829,0.00976979,0.00383275,0.00619929,0.0291863,0.010805,0.00784887,0.015184,0.0141888,0.0091143,0.00784479,0.017171,0.0192125,0.0420142,0.00756536,0.00412309,0.00321811,0.018137,0.0248633,0.0116566,0.00426546,0.00851049,0.00911116,0.00738903,0.0226047,0.00293874,0.0143265,0.0252903,0.0213875,0.0183844,0.0189154,0.0113303,0.0153587,0.0124372,0.023022,0.0207656,0.0104317,0.00748419,0.0075165
19,0.0279038,0.0203088,0.0195952,0.0122807,0.00968892,0.00776768,0.00339574,0.0093689,0.00382622,0.00535719,0.0286947,0.0133894,0.00879217,0.0140377,0.0136093,0.00995987,0.0085846,0.0176918,0.019264,0.0396512,0.00895259,0.00494924,0.00372958,0.0175856,0.0252694,0.014873,0.00459638,0.00908896,0.00945522,0.00737624,0.0260591,0.00313895,0.0145424,0.0269996,0.0221601,0.019913,0.0198137,0.0128136,0.0158779,0.0130576,0.0241129,0.0214758,0.0103788,0.00916202,0.00834413
20,0.0283213,0.0205328,0.0193342,0.0111234,0.0118486,0.00781682,0.00249514,0.00891222,0.00444727,0.00433292,0.0270796,0.0158914,0.00977627,0.0125334,0.0130194,0.0108238,0.00938893,0.01711,0.0188933,0.0363586,0.00983766,0.0054598,0.0044544,0.0173892,0.0251133,0.0167632,0.00477777,0.00969472,0.00988304,0.00721209,0.0282013,0.00323163,0.0150513,0.0283528,0.0227498,0.0196569,0.0197142,0.0135537,0.016192,0.0138567,0.0242689,0.0220452,0.0104792,0.0102274,0.008968
21,0.0287231,0.020661,0.019251,0.0109147,0.0131031,0.00784347,0.00194162,0.00850646,0.00549001,0.00328772,0.0245577,0.0181712,0.0105788,0.0108019,0.012409,0.0116135,0.00910043,0.0152519,0.0176487,0.0322775,0.0102813,0.00563748,0.00528524,0.0175657,0.0243357,0.016726,0.00469788,0.0102294,0.0102643,0.00680011,0.0284229,0.00325598,0.0148643,0.0288142,0.0231488,0.0174635,0.0187674,0.0135348,0.0164515,0.0145314,0.0232898,0.0230404,0.0106806,0.0104746,0.0091922
22,0.0290452,0.020788,0.0194006,0.0115835,0.0131593,0.00787713,0.00220211,0.00822565,0.00660601,0.00238795,0.0215525,0.0200736,0.0109868,0.00929937,0.0121002,0.0120619,0.00826426,0.0125461,0.0150348,0.02745,0.0105295,0.00576584,0.00618951,0.0179029,0.0229502,0.0146886,0.00433411,0.0106784,0.0105888,0.00618511,0.0266345,0.0034906,0.0141846,0.0277406,0.0233154,0.0140422,0.0172445,0.0127452,0.0166155,0.01436,0.0209816,0.0231858,0.0107113,0.0101466,0.00906975
23,0.0292246,0.0209431,0.0195908,0.0129072,0.0119805,0.00793501,0.00300685,0.0080203,0.00761943,0.0018096,0.018796,0.0214345,0.0108222,0.00893465,0.0129402,0.011886,0.00823597,0.0096808,0.0108435,0.0220632,0.0107601,0.00608356,0.0071004,0.0181282,0.0210636,0.0111817,0.00381462,0.0110725,0.0108353,0.00546493,0.0231589,0.00409608,0.0136987,0.0245202,0.0231646,0.0102985,0.01503,0.011119,0.0162482,0.0138223,0.0175101,0.020766,0.0104078,0.0095607,0.00873752
24,0.0291963,0.021116,0.0196007,0.0145004,0.00972365,0.00794312,0.00387051,0.00784005,0.00846631,0.0017669,0.0173854,0.0222128,0.0101305,0.0101121,0.0151372,0.0111587,0.00823545,0.00698866,0.00584005,0.0164867,0.0109159,0.00654834,0.00788011,0.0180144,0.0189397,0.00732676,0.00346078,0.0114961,0.0110304,0.00480477,0.0184915,0.00496708,0.0138219,0.0192926,0.022698,0.00724588,0.0119925,0.0087731,0.0155172,0.0157277,0.0136518,0.0151207,0.00985146,0.00892278,0.00835873
25,0.0289562,0.0212735,0.0193611,0.0159627,0.00668761,0.00782484,0.00452315,0.00767756,0.00912104,0.0021694,0.0181094,0.0225024,0.00921445,0.0119893,0.0172988,0.0103426,0.00667756,0.00428627,0.00400486,0.0111998,0.0108115,0.00696703,0.00838803,0.0175308,0.0169902,0.00507411,0.00361388,0.0119327,0.0112331,0.00438721,0.0131944,0.00590345,0.0146239,0.0139549,0.0220123,0.00740175,0.00879481,0.0060897,0.0155893,0.0212112,0.011019,0.0065771,0.00921678,0.00830561,0.00806153
26,0.0285783,0.0213961,0.0189299,0.0170318,0.00398017,0.00756455,0.00482487,0.0075693,0.0095454,0.00267273,0.0204844,0.0224562,0.00849792,0.0137946,0.0178551,0.00980809,0.00380167,0.00222613,0.00778068,0.00730608,0.0103104,0.0071332,0.0085089,0.0168236,0.0155882,0.0064411,0.00429738,0.0122631,0.01151,0.00426841,0.00819752,0.00672178,0.0162401,0.013812,0.0212651,0.0118894,0.00758242,0.00359215,0.0169314,0.0278923,0.0120531,0.00665099,0.00867296,0.00776287,0.00793119
27,0.0281663,0.0214904,0.0183606,0.017618,0.0054338,0.00717102,0.0047666,0.00756142,0.00970097,0.00307013,0.023331,0.0221895,0.0082225,0.0153242,0.0165132,0.00951153,0.00193482,0.00484134,0.0114663,0.00701726,0.00944618,0.00692178,0.00817841,0.0160683,0.0147926,0.00973874,0.00522954,0.0123998,0.011855,0.00430091,0.00586979,0.00731816,0.0187386,0.0207858,0.0205822,0.0181648,0.00999543,0.00167807,0.0185372,0.0338179,0.0170032,0.0193143,0.00834029,0.00737517,0.00798888
28,0.0277936,0.0215712,0.0176657,0.0178028,0.00944616,0.00662299,0.00446364,0.00768821,0.00960875,0.00331832,0.0258621,0.0217314,0.00831789,0.0164091,0.0143711,0.00922625,0.00325781,0.0094568,0.0137326,0.0093285,0.00840637,0.00634117,0.00740698,0.0153655,0.0143211,0.0133937,0.00611426,0.0123537,0.0121513,0.00431307,0.00786784,0.00771818,0.0218429,0.030153,0.019953,0.0245125,0.0142117,0.000773794,0.0197341,0.0385023,0.0238862,0.0324463,0.00825844,0.00719958,0.00819087
29,0.0274636,0.0216575,0.0168927,0.0178157,0.0125532,0.0059125,0.00407615,0.00797613,0.00936874,0.00349535,0.0279769,0.0210462,0.00859216,0.0166878,0.012969,0.00895334,0.00449994,0.0140242,0.0144711,0.0116141,0.00739822,0.00551026,0.0062868,0.0147511,0.0138226,0.0168428,0.00677048,0.0121701,0.0122536,0.0042726,0.0108838,0.00801583,0.0251547,0.0392473,0.0192895,0.0300752,0.0186155,0.00161296,0.0208344,0.0421812,0.0311385,0.0446272,0.00840507,0.00721588,0.00847444
30,0.0271081,0.0217712,0.0161503,0.0179372,0.013222,0.00515685,0.00372792,0.00841179,0.00910555,0.00373638,0.0297767,0.0200719,0.00885545,0.0160649,0.0130427,0.00900703,0.00464002,0.0173796,0.0139808,0.0131247,0.00654021,0.00460354,0.00498556,0.0142651,0.0131483,0.019851,0.00713196,0.0118292,0.0120672,0.0042088,0.0133335,0.00826053,0.0284576,0.0470486,0.0185954,0.0345561,0.0225023,0.00297974,0.0222425,0.0450061,0.0377714,0.0552635,0.00871271,0.00730551,0.00876116
31,0.0266325,0.0219273,0.0155273,0.0183138,0.0112405,0.00456567,0.00347006,0.00893973,0.00888082,0.0041568,0.0309791,0.0187637,0.00892254,0.0150804,0.0142014,0.00949195,0.00327576,0.0182798,0.0126649,0.0139852,0.00588092,0.00381445,0.00373393,0.0139487,0.0124153,0.0224512,0.00719102,0.011268,0.0115866,0.00408396,0.0151536,0.0084493,0.0317116,0.0532656,0.0180213,0.0379362,0.0255408,0.00451721,0.0236572,0.0467699,0.04328,0.0641522,0.00907976,0.0073283,0.00895752
32,0.0259989,0.0221141,0.0150337,0.0188716,0.00781495,0.00426668,0.00328271,0.0094997,0.00867434,0.00478477,0.0305853,0.0171183,0.00866955,0.014443,0.0158549,0.010362,0.000590336,0.0158434,0.0111145,0.0150113,0.00549741,0.00335776,0.00280766,0.0138038,0.0118037,0.0248211,0.00696643,0.0104852,0.0109033,0.0038158,0.0165634,0.00865235,0.034873,0.0579936,0.0177116,0.0401673,0.0276115,0.00611624,0.0243285,0.0471392,0.0474619,0.071288,0.0093865,0.00723086,0.0089876
33,0.025276,0.0222955,0.014658,0.0195008,0.00437524,0.00420186,0.00308701,0.0100666,0.00840556,0.00558349,0.0271434,0.015175,0.00819178,0.0145935,0.0179552,0.0117788,0.00331702,0.0106365,0.0103845,0.0164532,0.00550664,0.00340074,0.00242765,0.0138113,0.0113559,0.0270361,0.00656095,0.00960808,0.0102218,0.00346254,0.0177289,0.00909455,0.0377984,0.0614806,0.0176847,0.041085,0.0287227,0.00776563,0.0238738,0.0459781,0.0501282,0.0767875,0.00952242,0.00708851,0.00884521
34,0.0247553,0.0225041,0.0142931,0.0204658,0.00244476,0.00423868,0.00290489,0.0105544,0.00806687,0.00644897,0.0205834,0.0128699,0.00768837,0.0156699,0.0205921,0.0133561,0.00697003,0.00601098,0.0115072,0.0168066,0.00585057,0.00381897,0.0024452,0.0139745,0.0109682,0.0289649,0.00632667,0.008704,0.00974103,0.00326053,0.0187001,0.00987149,0.0402661,0.0639154,0.0177749,0.0406261,0.0289487,0.00951848,0.0227611,0.0435268,0.051117,0.0808235,0.00917794,0.00683705,0.00841614
