time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_wrist_flex_r,pos_wrist_dev_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,pos_wrist_flex_l,pos_wrist_dev_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_wrist_flex_r,vel_wrist_dev_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,vel_wrist_flex_l,vel_wrist_dev_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_wrist_flex_r,tau_wrist_dev_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,tau_wrist_flex_l,tau_wrist_dev_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_wrist_flex_r,acc_wrist_dev_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,acc_wrist_flex_l,acc_wrist_dev_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0.83,-0.0972225,0.0340208,-0.0543074,1.22616,1.02573,-0.318331,0.403172,0.052715,0.0679063,-0.244742,0.197169,-0.0103617,-0.0050004,-0.122641,0.0764442,-0.0645848,-0.615735,-0.158587,-0.0290214,-0.00540595,-0.100279,0.0374941,-0.0455161,-0.88234,-0.224368,-0.104053,2.32796,1.65838,-0.00428751,0.00297748,-0.321202,-0.332818,0.240654,2.24295,1.64086,0.0215068,0.00774612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.26323,0,-0.2884,-0.328411,2.27274,-0.194919,-11.1045,76.848,-6.59076,0,0,0,0,0,0,0,0,0,0.000298649,0.0410266,0
0.84,-0.0926955,0.0298434,-0.052037,1.22497,1.01959,-0.317701,0.433455,0.0586003,0.0537317,-0.34184,0.187281,-0.0103617,-0.0050004,-0.102045,0.0634653,-0.0787434,-0.697573,-0.147494,-0.0290214,-0.00540595,-0.108164,0.0406965,-0.0390794,-0.85752,-0.22864,-0.0967706,2.32611,1.65689,-0.00428751,0.00297748,-0.339487,-0.327198,0.225259,2.22018,1.63557,0.0215068,0.00774612,0.452703,-0.417738,0.22704,-0.118551,-0.613363,0.0629088,3.02831,0.588528,-1.41746,-9.70986,-0.988816,0,0,2.05961,-1.29789,-1.41586,-8.18378,1.10933,0,0,-0.788504,0.320236,0.643667,2.48196,-0.427187,0.728218,-0.184546,-0.148955,0,0,-1.82849,0.561984,-1.53946,-2.27656,-0.528503,0,0,-1.36898,13.9005,21.5648,0.740484,16.5777,-8.5419,-78.1848,29.0181,-2.79461,-10.5127,8.81527,-1.93895,0.137476,94.3771,37.7997,-9.44329,27.5605,2.67809,0.495405,0.150666,-18.7295,11.8616,15.223,3.58158,-0.101734,-0.0018633,-1.31747,0.0215985,-0.020079,0.167123,-0.355406,1.03009,-0.422586,-1.31989,0.0473413,-0.0988963,0.179571,21.9804,-11.8216,3.97125,-1.5374,-5.81165,-1.34423,-58.8248,15.519,30.5059,53.1761,80.9647,0,0,-1.16853,-1.53152,31.0323,8.6006,1.91399,0,0,-33.1945,15.8888,10.0489,39.3816,4.48174,1.06767,-59.6358,-19.0294,0,0,24.5867,20.649,-16.4201,-59.9504,50.5896,0,0,0,0,1,0,1.26881,0,-0.288848,-0.122217,3.42645,-0.170966,-6.82494,191.343,-9.54727,0,0,0,0,0,0,0,0,0,0.000276754,0.0406593,31.7565
0.85,-0.0859704,0.0244838,-0.0493694,1.22363,1.01288,-0.317207,0.457856,0.0660374,0.0426076,-0.433621,0.185489,-0.0103617,-0.0050004,-0.0815661,0.0503333,-0.0897988,-0.778551,-0.136209,-0.0290214,-0.00540595,-0.119368,0.0454877,-0.0316379,-0.828762,-0.232464,-0.0893817,2.3183,1.6535,-0.00428751,0.00297748,-0.355313,-0.319513,0.208222,2.19142,1.63535,0.0215068,0.00774612,0.672507,-0.535954,0.266753,-0.133925,-0.671479,0.0494666,2.44006,0.743718,-1.1124,-9.17809,-0.179169,0,0,2.04793,-1.31321,-1.10554,-8.09777,1.12847,0,0,-1.12045,0.479124,0.744156,2.87578,-0.38237,0.738895,-0.780903,-0.339249,0,0,-1.58263,0.768474,-1.70366,-2.87606,-0.0226066,0,0,-10.6703,12.0351,11.4042,-2.88843,16.1841,-8.28064,-96.9411,3.32276,0.234803,-5.49204,7.14398,-1.59337,0.133074,90.9932,28.1488,-7.86327,24.2005,2.82105,0.251967,0.156837,-6.65217,10.1637,14.6439,2.84742,0.0938273,0.0521379,-1.00907,0.0159544,-0.0124156,0.135532,-0.969212,0.744185,-0.402456,-0.983801,0.039431,-0.0873523,0.147118,23.2483,-11.1813,4.13217,-1.43708,-3.17313,-1.45419,-58.7778,15.016,29.6193,53.966,80.8008,0,0,-1.10134,-0.494319,32.1003,9.76118,2.31817,0,0,-32.3851,15.6384,9.9597,39.0806,4.77186,0.867796,-59.5322,-18.2499,0,0,24.5013,20.3411,-16.0125,-59.5917,50.5393,0,0,0,0,1,0,1.26706,0,-0.289459,0.0648361,4.06815,-0.114914,6.0007,376.515,-10.6355,0,0,0,0,0,0,0,0,0,0.000253342,0.0387154,26.9739
0.86,-0.0769205,0.0180062,-0.0462887,1.22215,1.00585,-0.316858,0.476379,0.0749762,0.0344456,-0.520005,0.191777,-0.0103617,-0.0050004,-0.0611969,0.0371518,-0.0976441,-0.858552,-0.124693,-0.0290214,-0.00540595,-0.133811,0.0518428,-0.0232003,-0.796096,-0.23581,-0.0819059,2.30454,1.64828,-0.00428751,0.00297748,-0.368689,-0.309794,0.189584,2.1567,1.64017,0.0215068,0.00774612,0.90499,-0.647766,0.308074,-0.148295,-0.70321,0.0349247,1.85229,0.893878,-0.816208,-8.63843,0.628839,0,0,2.03691,-1.31815,-0.784535,-8.00016,1.15165,0,0,-1.4443,0.635508,0.843753,3.26658,-0.334651,0.747573,-1.37623,-0.521748,0,0,-1.33761,0.971885,-1.86379,-3.47198,0.482787,0,0,-33.1035,10.2956,5.2392,-3.87341,-10.6543,1.57343,-114.019,-21.169,5.3352,11.1815,1.81079,0.643958,0.127827,80.482,22.6523,-6.32877,18.5347,2.84331,0.0638294,0.160013,-1.60959,7.8045,13.7148,2.05594,0.299599,0.099494,-0.6324,0.00893969,-0.00626145,0.0989258,-1.53744,0.393245,-0.366065,-0.626446,0.0307164,-0.0712524,0.11372,22.7066,-9.63758,4.59862,-1.39873,-0.518916,-1.49033,-58.9749,12.8481,26.588,55.5578,79.0506,0,0,-1.3681,2.86413,34.9537,12.9816,3.56427,0,0,-30.9409,14.2837,9.50616,37.7935,5.73387,0.15304,-58.6387,-15.8027,0,0,23.9657,19.1842,-14.659,-57.8511,49.8836,0,0,0,0,1,0,1.2645,0,-0.290167,0.0282109,3.97272,-0.0599023,4.28786,603.827,-9.10474,0,0,0,0,0,0,0,0,0,0.000232185,0.0374062,36.882
0.87,-0.0656,0.0105648,-0.0427481,1.22053,0.998763,-0.316657,0.489004,0.0851998,0.0289423,-0.600834,0.205971,-0.0103617,-0.0050004,-0.0409646,0.0242567,-0.101994,-0.937256,-0.11282,-0.0290214,-0.00540595,-0.151348,0.0596263,-0.0138122,-0.759651,-0.238583,-0.0744149,2.28491,1.64148,-0.00428751,0.00297748,-0.379669,-0.298157,0.169481,2.11619,1.64999,0.0215068,0.00774612,1.13206,-0.744142,0.354061,-0.162283,-0.7084,0.0200214,1.26254,1.02236,-0.550328,-8.08286,1.41934,0,0,2.02323,-1.28951,-0.434997,-7.87034,1.18729,0,0,-1.75371,0.778345,0.938814,3.64452,-0.277313,0.749103,-1.96261,-0.679774,0,0,-1.09796,1.16373,-2.01038,-4.05049,0.981622,0,0,-32.0965,7.73919,1.59321,-7.18424,-11.3196,2.55601,-108.912,-39.7318,11.3081,43.1682,-8.82093,4.69502,0.120356,67.7336,18.973,-4.50312,12.68,2.84327,-0.104688,0.163299,8.08277,2.83854,12.4447,1.03192,0.634147,0.172706,-0.167119,0.00156735,0.00338878,0.0529792,-2.34568,-0.0684231,-0.28342,-0.189411,0.0205548,-0.0451708,0.0710987,20.5796,-6.80488,5.34685,-1.54775,2.12559,-1.64879,-58.6534,8.41505,20.8828,59.147,73.2525,0,0,-0.909586,8.89798,39.2493,18.8488,5.85605,0,0,-27.1458,11.3725,8.64681,34.5818,7.61993,-1.43132,-55.6508,-11.1908,0,0,22.3619,16.5958,-11.8491,-53.193,47.5409,0,0,0,0,1,0,1.26386,0,-0.290659,-0.0936575,3.09946,-0.0230108,-24.6447,815.581,-6.05498,0,0,0,0,0,0,0,0,0,0.00021361,0.0374397,35.7617
0.88,-0.0522214,0.00244285,-0.0386728,1.21875,0.991892,-0.316622,0.495764,0.0962649,0.0255273,-0.675748,0.227489,-0.0103617,-0.0050004,-0.0208233,0.0122514,-0.102419,-1.01407,-0.100361,-0.0290214,-0.00540595,-0.1716,0.068547,-0.00355937,-0.719748,-0.240595,-0.067067,2.25972,1.63357,-0.00428751,0.00297748,-0.388412,-0.28486,0.148192,2.07037,1.66456,0.0215068,0.00774612,1.33785,-0.812191,0.407529,-0.17776,-0.687144,0.00353354,0.676002,1.10651,-0.3415,-7.49139,2.15187,0,0,2.01414,-1.20053,-0.0425044,-7.68185,1.24585,0,0,-2.02517,0.89207,1.02528,3.99034,-0.201113,0.73479,-2.51912,-0.791682,0,0,-0.874338,1.32969,-2.12887,-4.58242,1.45703,0,0,-12.6004,5.1989,-0.279236,0.42824,1.64416,1.41923,-86.6774,-52.4421,17.2436,81.0362,-23.4254,9.11382,0.10785,56.3368,15.7818,-2.25363,8.31612,2.841,-0.266882,0.165591,18.7402,-2.92725,11.3153,0.0105628,1.01841,0.249475,0.36675,-0.00630788,0.0145415,-0.00198927,-3.22376,-0.554147,-0.148229,0.29166,0.009282,-0.0100115,0.0205337,15.9491,-2.62023,6.26993,-1.57504,4.00659,-1.78941,-56.7941,1.93356,13.2275,65.0252,61.953,0,0,1.40306,16.8015,43.5058,27.0892,8.92433,0,0,-19.8818,6.89618,7.50276,28.5298,10.399,-4.13878,-48.8786,-4.53698,0,0,19.0199,12.1035,-7.30055,-43.8973,42.2026,0,0,0,0,1,0,1.26349,0,-0.291407,-0.116954,1.65724,-0.00595133,-68.3399,968.375,-3.47755,0,0,0,0,0,0,0,0,0,0.000195374,0.0375847,13.8123
0.89,-0.037248,-0.00594108,-0.0339705,1.21681,0.985421,-0.316766,0.496845,0.107523,0.023435,-0.744159,0.255203,-0.0103617,-0.0050004,-0.000541587,0.00192625,-0.0984936,-1.08818,-0.0870103,-0.0290214,-0.00540595,-0.19384,0.0781573,0.00744373,-0.676991,-0.241566,-0.060133,2.22964,1.6252,-0.00428751,0.00297748,-0.395254,-0.270353,0.126173,2.02016,1.68335,0.0215068,0.00774612,1.49734,-0.838393,0.470228,-0.19351,-0.647078,-0.0143605,0.108061,1.12585,-0.209225,-6.84114,2.7714,0,0,2.02817,-1.03251,0.392554,-7.41096,1.3351,0,0,-2.22398,0.961032,1.10031,4.27564,-0.0971234,0.693402,-3.00791,-0.837052,0,0,-0.684139,1.45072,-2.20188,-5.0214,1.87906,0,0,4.66781,11.1181,-1.15802,-1.6888,0.0194702,-2.05675,-63.5804,-59.6947,22.2704,117.142,-39.3512,13.0574,0.0902138,44.5944,10.6164,0.929946,5.33849,2.798,-0.448604,0.163458,27.0745,-6.33429,10.9408,-0.961569,1.34155,0.321614,0.967011,-0.0152472,0.0277514,-0.0662703,-4.16327,-0.989271,0.0508004,0.823009,-0.0039495,0.0332753,-0.0395759,7.88553,2.84317,7.07779,-1.61122,4.87235,-1.83368,-52.4237,-5.4305,5.35426,72.0968,45.7218,0,0,6.14599,24.7161,45.5994,36.8155,11.984,0,0,-9.02471,1.37219,6.39844,19.0476,13.7287,-8.02031,-36.7304,3.70175,0,0,13.4567,5.50941,-1.05956,-28.5898,32.2824,0,0,0,0,1,0,1.26148,0,-0.292198,-0.00349547,0.0333919,-8.45816e-05,-112.67,1076.33,-2.72634,0,0,0,0,0,0,0,0,0,0.0001805,0.0370339,12.4026
0.9,-0.021486,-0.0140407,-0.0285604,1.21472,0.979438,-0.317093,0.492683,0.118239,0.0218782,-0.805361,0.28749,-0.0103617,-0.0050004,0.0203547,-0.00592728,-0.0900081,-1.15861,-0.0724609,-0.0290214,-0.00540595,-0.216982,0.0879048,0.0190867,-0.63233,-0.241164,-0.054001,2.19589,1.61719,-0.00428751,0.00297748,-0.40075,-0.255295,0.104048,1.96708,1.70537,0.0215068,0.00774612,1.5762,-0.809962,0.541006,-0.209623,-0.598354,-0.0326973,-0.416176,1.07154,-0.155682,-6.12017,3.22862,0,0,2.08963,-0.785353,0.848548,-7.04281,1.45494,0,0,-2.31423,0.974754,1.16429,4.46611,0.0401639,0.613199,-3.37521,-0.800034,0,0,-0.549572,1.50581,-2.21247,-5.30729,2.20188,0,0,-2.92519,5.06177,0.187295,-0.912306,2.76405,-2.34691,-52.3761,-69.0146,27.3861,146.862,-57.2774,17.138,0.0704097,32.0192,7.82146,3.10599,2.70035,2.66715,-0.556632,0.156496,27.9327,-16.3883,10.5146,-2.02942,1.66932,0.412883,1.75866,-0.0270962,0.0485675,-0.150576,-5.04666,-1.5439,0.26,1.45422,-0.0232978,0.0770755,-0.116282,-3.52365,7.66583,7.27739,-1.43124,5.4242,-1.60563,-45.1309,-12.4396,-0.72359,78.5587,26.7135,0,0,13.0296,30.7401,43.3699,46.9775,13.9667,0,0,4.39124,-5.01473,5.76052,6.15075,17.0152,-12.7943,-18.3215,12.6053,0,0,5.56357,-2.95871,6.40414,-6.83509,16.576,0,0,0,0,1,0,1.2573,0,-0.292288,0.169508,-1.3894,0.00501194,-143.923,1179.69,-4.25546,0,0,0,0,0,0,0,0,0,0.000173104,0.035742,6.94216
0.91,-0.00607641,-0.0213737,-0.0224226,1.21248,0.973997,-0.31758,0.484008,0.12771,0.020249,-0.858707,0.322447,-0.0103617,-0.0050004,0.0425539,-0.0107068,-0.0771856,-1.22434,-0.0565149,-0.0290214,-0.00540595,-0.239685,0.0971509,0.0313057,-0.587054,-0.239061,-0.0491484,2.16031,1.61046,-0.00428751,0.00297748,-0.405689,-0.240532,0.0825641,1.91333,1.72905,0.0215068,0.00774612,1.54096,-0.733303,0.61378,-0.223935,-0.544112,-0.0487536,-0.867485,0.947144,-0.162918,-5.33458,3.49575,0,0,2.21992,-0.477952,1.28225,-6.57303,1.5946,0,0,-2.27032,0.924606,1.2219,4.52762,0.210316,0.485256,-3.55842,-0.673981,0,0,-0.493936,1.47623,-2.14843,-5.37565,2.36764,0,0,-0.871982,3.76832,0.744007,-0.283707,4.30032,-2.69584,-49.8269,-77.5979,31.7143,170.754,-76.876,21.2049,0.0526505,28.3399,3.00151,5.01269,2.97235,2.66479,-0.657614,0.152852,36.6964,-24.6279,10.6435,-3.25206,1.90829,0.526324,2.67846,-0.0410003,0.0786651,-0.252624,-6.08844,-2.02945,0.479114,2.21685,-0.0484037,0.118044,-0.214681,-14.7285,11.9719,6.09282,-0.942512,5.96086,-1.12721,-35.0257,-17.5078,-3.65236,83.1449,7.52409,0,0,21.3065,32.8809,35.5713,56.8425,13.9732,0,0,19.3208,-11.1169,6.13421,-9.35406,19.4921,-17.7577,5.96699,20.5578,0,0,-4.31221,-12.5401,14.1715,20.413,-4.28501,0,0,0,0,1,0,1.24973,0,-0.29198,0.279189,-2.38117,0.0146784,-151.301,1290.43,-7.95468,0,0,0,0,0,0,0,0,0,0.000174511,0.0342218,6.43078
0.92,0.00786036,-0.0275096,-0.0156756,1.21015,0.969151,-0.31818,0.471831,0.135431,0.0182546,-0.903738,0.358157,-0.0103617,-0.0050004,0.0668838,-0.0121982,-0.060806,-1.28439,-0.0391715,-0.0290214,-0.00540595,-0.260456,0.105285,0.0441381,-0.542713,-0.235009,-0.0460716,2.12532,1.60577,-0.00428751,0.00297748,-0.411059,-0.227024,0.0624969,1.86161,1.75229,0.0215068,0.00774612,1.39368,-0.613585,0.674709,-0.23336,-0.484504,-0.0600256,-1.21774,0.772066,-0.199442,-4.50313,3.57099,0,0,2.43299,-0.149143,1.63796,-6.00461,1.73434,0,0,-2.07711,0.813437,1.28324,4.43408,0.405236,0.307679,-3.49875,-0.468403,0,0,-0.537058,1.35083,-2.00672,-5.17152,2.32479,0,0,-2.41243,5.05807,1.64411,3.14339,10.2157,-0.428399,-52.6327,-85.8482,35.457,189.41,-96.1662,24.6742,0.0376661,27.8976,-2.58573,6.08823,4.01353,2.6477,-0.706604,0.147111,44.6699,-30.6924,10.8525,-4.4577,2.01857,0.655047,3.6333,-0.0558166,0.115141,-0.360433,-7.02351,-2.42619,0.65633,3.0147,-0.0777358,0.146637,-0.321839,-25.1187,15.0837,3.21876,-0.254953,6.44789,-0.408024,-24.0518,-19.9468,-2.93971,85.2016,-9.77909,0,0,28.8931,30.358,22.1603,65.7637,11.6266,0,0,33.0507,-16.3634,7.75227,-25.8999,20.4243,-21.9117,34.2134,26.4516,0,0,-15.2796,-22.101,21.1554,50.6616,-28.7332,0,0,0,0,1,0,1.23914,0,-0.291665,0.295663,-2.89618,0.0266982,-142.373,1394.62,-12.8562,0,0,0,0,0,0,0,0,0,0.000184144,0.0330876,12.1874
