Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0251535,0.012007,0.0155442,0.0130849,0.0264349,0.0112238,0.0113444,0.0131244,0.0111418,0.0140947,0.0125782,0.0208018,0.0237529,0.02349,0.0127499,0.0161799,0.0187213,0.0191989,0.0184156,0.0175365,0.0141179,0.0124783,0.0123275,0.0184911,0.0111264,0.0116195,0.00817272,0.0122252,0.0186637,0.0524932,0.0118369,0.0155672,0.0162954,0.0153684,0.0143868,0.018728,0.0189794,0.0192055,0.0162216,0.0162312,0.0156545
0,0.0250885,0.0112377,0.0212786,0.0172193,0.0176243,0.0112468,0.0138413,0.0092266,0.0179294,0.0183991,0.0127891,0.0243033,0.0233581,0.0239969,0.00161838,0.0149993,0.0117174,0.0272638,0.0230174,0.0203458,0.0208021,0.0119602,0.0131598,0.0225219,0.012219,0.00572805,0.00445503,0.00879986,0.0134629,0.0586501,0.0082132,0.0167052,0.0156703,0.0191808,0.00563143,0.0143285,0.00211315,0.00831442,0.0102759,0.00713514,0.00821547
1,0.0233206,0.0108652,0.0193848,0.0142585,0.014989,0.00873422,0.0150466,0.0108561,0.0177097,0.0192183,0.0119669,0.0260938,0.025324,0.0248085,0.00403118,0.0176934,0.0143844,0.0182712,0.0231168,0.0206237,0.0209164,0.0106409,0.0136144,0.0230429,0.00897821,0.00507341,0.00344425,0.00523786,0.0145678,0.0693533,0.00526151,0.0127272,0.0133163,0.0195107,0.00543545,0.0171652,0.0125609,0.0227138,0.011027,0.00860998,0.00860285
2,0.0222307,0.0109222,0.0177466,0.0106816,0.0166474,0.00881394,0.0158266,0.0127586,0.0171625,0.0199634,0.0126053,0.0268836,0.0264541,0.0254726,0.00682309,0.0190022,0.0155098,0.0125744,0.0225595,0.0201584,0.0203467,0.00967511,0.0146993,0.023702,0.00646345,0.0069683,0.00538019,0.00354441,0.0163959,0.0692156,0.00471615,0.0139704,0.00959108,0.0153557,0.00761883,0.0201212,0.0210564,0.0259508,0.0117735,0.0102674,0.00993917
3,0.0218796,0.0112021,0.0165231,0.00711843,0.0188291,0.00962375,0.0156373,0.0137583,0.0159322,0.0203489,0.0141521,0.0264489,0.0265649,0.025456,0.00829628,0.0188066,0.0147704,0.0098833,0.0210217,0.0187731,0.0186628,0.00897249,0.0159196,0.0232498,0.00512856,0.00897331,0.0078229,0.00344382,0.0180031,0.0629785,0.00678626,0.017943,0.0108228,0.00999222,0.00906378,0.0209737,0.0276125,0.0194291,0.0118984,0.0110016,0.0108034
4,0.022209,0.0115585,0.0157827,0.00475322,0.0205386,0.00966088,0.0138952,0.0133925,0.0137214,0.0201355,0.0156711,0.0256854,0.0266383,0.0254937,0.00842837,0.0170009,0.0122856,0.00933811,0.0181926,0.0162345,0.0154288,0.00846086,0.017321,0.0225023,0.00483578,0.0102428,0.00947977,0.00362571,0.0191393,0.0588087,0.00909479,0.0207345,0.0153997,0.00992346,0.00845576,0.0206061,0.0322331,0.00940465,0.0108882,0.0101585,0.0102774
5,0.0227597,0.0118881,0.0154029,0.0045303,0.0215631,0.00847319,0.010314,0.0117414,0.0103242,0.0191883,0.0164835,0.025377,0.027393,0.0261158,0.00751321,0.0139179,0.00890835,0.0101154,0.0140656,0.0123855,0.0105236,0.00828185,0.0191478,0.0217328,0.00440195,0.0101675,0.00964061,0.00295334,0.0193208,0.059259,0.0107987,0.0201877,0.017234,0.0129082,0.00686683,0.0203367,0.0338192,0.00773947,0.00835164,0.00759519,0.00761948
6,0.0226485,0.0121354,0.0151151,0.00577211,0.0216411,0.00648047,0.00542374,0.0097878,0.00623023,0.0178215,0.016489,0.0255653,0.0287363,0.027117,0.00635022,0.0108442,0.00659297,0.0124977,0.00933628,0.00766503,0.00501967,0.00874581,0.0209715,0.020553,0.00343983,0.00830753,0.00808903,0.00104702,0.0179081,0.0603703,0.0121535,0.0168551,0.0159932,0.0140634,0.0079444,0.0202886,0.0321051,0.0114264,0.00520239,0.00501957,0.00330296
7,0.0212864,0.0122205,0.0146111,0.00703412,0.0207011,0.00518979,0.00103732,0.00920004,0.00448865,0.0168515,0.0160371,0.0257581,0.0300039,0.027836,0.00600935,0.00941177,0.0072873,0.0161127,0.00560252,0.00367127,0.00476409,0.00976727,0.0215832,0.0194844,0.00402471,0.0045931,0.00537215,0.00364629,0.0150363,0.0598565,0.0136785,0.0131978,0.0141501,0.0132724,0.0126214,0.021006,0.0291025,0.0122382,0.00621109,0.00687728,0.00447964
8,0.0191843,0.0121336,0.0137906,0.00764147,0.0191787,0.00608933,0.0036958,0.0102909,0.00725306,0.0166953,0.0156892,0.0255363,0.0304586,0.0277491,0.00649837,0.00943013,0.00914563,0.0195239,0.00523714,0.00397944,0.00895949,0.0106214,0.0201488,0.0200287,0.00682591,0.00124922,0.0032954,0.00857871,0.0122961,0.0581945,0.0153041,0.011287,0.0135568,0.0121742,0.0177386,0.0236165,0.0276963,0.0121695,0.0103824,0.0104034,0.00889422
