Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0103575,0.0349884,0.0301595,0.00812687,0.0119899,0.00595646,0.00521678,0.00415898,0.00964925,0.012041,0.0264553,0.0158056,0.0142536,0.0149434,0.0101192,0.0185773,0.0207003,0.0168026,0.0175335,0.00668135,0.00698127,0.00861976,0.0329732,0.00915599,0.0131364,0.00508823,0.00542238,0.00462966,0.0110189,0.0084733,0.0240798,0.0169518,0.0154158,0.0170996,0.0119529,0.0162491,0.018922,0.0113085,0.00910126,0.00924336,0.00978112
0,0.0124359,0.028043,0.0341213,0.00911506,0.0176621,0.00661009,0.00338551,0.000982579,0.00567364,0.0121012,0.0252703,0.0131556,0.00526297,0.0121896,0.00912639,0.0262289,0.0295142,0.0128345,0.0328605,0.0047154,0.00505202,0.0144292,0.0225656,0.0166102,0.00737271,0.00900963,0.00530489,0.00531583,0.00461446,0.0100272,0.0276146,0.0199733,0.013029,0.0101221,0.00968079,0.00671757,0.0162087,0.0110848,0.00590829,0.00941339,0.00709077
1,0.0120684,0.0283745,0.0337563,0.00879322,0.0129519,0.00727357,0.00360306,0.00192823,0.00646704,0.0116727,0.0230768,0.0132898,0.00601768,0.00924253,0.00521695,0.0278479,0.0299374,0.0129246,0.0280803,0.0041461,0.00489105,0.0123508,0.0230831,0.015651,0.0103759,0.00811465,0.00456554,0.00433333,0.00438821,0.00939769,0.0268612,0.0199586,0.0128363,0.00978866,0.00945944,0.00693998,0.0166256,0.00879251,0.00504883,0.00837996,0.00613542
2,0.0120697,0.0287438,0.0335448,0.00828025,0.0106593,0.00782146,0.00368821,0.00248627,0.00712882,0.011407,0.0226928,0.0133333,0.00731277,0.00795816,0.00376735,0.0284362,0.0293114,0.0123422,0.0258473,0.00390877,0.00507863,0.010436,0.0237564,0.0146554,0.0124007,0.00734208,0.00380656,0.00333847,0.00438803,0.00869658,0.0258625,0.0194532,0.01257,0.00970661,0.00879547,0.00705307,0.0168204,0.0103068,0.00407182,0.00737403,0.00496911
3,0.0124031,0.0291276,0.0334617,0.00776466,0.0101296,0.00822947,0.00364031,0.00263742,0.00759713,0.0114039,0.023171,0.0133091,0.00805264,0.00709157,0.0036796,0.0281346,0.0276326,0.0110681,0.0255733,0.00437012,0.00565832,0.0087464,0.0246382,0.0137976,0.0130426,0.00670202,0.00304607,0.00234608,0.00459393,0.00800777,0.0247394,0.0186147,0.0130383,0.0116306,0.00882646,0.00757879,0.0169713,0.0100423,0.00300561,0.00637484,0.00360182
4,0.0129153,0.0295202,0.0334806,0.00753249,0.0103599,0.00846846,0.00354337,0.0024657,0.00786981,0.0117218,0.0239611,0.0133407,0.00837411,0.00608076,0.00380895,0.0273069,0.0249805,0.00911983,0.026376,0.00545297,0.00655555,0.00728504,0.0258333,0.0132818,0.013071,0.00627571,0.0023436,0.00146872,0.004952,0.00739941,0.0242641,0.0177287,0.0143597,0.0151294,0.0103809,0.00876412,0.0180687,0.00681958,0.00184564,0.00532251,0.00209911
5,0.0133806,0.0299369,0.0336502,0.00764776,0.01067,0.00851658,0.00355756,0.00214169,0.00806872,0.0122205,0.024793,0.0137671,0.00891704,0.00522739,0.00425223,0.0263777,0.0216023,0.00646212,0.0274025,0.00676625,0.00761813,0.00622161,0.0274584,0.0131743,0.0137839,0.00619061,0.00180334,0.00097044,0.00543862,0.00691864,0.0249069,0.0172486,0.0153124,0.017519,0.0123169,0.00971894,0.0204324,0.00442207,0.000928588,0.00420513,0.000661077
6,0.0136698,0.0304088,0.034053,0.00789772,0.0107316,0.00842222,0.00381062,0.0019411,0.00839433,0.0125861,0.0255729,0.0149445,0.0103099,0.00560848,0.00527758,0.0256541,0.0180326,0.00309741,0.0281069,0.00802775,0.00873105,0.00622299,0.0295582,0.0133198,0.0154662,0.00654751,0.00185281,0.00146499,0.00615726,0.00667569,0.0260969,0.0176573,0.014827,0.0171251,0.0132838,0.00900187,0.0224594,0.00696037,0.0023365,0.0034963,0.00199763
7,0.0137583,0.0309916,0.0346583,0.00808729,0.0103222,0.00826975,0.00428033,0.00206456,0.00901685,0.0125697,0.0262683,0.0168048,0.0126257,0.00776668,0.00678773,0.0252629,0.015047,0.00196071,0.0283227,0.0090427,0.00984339,0.00765111,0.0320267,0.0134695,0.0171874,0.00733788,0.00292258,0.00268583,0.00725365,0.00691306,0.0271151,0.0189433,0.0131417,0.0145573,0.0129824,0.00596705,0.0222779,0.00843363,0.00493282,0.00433359,0.00452073
8,0.0136058,0.0317385,0.0352493,0.0082274,0.00933406,0.00816738,0.00487791,0.00247057,0.0100005,0.0121796,0.0268399,0.0187182,0.0155101,0.0109459,0.00862149,0.0251693,0.01319,0.00645877,0.0281749,0.00962766,0.0108278,0.00963128,0.0345607,0.0134044,0.018205,0.00837682,0.00460761,0.00412574,0.00867778,0.00783696,0.027711,0.0203596,0.0114273,0.0119262,0.0119876,0.00294145,0.0197612,0.00725944,0.00778701,0.00637616,0.00722897
