time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_wrist_flex_r,pos_wrist_dev_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,pos_wrist_flex_l,pos_wrist_dev_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_wrist_flex_r,vel_wrist_dev_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,vel_wrist_flex_l,vel_wrist_dev_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_wrist_flex_r,tau_wrist_dev_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,tau_wrist_flex_l,tau_wrist_dev_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_wrist_flex_r,acc_wrist_dev_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,acc_wrist_flex_l,acc_wrist_dev_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0.191667,-0.146217,-0.00216678,-0.154461,1.17678,0.995746,-0.309678,0.699215,0.0671745,-0.222584,-0.243627,-0.211806,0.0343465,0.000259486,-0.0461755,0.11841,-0.118142,-1.42298,-0.417456,0.0592267,0.000553047,-0.0707221,0.0787796,-0.12993,-0.896178,-0.0738769,-0.428203,1.39916,1.19225,0.0229923,-0.00384382,-0.4118,-0.290824,0.12723,2.39859,1.63951,0.0442164,-0.00503466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.972113,0,-0.177716,-0.218221,-4.23789,1.29229,0.624365,12.1252,-3.69743,0,0,0,0,0,0,0,0,0,0.00052825,0.0556723,0
0.2,-0.123271,-0.0130744,-0.166604,1.17664,0.992226,-0.308575,0.668335,0.0831543,-0.167692,-0.29772,-0.202252,0.0343465,0.000259486,-0.0424626,0.0937356,-0.159898,-1.54019,-0.38417,0.0592267,0.000553047,-0.100004,0.0882415,-0.103941,-0.877994,-0.0835014,-0.411438,1.39595,1.20896,0.0229923,-0.00384382,-0.44023,-0.277795,0.113771,2.3258,1.66473,0.0442164,-0.00503466,2.75358,-1.30891,-1.4572,-0.0163073,-0.422384,0.132369,-3.70571,1.91758,6.58708,-6.49113,1.14649,0,0,0.445545,-2.96092,-5.0107,-14.0652,3.99428,0,0,-3.5138,1.13543,3.11866,2.18206,-1.15494,2.01182,-0.384979,2.00458,0,0,-3.41164,1.56357,-1.61501,-8.73445,3.02645,0,0,154.356,-1.01271,29.7057,2.66879,0.684903,-2.71391,-66.9522,30.4268,0.706873,-30.2219,5.43514,2.4293,0.00455958,187.498,3.84646,-4.30893,56.2542,6.52996,-0.901244,0.0120467,24.514,10.0387,20.2847,12.485,1.05213,2.86418,4.58782,0.064102,0.635423,-0.305946,-5.9458,-1.89893,0.86454,-0.640358,0.0563582,0.318378,0.148565,-44.4107,23.5388,29.4352,-6.63267,-11.0551,-3.28218,59.1968,-9.20838,-82.9079,-96.3129,270.303,0,0,115.964,46.5594,111.501,38.5788,1.11691,0,0,46.3191,-25.4637,-14.8509,64.3331,-5.76112,42.0316,-8.95645,-18.663,0,0,33.5775,-16.2771,7.09692,-36.7992,-39.2983,0,0,0,0,1,0,1.22412,0,-0.199439,0.644322,-2.55314,1.00043,-6.20444,24.5852,-9.63352,0,0,0,0,0,0,0,0,0,0.00046106,0.0484975,157.239
0.208333,-0.103408,-0.0223473,-0.176704,1.17604,0.987938,-0.3077,0.641565,0.0984946,-0.118557,-0.358501,-0.173927,0.0343465,0.000259486,-0.0306967,0.0722945,-0.19391,-1.65472,-0.350807,0.0592267,0.000553047,-0.126069,0.0959352,-0.0789833,-0.855343,-0.093526,-0.391754,1.39212,1.22437,0.0229923,-0.00384382,-0.466329,-0.265895,0.100806,2.25046,1.68722,0.0442164,-0.00503466,2.38349,-1.11275,-1.21191,-0.0715796,-0.51451,0.105018,-3.2124,1.84084,5.89618,-7.29374,3.39901,0,0,1.41191,-2.57293,-4.08153,-13.7437,4.00359,0,0,-3.12781,0.923235,2.9949,2.71817,-1.20295,2.36209,-0.459616,1.84905,0,0,-3.13183,1.42793,-1.55587,-9.04111,2.69896,0,0,114.557,-14.8412,11.0507,3.02998,2.79912,0.422831,-56.3913,9.53621,0.598333,-21.7641,7.15827,-1.04764,0.00467949,153.852,-4.26702,4.86254,47.0627,5.75893,-1.2233,0.0104024,14.5296,-1.36212,22.1276,12.4341,1.06578,2.66253,5.00639,0.0544571,0.63344,-0.362124,-6.4932,-1.88181,0.915728,-0.646178,0.0470417,0.315773,0.135666,-44.7667,24.0575,29.572,-6.09035,-11.3028,-2.70098,59.1022,-10.3125,-85.4906,-93.5071,264.018,0,0,117.332,46.499,110.991,39.862,-0.534743,0,0,46.7657,-25.9013,-14.9847,64.2008,-5.22555,41.5613,-8.23238,-18.7201,0,0,33.5705,-16.6461,7.04909,-35.1776,-41.5187,0,0,0,0,1,0,1.37247,0,-0.245238,0.164328,-0.422788,0.129476,-25.2562,64.9796,-19.8996,0,0,0,0,0,0,0,0,0,0.000419502,0.0477377,116.116
0.216667,-0.0866547,-0.0299496,-0.184749,1.17503,0.982866,-0.307012,0.618899,0.113119,-0.0753588,-0.425776,-0.127267,0.0343465,0.000259486,-0.0107827,0.0540825,-0.220215,-1.76648,-0.317481,0.0592267,0.000553047,-0.148886,0.10183,-0.0550664,-0.828233,-0.103914,-0.369184,1.38772,1.23848,0.0229923,-0.00384382,-0.490096,-0.255152,0.0883297,2.17267,1.70683,0.0442164,-0.00503466,2.01043,-0.912274,-0.965476,-0.122333,-0.6087,0.0825094,-2.71988,1.7549,5.18375,-8.07297,5.59916,0,0,2.38968,-2.18544,-3.1566,-13.4115,3.99913,0,0,-2.7381,0.707392,2.87003,3.25318,-1.2465,2.70843,-0.528219,1.69305,0,0,-2.85208,1.28921,-1.49713,-9.33426,2.35297,0,0,93.4266,-32.4851,-4.92891,2.07055,-0.0744481,1.58201,-40.3986,-15.5977,0.960254,-5.65457,5.88424,-4.22838,0.0047128,124.425,-9.00388,12.7815,40.4628,5.13398,-1.49714,0.00900403,11.4602,-12.8756,23.4745,11.8252,1.22544,2.46184,5.38708,0.0448995,0.631518,-0.414863,-7.23254,-1.80088,1.09165,-0.258268,0.0279422,0.337631,0.0757012,-45.513,24.9679,29.7273,-6.17377,-10.6374,-2.32823,57.2086,-13.3333,-91.2454,-82.6391,242.256,0,0,120.616,45.6172,109.091,44.3467,-4.60299,0,0,47.7197,-26.8602,-15.0811,63.4684,-3.62022,39.6616,-5.63269,-18.6424,0,0,33.2817,-17.5849,6.84347,-29.7696,-47.7206,0,0,0,0,1,0,1.4036,0,-0.257582,-0.86945,2.18258,-0.437076,-68.2189,171.25,-34.2939,0,0,0,0,0,0,0,0,0,0.00039229,0.0510143,99.0702
0.225,-0.0730618,-0.035818,-0.190731,1.17358,0.977055,-0.306486,0.600206,0.126817,-0.0384973,-0.498789,-0.0637839,0.0343465,0.000259486,0.0175074,0.0390384,-0.238945,-1.87516,-0.284474,0.0592267,0.000553047,-0.16839,0.10586,-0.0321968,-0.796716,-0.114552,-0.343859,1.38293,1.25129,0.0229923,-0.00384382,-0.511552,-0.24563,0.0763289,2.09282,1.72313,0.0442164,-0.00503466,1.63115,-0.704208,-0.717749,-0.173781,-0.697345,0.0631075,-2.24314,1.64379,4.42338,-8.76163,7.61797,0,0,3.39481,-1.80529,-2.24751,-13.042,3.96077,0,0,-2.34043,0.483556,2.74435,3.78208,-1.27667,3.03894,-0.575158,1.5377,0,0,-2.57473,1.14267,-1.4401,-9.58234,1.9553,0,0,80.4386,-48.9122,-15.7882,1.27058,-1.68804,1.89386,-28.8382,-43.3422,2.49896,14.8059,-7.19701,-5.77206,0.00453325,99.3929,-11.0329,18.274,36.3204,4.6427,-1.67127,0.00785612,15.2455,-24.5164,24.3282,10.5043,1.47845,2.22991,5.83256,0.0331727,0.633789,-0.477455,-8.1556,-1.63566,1.3763,0.702476,-0.00743466,0.378492,-0.0556565,-46.1685,25.515,29.4921,-6.71455,-8.38631,-2.04888,50.5812,-18.1459,-97.5333,-58.4742,198.331,0,0,124.749,42.6008,104.781,53.9217,-10.3205,0,0,48.5821,-27.7536,-14.5954,61.2866,-0.700846,35.0301,0.180905,-18.0013,0,0,32.0991,-18.9045,6.22966,-18.7123,-57.385,0,0,0,0,1,0,1.40439,0,-0.259802,-1.77288,4.83071,-0.658787,-134.878,367.515,-50.1197,0,0,0,0,0,0,0,0,0,0.000374608,0.0544527,95.4991
0.233333,-0.0626749,-0.0399145,-0.194664,1.17166,0.970661,-0.306103,0.585026,0.139255,-0.008409,-0.575864,0.0134721,0.0343465,0.000259486,0.0544607,0.0269527,-0.250397,-1.9801,-0.252184,0.0592267,0.000553047,-0.18452,0.107962,-0.0103408,-0.760942,-0.12524,-0.316102,1.37815,1.26285,0.0229923,-0.00384382,-0.530779,-0.23742,0.0647607,2.01166,1.73543,0.0442164,-0.00503466,1.24642,-0.491583,-0.471982,-0.229735,-0.767231,0.0460335,-1.82163,1.49257,3.6106,-9.24891,9.27073,0,0,4.43439,-1.45029,-1.37433,-12.5926,3.87477,0,0,-1.93558,0.252276,2.62272,4.2928,-1.28251,3.33086,-0.573651,1.38769,0,0,-2.30724,0.985129,-1.38818,-9.73828,1.4771,0,0,50.061,-58.8695,-20.0332,0.331052,-2.77533,0.0659056,-41.9535,-71.1379,5.7963,27.9969,-37.1593,-4.47742,0.00404297,80.2108,-11.7079,20.6405,34.5731,4.28103,-1.70882,0.00698029,21.2787,-35.8263,24.5926,8.83591,1.80542,1.99539,6.47557,0.018282,0.648136,-0.563294,-8.98251,-1.38663,1.67947,2.18773,-0.057728,0.422726,-0.255214,-45.8111,24.763,28.1872,-6.96082,-4.7711,-1.75341,36.4884,-23.7453,-99.571,-18.7812,132.772,0,0,127.314,36.2534,97.0406,69.9068,-15.8937,0,0,48.419,-27.6702,-12.7313,56.4932,3.42245,26.2871,10.4683,-16.0576,0,0,29.1616,-20.0683,4.81376,-0.976904,-66.8447,0,0,0,0,1,0,1.39044,0,-0.261577,-2.05559,6.84088,-0.673056,-188.711,628.017,-61.7888,0,0,0,0,0,0,0,0,0,0.00036654,0.0572494,79.8803
0.241667,-0.0554695,-0.0422914,-0.19664,1.16926,0.963936,-0.305841,0.572379,0.150044,0.0147647,-0.654242,0.0999485,0.0343465,0.000259486,0.100255,0.0173845,-0.255111,-2.08019,-0.220998,0.0592267,0.000553047,-0.197287,0.108143,0.0106312,-0.721246,-0.13569,-0.286519,1.37409,1.2733,0.0229923,-0.00384382,-0.547981,-0.230605,0.0535268,1.93044,1.7431,0.0442164,-0.00503466,0.864658,-0.285225,-0.237089,-0.287742,-0.80699,0.0314218,-1.51756,1.2947,2.78084,-9.40542,10.3772,0,0,5.49534,-1.14818,-0.565663,-12.0101,3.74232,0,0,-1.53209,0.0216917,2.51663,4.76358,-1.25399,3.54992,-0.486415,1.25387,0,0,-2.06422,0.817894,-1.34807,-9.74642,0.920056,0,0,-5.85638,-58.5868,-16.5357,-0.439314,-3.91516,-1.348,-83.4872,-94.7568,11.2123,35.7353,-73.6244,0.258274,0.00323495,67.5608,-11.7316,19.5321,34.5995,4.01214,-1.57864,0.00635643,25.7772,-45.4293,24.1493,7.21035,2.16654,1.77063,7.39074,-0.000833582,0.677359,-0.68108,-9.39252,-1.0353,1.92483,4.08623,-0.116978,0.459102,-0.509559,-43.4303,22.2384,25.1599,-6.16692,-0.235981,-1.31102,14.0659,-29.0615,-93.1831,33.9117,54.0931,0,0,125.564,26.638,85.3001,92.6024,-19.6236,0,0,46.5799,-26.0975,-8.9443,47.8467,8.38091,12.4298,25.9745,-11.9899,0,0,23.5723,-20.4622,2.22333,23.4153,-70.854,0,0,0,0,1,0,1.35741,0,-0.264829,-1.60459,7.49598,-0.511488,-196.252,916.808,-62.5584,0,0,0,0,0,0,0,0,0,0.000369074,0.0589454,61.2983
0.25,-0.05128,-0.0431239,-0.196868,1.16644,0.957195,-0.30567,0.56071,0.158815,0.0314673,-0.730266,0.190181,0.0343465,0.000259486,0.154769,0.00966627,-0.253901,-2.17384,-0.191175,0.0592267,0.000553047,-0.20682,0.106511,0.0309819,-0.678227,-0.145558,-0.256073,1.37184,1.28292,0.0229923,-0.00384382,-0.563546,-0.22521,0.0424473,1.85085,1.74585,0.0442164,-0.00503466,0.502739,-0.0999045,-0.0274225,-0.339133,-0.808956,0.0204966,-1.40035,1.05252,2.00431,-9.12282,10.8279,0,0,6.5417,-0.926193,0.145171,-11.2384,3.57879,0,0,-1.14392,-0.195787,2.44209,5.1623,-1.18415,3.6535,-0.26996,1.15396,0,0,-1.86779,0.647376,-1.32954,-9.55129,0.329606,0,0,-50.4353,-48.3859,-6.61174,-0.200926,-3.18249,-1.30414,-117.858,-107.956,17.2326,60.8441,-107.318,8.23389,0.00220553,58.0881,-10.5269,15.2645,35.5314,3.72428,-1.26259,0.00581472,30.9538,-52.393,22.6741,5.43749,2.53032,1.54262,8.42577,-0.0227785,0.710993,-0.81664,-9.4578,-0.536072,2.15199,6.18983,-0.174476,0.494,-0.791735,-38.8263,18.3294,20.1649,-4.60552,4.85057,-0.692588,-14.9472,-33.82,-77.1124,92.6731,-25.0076,0,0,117.427,15.6221,69.6992,121.005,-20.7535,0,0,43.0281,-23.5469,-3.44721,34.4073,13.692,-6.60552,46.3847,-5.00792,0,0,14.7133,-19.7391,-1.63514,53.3943,-66.0097,0,0,0,0,1,0,1.31497,0,-0.269448,-0.984713,6.30615,-0.247899,-188.983,1210.26,-47.5759,0,0,0,0,0,0,0,0,0,0.000378398,0.0594876,70.2887
0.258333,-0.0497868,-0.0426836,-0.195696,1.16329,0.950791,-0.305547,0.548002,0.165238,0.0428149,-0.799854,0.278677,0.0343465,0.000259486,0.217438,0.00303287,-0.247851,-2.25909,-0.162793,0.0592267,0.000553047,-0.213364,0.103244,0.0510933,-0.632818,-0.154475,-0.226086,1.37282,1.29219,0.0229923,-0.00384382,-0.578089,-0.221186,0.0312542,1.77496,1.74401,0.0442164,-0.00503466,0.179186,0.0528409,0.140619,-0.377512,-0.768535,0.014725,-1.52491,0.770685,1.36171,-8.35055,10.6195,0,0,7.52026,-0.796008,0.725998,-10.23,3.40584,0,0,-0.785356,-0.392012,2.41337,5.44903,-1.07005,3.59846,0.116579,1.11222,0,0,-1.74518,0.482883,-1.34317,-9.10634,-0.220475,0,0,-56.6977,-27.6164,5.97109,-0.340935,-2.16726,-1.13921,-121.05,-106.971,21.1594,106.032,-143.752,19.3158,0.00110032,48.8156,-8.34028,9.21373,37.1575,3.35881,-0.805264,0.00522898,39.1624,-54.1734,20.0486,3.297,2.90345,1.35547,9.30809,-0.0419743,0.738538,-0.938112,-9.33256,0.155712,2.41747,8.17433,-0.21847,0.53551,-1.06098,-32.5916,14.8409,13.5983,-2.80915,9.62073,-0.0286789,-46.3081,-38.6533,-53.7293,148.511,-93.384,0,0,102.388,6.32678,51.0534,152.785,-19.6813,0,0,38.7054,-21.2518,2.67023,15.9992,18.8397,-29.461,69.9074,5.6594,0,0,2.57619,-18.0022,-6.45827,86.9194,-52.828,0,0,0,0,1,0,1.27831,0,-0.273766,-0.506842,3.63507,-0.0441621,-204.376,1465.78,-17.8076,0,0,0,0,0,0,0,0,0,0.000389296,0.0591589,63.396
0.266667,-0.0505568,-0.0412126,-0.19358,1.15995,0.945054,-0.305427,0.532079,0.168976,0.0504313,-0.859128,0.360689,0.0343465,0.000259486,0.287217,-0.00316117,-0.238256,-2.33373,-0.135778,0.0592267,0.000553047,-0.217221,0.0985019,0.0713901,-0.586298,-0.162084,-0.198145,1.37864,1.30185,0.0229923,-0.00384382,-0.592453,-0.218412,0.0196127,1.70511,1.73851,0.0442164,-0.00503466,-0.0924105,0.176515,0.253938,-0.400922,-0.688362,0.014486,-1.91081,0.448574,0.913967,-7.11296,9.84134,0,0,8.37349,-0.743285,1.15144,-8.9568,3.24183,0,0,-0.462811,-0.56911,2.43562,5.58235,-0.91305,3.35295,0.699141,1.15939,0,0,-1.72371,0.332865,-1.39699,-8.38201,-0.660708,0,0,-39.6761,-3.99488,17.1297,-1.90292,-1.27953,-0.981623,-105.107,-98.1741,23.4219,152.145,-185.169,32.4621,7.25335e-05,39.8993,-5.83407,2.97208,39.0371,2.94488,-0.300108,0.0046269,48.8285,-51.6824,16.081,0.810874,3.31002,1.27131,9.9086,-0.0542712,0.758511,-1.02551,-8.90064,0.955744,2.66958,9.84277,-0.246932,0.57832,-1.29208,-25.6274,13.523,6.49144,-0.711426,13.3889,0.488978,-74.6809,-44.6682,-28.0953,193.538,-145.599,0,0,81.4369,1.59555,30.5705,184.622,-17.6276,0,0,35.1491,-20.6128,7.74576,-6.44994,23.2388,-53.183,93.4015,19.4055,0,0,-11.9487,-15.7127,-11.5798,121.069,-35.1424,0,0,0,0,1,0,1.24859,0,-0.276766,-0.0544012,0.392938,0.00397914,-229.241,1655.8,16.7677,0,0,0,0,0,0,0,0,0,0.000401164,0.05838,43.4719
