subject,weight_kg_,height_m_,raw_peak_forces,raw_rms_forces,raw_peak_moments,raw_rms_moments,mass_normalized_peak_forces,mass_normalized_rms_forces,mass_normalized_peak_moments,mass_normalized_rms_moments,kinetic_normalized_peak_forces,kinetic_normalized_rms_forces,kinetic_normalized_peak_moments,kinetic_normalized_rms_moments
subject01,72.84,1.768,8.54514862189014,2.19835583319454,12.085026819001,4.12669885453524,0.117313956917767,0.0301806127566521,0.165911955230656,0.0566542950924663,0.00473917218634819,0.00121242829566849,0.00653164424325448,0.00222529386571639
subject02,76.48,1.819,21.3783116816445,4.93668634999797,32.9820194072897,11.2216948514509,0.279528133912716,0.0645487231955801,0.431250253756403,0.14672718163508,0.0133625755388835,0.00300778246812652,0.0184974199234461,0.00634319766304799
subject03,64,1.783,8.91800381804755,2.55303237493799,8.4548022141214,3.42895208353124,0.139343809656993,0.0398911308584061,0.132106284595647,0.0535773763051756,0.00602087916228519,0.00172690552755724,0.00510638897631998,0.00207670085560407
subject04,80.47,1.772,10.2033522117174,2.60916230271761,14.825098603984,4.58097998393322,0.126796970445103,0.0324240375632858,0.184231373232062,0.0569277989801568,0.00549780731525977,0.00140611636471902,0.00825086767120098,0.00256335620717965
subject08,82.37,1.789,10.902790955066,2.90586394195019,3.25672413908629,1.43723729276143,0.13236361484844,0.0352781831000387,0.0395377460129451,0.0174485527833122,0.00548104951115095,0.00146962127085458,0.00152375643907655,0.000679682952005668
subject10,69.26,1.703,21.5737752004986,5.95802873413186,24.6522332553943,8.99976369340212,0.311489679475868,0.0860240937645374,0.355937528954582,0.129941722399684,0.0150028456159873,0.00416780114119999,0.0181030051248674,0.00656730377408977
subject11,69.35,1.735,8.8247891233866,2.44225791935179,8.08719770475277,3.65219633363772,0.127250023408603,0.0352164083540273,0.116614242317992,0.0526632492233269,0.00568867811344575,0.0015706355866503,0.00511938836487782,0.00230107749320078
subject17,68.45,1.68,14.2072201468626,3.53501264767971,30.9893494205593,11.984412675822,0.20755617453415,0.0516437201998497,0.452729721264562,0.175082727185128,0.00802298364870716,0.00199115393298566,0.0171627822558717,0.00663183104376307
subject19,65.14,1.718,16.2874331432389,3.46906277383927,11.8857194401845,4.45338716070133,0.250037352521322,0.0532554923831635,0.182464222293283,0.0683663979229556,0.00887625175540107,0.00190343750709361,0.00675509454673909,0.00255584053724859
subject20,67.18,1.669,20.9660152170794,5.51230861778084,10.3079822339706,4.25941005083278,0.312087157146166,0.0820528225332069,0.153438258915906,0.0634029480624111,0.0124985342544751,0.00328024880169705,0.00623650203554936,0.00256959084125481
