Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0172891,0.0170619,0.00908293,0.00737815,0.0117902,0,0.0183034,0.0268697,0.0105588,0.0184472,0.0438085,0.0437415,0,0,0.0367845,0.0109,0.00747458,0.0109695,0.00994996,0.00819314,0.0112623,0.0100397,0.00689103,0.00581167,0.0146896,0.0073581,0,0.0116415,0.025212,0.026001,0.037178,0,0,0.0133571,0.0133343,0.0194135,0.0108318,0.00579997,0.0165244,0.024949,0.0336745,0.00606713,0.0119259,0.00890677,0.00894236,0.00842535,0.00752265,0.00781819,0.00835775,0.00710851,0.00797305
0,0.0256734,0.0165444,0.00303993,0.00692825,0.0150251,0,0.0185857,0.00874753,0.0145631,0.0250313,0.0464652,0.0472167,0,0,0.027436,0.0149671,0.00984699,0.0164898,0.0135011,0.00774837,0.0103813,0.00532678,0.00554135,0.00448172,0.00735316,0.0138761,0,0.0219092,0.00761346,0.0311338,0.0422068,0,0,0.0112263,0.00892336,0.0303526,0.00306595,0.00677502,0.0155513,0.0241039,0.0270795,0.00592503,0.0204358,0.0133948,0.0120128,0.0180138,0.0188123,0.0155167,0.0159522,0.00843538,0.00396788
1,0.0257244,0.0165501,0.00302783,0.00684549,0.0150435,0,0.0184099,0.00887605,0.0144922,0.0250483,0.0463742,0.0472242,0,0,0.0273215,0.0148884,0.00989002,0.0164742,0.0134733,0.00793987,0.0103139,0.00529474,0.00555939,0.00440798,0.00745335,0.0138387,0,0.0218498,0.00770939,0.0311007,0.0421002,0,0,0.0112282,0.00882779,0.0302266,0.00297717,0.00668248,0.0155268,0.0241158,0.0270477,0.006036,0.0204221,0.0134574,0.011845,0.0180292,0.0187921,0.0154978,0.0158092,0.00827163,0.00390683
2,0.0257638,0.0165267,0.00300542,0.00677851,0.015041,0,0.0183222,0.00898816,0.0144459,0.0251024,0.0462733,0.0468966,0,0,0.0272206,0.0148287,0.00988683,0.016436,0.0134496,0.00802809,0.0102414,0.00526001,0.0055747,0.00432169,0.00747571,0.0137776,0,0.021795,0.00781555,0.031045,0.0420596,0,0,0.0112509,0.00880395,0.0301021,0.00291641,0.0066627,0.0154965,0.024107,0.0269614,0.00609708,0.0204074,0.0135143,0.0117797,0.0180327,0.0188311,0.0155008,0.0156466,0.00830209,0.00385317
3,0.0257767,0.0164926,0.00297637,0.00672738,0.0150119,0,0.0182756,0.00904732,0.0144189,0.0251808,0.0461689,0.046452,0,0,0.0271576,0.014786,0.00991531,0.0163886,0.0134344,0.00803804,0.0101709,0.00523142,0.005577,0.00421735,0.00745967,0.0137149,0,0.0217496,0.00792104,0.0310004,0.0418719,0,0,0.0112693,0.00882771,0.0300033,0.00288467,0.00667087,0.0154614,0.0240783,0.0268943,0.00607763,0.0204089,0.0135529,0.0118103,0.0180245,0.0188144,0.0155166,0.0154514,0.00842697,0.00380854
4,0.0257521,0.0164641,0.00292396,0.00669336,0.0149507,0,0.0182299,0.00904467,0.014389,0.0252502,0.0460565,0.0462302,0,0,0.0271564,0.0147664,0.00997143,0.016361,0.0134178,0.00797848,0.0101019,0.00522398,0.0055508,0.00408762,0.00745035,0.013629,0,0.0217185,0.00801497,0.0310058,0.0413841,0,0,0.0112542,0.00884005,0.0299406,0.00283622,0.00663842,0.0154198,0.0240329,0.0269431,0.0060196,0.0204587,0.0135678,0.0118824,0.0179795,0.0186525,0.0155534,0.0152245,0.00849554,0.00376623
5,0.0257034,0.016446,0.0028197,0.00667914,0.0148645,0,0.018204,0.00902745,0.014327,0.0252872,0.0459257,0.0463061,0,0,0.0272021,0.0147788,0.00998054,0.0163699,0.0133689,0.00781911,0.0100211,0.00521721,0.00549611,0.00394227,0.00745647,0.0134792,0,0.0217114,0.00809272,0.0310495,0.040873,0,0,0.0112141,0.00881147,0.0299112,0.00271196,0.00655851,0.0153612,0.0239745,0.0270434,0.00600551,0.0205497,0.0135435,0.0118981,0.0178648,0.0184274,0.0156383,0.0149848,0.0084882,0.00371529
6,0.0256408,0.0164323,0.00266996,0.00668821,0.0147749,0,0.0182201,0.00903126,0.0142217,0.0252967,0.0458001,0.0465062,0,0,0.0272507,0.0148304,0.0099777,0.0164154,0.01325,0.00759656,0.00990757,0.00515091,0.00543452,0.00382216,0.00747116,0.0133155,0,0.0217422,0.00815609,0.0310909,0.0406978,0,0,0.0111787,0.00876246,0.0299205,0.00256996,0.00647479,0.0152699,0.0239109,0.0270204,0.00602368,0.0205872,0.0134458,0.0118038,0.0176863,0.0182488,0.0157255,0.0147292,0.00850476,0.00365275
7,0.0255324,0.0163891,0.00252287,0.00672182,0.0146871,0,0.0182707,0.0090428,0.0140864,0.0252813,0.0457212,0.0467235,0,0,0.0272762,0.0149282,0.0100469,0.016498,0.0130442,0.00743853,0.00973478,0.00499128,0.00537764,0.00377755,0.00747904,0.0132117,0,0.0217988,0.00821894,0.0311203,0.0407693,0,0,0.0111531,0.0087174,0.0299104,0.00256278,0.00639179,0.0151426,0.0238426,0.0268705,0.00598872,0.0204443,0.0132751,0.0116478,0.0174822,0.0181096,0.0156766,0.0144302,0.00859524,0.00358632
8,0.0253375,0.0162978,0.00239908,0.00677325,0.0145595,0,0.0183584,0.00904476,0.0139338,0.0252181,0.0457017,0.0469524,0,0,0.0272876,0.015067,0.0101642,0.0166252,0.012794,0.00739716,0.00948523,0.00475347,0.00530579,0.00379455,0.00745119,0.0131046,0,0.021835,0.00830094,0.0311604,0.0408179,0,0,0.0111131,0.00869522,0.0297728,0.00266021,0.00627228,0.0149895,0.0237542,0.02677,0.00588073,0.0200927,0.0130748,0.0115242,0.0172663,0.0179528,0.0154423,0.0140753,0.00870632,0.00351691
9,0.0250943,0.0162124,0.00228781,0.00682851,0.0143541,0,0.0185038,0.00904414,0.0137628,0.0251029,0.0457314,0.0471103,0,0,0.0272995,0.0152274,0.0102601,0.0168008,0.0125967,0.00735991,0.00916936,0.00446272,0.00519994,0.0037852,0.00738639,0.0128946,0,0.0218369,0.00839779,0.031228,0.040939,0,0,0.0110427,0.00870962,0.0295103,0.00258972,0.00611121,0.014811,0.0236473,0.0267934,0.00574486,0.0196285,0.0128498,0.0115015,0.017016,0.0177664,0.0151815,0.0136687,0.00878321,0.00342922
10,0.0249024,0.0161664,0.00223279,0.00687521,0.0141099,0,0.0186942,0.0090534,0.0135737,0.0249881,0.0457845,0.0470472,0,0,0.0273136,0.0154117,0.0103858,0.0170124,0.0124916,0.00719375,0.00881147,0.0041527,0.00506888,0.00370634,0.00732266,0.0126519,0,0.0218551,0.00847517,0.0313142,0.0413915,0,0,0.0109574,0.00871839,0.0292089,0.0023051,0.00594578,0.0146003,0.0235523,0.0268885,0.00566058,0.0191462,0.012564,0.0115867,0.0167223,0.0175696,0.015051,0.0132091,0.00884792,0.00331125
11,0.0247877,0.0160805,0.00228551,0.00690244,0.0138835,0,0.0188542,0.00908534,0.0133763,0.0249166,0.0458114,0.0467443,0,0,0.0273398,0.015643,0.010671,0.0172272,0.0123534,0.00689101,0.00841854,0.00385927,0.00492667,0.00360982,0.00728001,0.0125016,0,0.0219228,0.00851581,0.0313906,0.0419525,0,0,0.0108883,0.00864622,0.0288501,0.00217032,0.0057935,0.0143663,0.0234754,0.0270372,0.00576185,0.0186622,0.0122131,0.0117054,0.0164033,0.0173545,0.0150045,0.012741,0.00894913,0.00316295
12,0.0246849,0.0158713,0.00238874,0.00689311,0.0136463,0,0.0189148,0.00914524,0.0131792,0.0248495,0.0457848,0.0463868,0,0,0.0274142,0.015906,0.0110941,0.0173991,0.0119796,0.00651936,0.00799423,0.00358548,0.00477405,0.00354118,0.00724234,0.0123657,0,0.0220153,0.00855777,0.0314379,0.042098,0,0,0.0108536,0.00850623,0.0283487,0.00237919,0.00563628,0.0141237,0.0233801,0.0272086,0.00609839,0.018187,0.0117892,0.0117994,0.0160475,0.017079,0.0149167,0.0123647,0.00908484,0.00298152
13,0.0245681,0.0155457,0.00236639,0.00683759,0.013332,0,0.0189209,0.00922392,0.0129788,0.0247181,0.0457307,0.0461655,0,0,0.0275681,0.0161414,0.0114215,0.0175103,0.0112926,0.00611604,0.00755738,0.00332201,0.0046107,0.00349594,0.0071954,0.0120348,0,0.0221136,0.00866646,0.0314547,0.0417908,0,0,0.0108443,0.00839727,0.0276645,0.00266201,0.0054584,0.0138635,0.0232518,0.0273201,0.00649446,0.0177521,0.0112649,0.0119575,0.0156191,0.016722,0.0147674,0.0120812,0.00921685,0.00276324
14,0.0244696,0.0151351,0.00221632,0.00675671,0.0129304,0,0.0189867,0.00929913,0.0127521,0.0245161,0.0456689,0.0461428,0,0,0.0278194,0.0163124,0.0114939,0.0176196,0.0103846,0.00568923,0.00709577,0.00309216,0.00444154,0.00346486,0.00715632,0.0114528,0,0.0222153,0.00886749,0.0314219,0.041553,0,0,0.0108329,0.00835734,0.0267386,0.00268696,0.00525525,0.0135657,0.0231161,0.0273794,0.00676257,0.017327,0.0107292,0.0122631,0.0151483,0.0163263,0.0146042,0.011735,0.0093078,0.00251491
15,0.024381,0.0146945,0.00217892,0.00668891,0.0124801,0,0.019103,0.00925894,0.0124671,0.0242785,0.0455797,0.0463635,0,0,0.0281846,0.0164356,0.0114063,0.0178031,0.00942452,0.00525322,0.00656185,0.00293137,0.0042759,0.00344323,0.00713733,0.0107841,0,0.0222777,0.0091191,0.0313502,0.0416446,0,0,0.0108059,0.00832069,0.0255421,0.00254329,0.00501566,0.0132339,0.0229734,0.0275003,0.00698091,0.0168641,0.0103425,0.0126166,0.0147071,0.0159333,0.0143977,0.0112387,0.00933076,0.00224175
16,0.0242598,0.0142975,0.00236095,0.00665647,0.0120304,0,0.0191238,0.00910557,0.0121152,0.0239963,0.0454436,0.046771,0,0,0.0286119,0.0165515,0.0113276,0.0180317,0.00854771,0.00479589,0.00596262,0.00281966,0.00413022,0.00347804,0.00710421,0.0102018,0,0.0222355,0.00936316,0.0312973,0.0417801,0,0,0.010792,0.0082251,0.0242237,0.00249543,0.00472734,0.0128933,0.0227904,0.0277385,0.00730897,0.0164162,0.0100853,0.0128916,0.0142652,0.0155047,0.0140842,0.0107065,0.00928602,0.00193369
17,0.0241038,0.0138983,0.00257538,0.00665871,0.0116169,0,0.0190099,0.00949329,0.0117255,0.0236242,0.0452608,0.0469836,0,0,0.0289816,0.0166763,0.011346,0.0182034,0.00774724,0.00424003,0.00535391,0.00271823,0.00401381,0.00357965,0.00702219,0.00968227,0,0.022079,0.00960267,0.0312601,0.0416604,0,0,0.0108342,0.00807865,0.022917,0.00262237,0.00439728,0.0125662,0.0225564,0.028049,0.00769968,0.0160397,0.00980435,0.0131036,0.0137233,0.0149807,0.0137029,0.0102291,0.00920206,0.0015856
18,0.0239505,0.0134332,0.00269466,0.00668857,0.0111949,0,0.0188946,0.0111391,0.0113216,0.0231664,0.045039,0.0466309,0,0,0.0292944,0.0167735,0.0114357,0.0182777,0.00692175,0.00353311,0.00472887,0.00261398,0.00391871,0.00368618,0.00693796,0.00906556,0,0.0218497,0.00988608,0.0311759,0.0412922,0,0,0.0109292,0.00792116,0.0215224,0.00283765,0.00405894,0.0122572,0.0222845,0.0284053,0.00802154,0.0156845,0.00950241,0.0133088,0.0130852,0.0143787,0.0132928,0.00973156,0.00908812,0.00122237
