Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0183604,0.0237379,0.0259669,0.0180665,0.0132531,0,0.0327363,0.0196181,0.0193791,0.0179423,0.0254696,0.023403,0,0,0.0234054,0.0219831,0.0196881,0.0152608,0.0230671,0.0206276,0.0183794,0.0184935,0.0199811,0.0101883,0.013538,0.0175766,0,0.0373522,0.019069,0.0160203,0.0198111,0,0,0.0110839,0.0145225,0.0195374,0.0204648,0.0185895,0.0224629,0.0185828,0.0220984,0.0160826,0.0228527,0.0228886,0.0178277,0.0181134,0.0189754,0.018818,0.017851,0.0190546,0.0222126
0,0.0238201,0.0130476,0.0249301,0.0251466,0.011125,0,0.0303648,0.0169231,0.0144728,0.0228795,0.0350736,0.0377038,0,0,0.0365163,0.0378148,0.0360319,0.0340016,0.0385354,0.0390024,0.0340848,0.0378082,0.0179301,0.0286683,0.0240435,0.012637,0,0.0175185,0.0211594,0.027527,0.0141665,0,0,0.0179246,0.0248273,0.0191075,0.023765,0.0270338,0.0173949,0.02433,0.0441825,0.0325512,0.0407599,0.0337756,0.0392152,0.0294157,0.034938,0.0380858,0.0318676,0.0375442,0.012131
1,0.0229103,0.0137273,0.0249492,0.0274445,0.0119569,0,0.0296148,0.0163763,0.0219219,0.0366476,0.0324965,0.0358269,0,0,0.0210564,0.0308133,0.0352384,0.0286271,0.0325739,0.0305594,0.0280964,0.0285398,0.0184174,0.0254456,0.0205811,0.0130717,0,0.014793,0.0198958,0.0238624,0.0130093,0,0,0.0163414,0.0237971,0.0194433,0.02356,0.0333024,0.0229099,0.0338653,0.0328811,0.032503,0.0333503,0.0323245,0.0329804,0.0247291,0.0269509,0.0297595,0.0279284,0.0304742,0.0110272
2,0.0221809,0.0144299,0.0251022,0.0244612,0.0133358,0,0.0294534,0.0155087,0.0149341,0.0333705,0.0301205,0.0345814,0,0,0.012407,0.0225829,0.026204,0.0209692,0.0275553,0.0247429,0.0243682,0.0229577,0.0207345,0.0222258,0.0178516,0.0135898,0,0.011876,0.018736,0.0208203,0.0137211,0,0,0.0142885,0.0229855,0.0192938,0.0234655,0.032953,0.0233467,0.0336382,0.0230358,0.0304732,0.0268048,0.0290529,0.0272092,0.0226402,0.0219668,0.0242645,0.0262183,0.0258483,0.0141269
3,0.021711,0.0152542,0.0251626,0.0201771,0.0149976,0,0.0295734,0.0147877,0.00887515,0.0207282,0.0283842,0.0338045,0,0,0.0109454,0.0144121,0.0151567,0.0135429,0.02412,0.0218194,0.0225068,0.0200387,0.0254994,0.019508,0.0160988,0.0139043,0,0.00870063,0.0181465,0.0185491,0.0145351,0,0,0.0125356,0.0227651,0.0186566,0.0230699,0.0254331,0.0179062,0.0251732,0.0190608,0.0254868,0.022532,0.0239598,0.0230818,0.0240881,0.0233236,0.0248198,0.0270217,0.0258782,0.0140009
4,0.0208178,0.0165608,0.0249864,0.018526,0.0152669,0,0.0297231,0.0145085,0.0172881,0.0138677,0.0272607,0.0329622,0,0,0.0129321,0.0113722,0.0112148,0.0096472,0.0225377,0.0208806,0.0206375,0.0175057,0.0289306,0.0172297,0.0146959,0.0126751,0,0.00542586,0.0174046,0.0166545,0.0141731,0,0,0.0115021,0.0225009,0.0173653,0.021469,0.0165314,0.0160591,0.0167102,0.0193869,0.0192041,0.0184904,0.0176054,0.0197161,0.0268897,0.0269286,0.0279501,0.0280104,0.027802,0.019844
5,0.0192933,0.0177135,0.0241509,0.0192843,0.0123988,0,0.0292959,0.0154593,0.0167362,0.0156919,0.0261789,0.0305222,0,0,0.0151573,0.00915966,0.00807705,0.00693827,0.0219355,0.0206996,0.0183103,0.0160812,0.0282236,0.0156253,0.0123292,0.00849321,0,0.00358718,0.0170326,0.0150007,0.0118907,0,0,0.0106183,0.0210636,0.0150407,0.0181672,0.012209,0.0159819,0.0121077,0.0186781,0.0144959,0.0137863,0.0128457,0.0157295,0.0279984,0.0275539,0.0287759,0.0277938,0.0282578,0.0235283
6,0.0182622,0.0189827,0.0234906,0.0207066,0.00772608,0,0.0287137,0.0175875,0.0151307,0.0218103,0.0250832,0.0264313,0,0,0.013612,0.00420967,0.00532196,0.00878379,0.0211065,0.0195298,0.0169233,0.0175153,0.0250699,0.0151391,0.00918556,0.00507321,0,0.00722949,0.0178626,0.0145702,0.0105328,0,0,0.0100933,0.0184056,0.0138001,0.014743,0.0128029,0.0134609,0.0170728,0.0167606,0.0126006,0.012014,0.0104181,0.0139591,0.0256155,0.024781,0.026662,0.0263773,0.0270436,0.02174
7,0.0185046,0.020127,0.0238313,0.0220423,0.00526781,0,0.0283018,0.0199336,0.0186419,0.0278869,0.0242502,0.0225098,0,0,0.00824757,0.00936411,0.00997791,0.0135588,0.0196508,0.0176503,0.0156907,0.0180109,0.0217939,0.0153158,0.00681929,0.00753828,0,0.0118927,0.0190086,0.0159027,0.0133672,0,0,0.0107454,0.0156836,0.0141281,0.0132082,0.0157624,0.0119711,0.0233412,0.0151933,0.0145846,0.0144212,0.0118855,0.0156913,0.021604,0.0210171,0.0237928,0.0242872,0.0255237,0.0182147
8,0.0191341,0.0201684,0.0244829,0.0233221,0.00489458,0,0.0272658,0.0219185,0.0205144,0.0315309,0.0235603,0.0199478,0,0,0.00550511,0.0112688,0.0119967,0.0146435,0.0184904,0.0167612,0.0136728,0.0151782,0.0190776,0.015295,0.00557995,0.00908335,0,0.0154608,0.0199585,0.0178996,0.0177954,0,0,0.0121284,0.0134783,0.0135267,0.0129682,0.0189045,0.0123408,0.0270638,0.013637,0.0171216,0.016585,0.0149524,0.016997,0.018502,0.0176615,0.0212034,0.022188,0.0238187,0.0151194
