time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0,0.125183,-0.015337,0.0830303,-0.131437,1.15684,-0.598364,-0.209234,-0.124527,-0.288433,0.0108036,0.0569507,0.244292,-0.0173464,-0.171755,-0.190838,-0.342632,0.0159341,0.0923838,0.437156,-0.0184274,-0.26747,0.0272427,-0.0675828,-0.0998315,-0.171612,-0.198312,0.972434,2.12027,-0.133407,-0.175776,-0.143928,0.956263,2.04023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.206981,0,-0.331333,-0.00423518,-2.41488,0.303706,0.714623,407.474,-51.2459,-0.202337,0,-0.867401,-0.0382805,3.47737,0.472227,-4.24398,385.519,52.3535,0.000306511,0.0418266,0
0.01,0.124236,-0.0149183,0.0825308,-0.131702,1.15678,-0.59851,-0.207594,-0.125676,-0.289349,0.0123821,0.0575018,0.24517,-0.0173465,-0.171439,-0.19034,-0.342462,0.015357,0.0919049,0.436034,-0.0184321,-0.26635,0.0268496,-0.0670276,-0.098137,-0.17448,-0.191712,0.986273,2.1166,-0.132568,-0.179028,-0.13672,0.969264,2.03966,-0.094664,0.0418707,-0.049949,-0.0265,-0.0050601,-0.0145494,0.163984,-0.114865,-0.0915821,0.157856,0.0551053,0.0877434,-5.195e-06,0.0316842,0.049759,0.01701,-0.0577153,-0.0478888,-0.112285,-0.000471896,0.11197,-0.0393115,0.0555203,0.169453,-0.286731,0.660036,1.38382,-0.367027,0.0838962,-0.325111,0.72079,1.30006,-0.0567127,-4.22968,1.24343,-7.08825,-0.0745836,0.203981,0.120198,7.67786,6.29716,3.0586,5.0044,-20.4944,4.02656,-0.0375179,7.65799,8.0412,4.32016,8.44007,-23.4964,4.8139,-0.0803888,7.06351,1.47366,-3.37853,2.39059,-0.877773,-0.256875,2.96024,-0.118722,2.02925,-1.24907,-0.390117,2.69152,-0.0909893,-1.21616,-1.41808,0.20187,-0.33772,-2.41527e-05,0.0352862,1.35177,1.77101,1.71567,-0.343102,-1.80557,-2.70362,-9.59968e-06,3.28983,-1.74062,0.326605,2.44958,0.790839,-0.853093,1.28707e-05,0.309758,2.11364,-4.28744,3.70215,-1.11828,7.21567,11.7102,-17.0438,-1.3614,-1.82208,-0.661222,12.2362,-5.1927,0,0,1,1,-0.206787,0,-0.331198,-0.00314521,-2.3839,0.299794,0.536738,406.819,-51.1605,-0.202288,0,-0.867296,-0.0382158,3.49456,0.474789,-4.22867,386.681,52.5365,0.000301133,0.0418959,8.35112
0.02,0.123168,-0.0146414,0.0820515,-0.132001,1.15673,-0.598652,-0.205819,-0.126648,-0.290093,0.0139264,0.0578723,0.245777,-0.0173466,-0.170793,-0.190017,-0.34226,0.0150248,0.0915051,0.434825,-0.0184368,-0.265199,0.0266678,-0.0669011,-0.0960722,-0.177459,-0.18439,1.00128,2.11123,-0.131865,-0.182461,-0.129578,0.983488,2.03858,-0.106826,0.0276898,-0.0479303,-0.0298772,-0.00506034,-0.0141966,0.177501,-0.0971552,-0.0744255,0.154425,0.0370495,0.0607072,-5.291e-06,0.0645825,0.0323528,0.020276,-0.0332196,-0.0399804,-0.120816,-0.000471767,0.115067,-0.0181751,0.0126459,0.206474,-0.297914,0.732193,1.50092,-0.537465,0.0702821,-0.343331,0.714177,1.42242,-0.10864,-4.03926,1.30645,-6.90601,-0.165183,0.109272,0.139947,7.79801,6.29915,3.02359,4.95616,-20.7085,4.00951,-0.0376315,7.50778,7.92263,4.33254,8.62017,-23.6934,4.65474,-0.0803681,7.17306,1.51927,-3.26222,2.35942,-0.84417,-0.25116,2.99006,-0.118932,2.03791,-1.19068,-0.375946,2.73141,-0.0913661,-1.2166,-1.3844,0.271745,-0.345865,0.00382276,0.0285863,1.38402,1.72403,1.56394,-0.336547,-1.73294,-2.60813,-9.96903e-06,3.34199,-1.72162,0.368098,2.51897,0.800542,-0.81518,1.4097e-05,0.297488,2.10228,-4.18095,3.62659,-1.06994,6.96138,11.7567,-16.6539,-1.18539,-1.83264,-0.574605,12.176,-4.76673,0,0,1,1,-0.206561,0,-0.331065,-0.00193297,-2.35076,0.295583,0.333899,406.068,-51.0586,-0.202218,0,-0.867189,-0.0383722,3.50737,0.476829,-4.24525,388.033,52.7534,0.000295663,0.0420931,8.11014
0.03,0.121978,-0.014503,0.0815994,-0.132334,1.15668,-0.598791,-0.203906,-0.127447,-0.290681,0.015437,0.0580695,0.246123,-0.0173466,-0.169813,-0.189865,-0.34202,0.0149445,0.0911854,0.433536,-0.0184415,-0.264019,0.0266963,-0.0671928,-0.0936448,-0.180545,-0.176372,1.01747,2.10419,-0.131281,-0.186077,-0.122494,0.99893,2.03702,-0.118992,0.0138458,-0.0452128,-0.0333359,-0.00502211,-0.0139107,0.191341,-0.0799149,-0.0587861,0.15106,0.0197201,0.0346259,-5.39069e-06,0.0980024,0.0151365,0.023957,-0.00802985,-0.031975,-0.128968,-0.000471626,0.118042,0.00284767,-0.0291636,0.24274,-0.308613,0.801806,1.61849,-0.704004,0.0584282,-0.361658,0.708431,1.54418,-0.156307,-3.6031,1.48206,-6.3326,0.0452323,0.0293669,-0.0710717,8.14088,6.23412,2.9824,4.82907,-20.9313,3.99602,-0.0378783,7.33663,7.78862,4.33439,8.8015,-23.9031,4.49902,-0.0802286,7.29919,1.59123,-2.82888,2.35449,-0.796056,-0.240698,3.02832,-0.11832,2.08234,-1.15003,-0.370205,2.7862,-0.091628,-1.18836,-1.31014,0.4576,-0.36257,0.0114767,0.00658,1.42693,1.62517,1.21206,-0.296037,-1.55839,-2.40484,-1.06284e-05,3.4481,-1.6921,0.461205,2.72476,0.827939,-0.689403,1.78273e-05,0.230955,2.0656,-3.80326,3.409,-0.921119,6.22885,11.8777,-15.4098,-0.62825,-1.89171,-0.196117,11.9877,-3.59584,0,0,1,1,-0.206309,0,-0.330936,-0.000602632,-2.31614,0.291157,0.105435,405.225,-50.9399,-0.202122,0,-0.86708,-0.0388172,3.5146,0.478183,-4.30255,389.562,53.0024,0.000290415,0.0423722,7.43564
0.04,0.120669,-0.0144955,0.081193,-0.132704,1.15663,-0.598929,-0.20185,-0.128083,-0.291148,0.016918,0.0581108,0.246229,-0.0173467,-0.168488,-0.189883,-0.341734,0.0151367,0.0909484,0.432177,-0.0184462,-0.262815,0.0269313,-0.0678647,-0.0908765,-0.183723,-0.167731,1.03484,2.09561,-0.13076,-0.189883,-0.115429,1.01557,2.03509,-0.130875,0.000744424,-0.0406368,-0.0369616,-0.00490734,-0.0138449,0.205611,-0.0636632,-0.0466655,0.148099,0.00413616,0.0105775,-5.49698e-06,0.132483,-0.00178451,0.0285691,0.0192178,-0.0236956,-0.135862,-0.000471448,0.120352,0.0235036,-0.0671962,0.27683,-0.317825,0.864095,1.73727,-0.858102,0.0521457,-0.380575,0.70647,1.66406,-0.192265,-2.98916,1.71127,-5.14367,0.0112877,-0.0541596,0.145301,8.62235,6.08135,2.9384,4.6531,-21.159,3.98351,-0.0382373,7.05054,7.71468,4.32503,9.03126,-24.1276,4.34749,-0.079889,7.53341,1.67962,-1.92193,2.39401,-0.730328,-0.222777,3.0797,-0.11662,2.16994,-1.10986,-0.366588,2.859,-0.0917104,-1.03817,-1.15336,0.747065,-0.394224,0.0305124,-0.0195229,1.36538,1.44067,0.725503,-0.211591,-1.29136,-2.17025,-1.18769e-05,3.48837,-1.60771,0.571649,3.08492,0.84873,-0.44371,2.4517e-05,0.00281063,1.92913,-2.96435,3.00641,-0.658339,4.94319,12.0995,-13.1304,0.501241,-2.05426,0.79981,11.6064,-1.75128,0,0,1,1,-0.206033,0,-0.330815,0.000855372,-2.28064,0.286587,-0.151634,404.295,-50.804,-0.201998,0,-0.866971,-0.0396131,3.5153,0.478725,-4.40881,391.242,53.2805,0.000285612,0.0426792,6.19233
0.05,0.119257,-0.0146034,0.0808613,-0.133113,1.15659,-0.59907,-0.199657,-0.128576,-0.291542,0.0183778,0.0580231,0.246118,-0.0173467,-0.166814,-0.190062,-0.341392,0.0156373,0.0907963,0.430774,-0.018451,-0.261611,0.0273593,-0.0688331,-0.0878076,-0.186967,-0.158596,1.05342,2.08571,-0.130188,-0.193894,-0.108284,1.03337,2.03299,-0.141257,-0.0107891,-0.0331662,-0.0409038,-0.00460222,-0.0140401,0.219264,-0.0492565,-0.0394105,0.145983,-0.00877745,-0.011125,-5.61574e-06,0.167367,-0.0178616,0.0342856,0.050067,-0.0152083,-0.140299,-0.000471203,0.12038,0.0427949,-0.0968398,0.306894,-0.324408,0.913527,1.85826,-0.989406,0.0571581,-0.401117,0.714468,1.78012,-0.209778,-2.23224,1.99244,-3.35919,0.157151,-0.00553861,0.0602848,9.19737,5.94722,2.89823,4.46181,-21.3865,3.97236,-0.0386771,6.64453,7.66667,4.30395,9.31446,-24.3682,4.19955,-0.0793071,7.86889,1.60304,-0.503706,2.50453,-0.634937,-0.191585,3.1531,-0.114113,2.31615,-1.05129,-0.357044,2.95391,-0.0919742,-0.63477,-0.825901,1.07501,-0.431468,0.0736427,-0.0500209,1.02633,1.09329,0.242737,-0.0928263,-0.958792,-2.02921,-1.36118e-05,3.25366,-1.3613,0.649005,3.54678,0.798655,-0.0933763,3.40447e-05,-0.531455,1.55683,-1.56561,2.4547,-0.316003,3.24874,12.3981,-10.1052,2.31671,-2.35817,2.687,10.9853,0.262704,0,0,1,1,-0.205737,0,-0.3307,0.00246652,-2.24481,0.281937,-0.443106,403.276,-50.6496,-0.201843,0,-0.866864,-0.0408149,3.50878,0.478358,-4.57189,393.037,53.5833,0.000280999,0.0430039,4.50169
0.06,0.117781,-0.0147939,0.0806372,-0.133565,1.15655,-0.599215,-0.197362,-0.128959,-0.291912,0.0198283,0.0578394,0.245804,-0.0173468,-0.164815,-0.190376,-0.340984,0.0164927,0.0907241,0.429362,-0.0184557,-0.260461,0.0279429,-0.0699581,-0.0844932,-0.190243,-0.149136,1.07324,2.07481,-0.129385,-0.198141,-0.100871,1.05227,2.03092,-0.147605,-0.0190482,-0.0224161,-0.0452185,-0.00386579,-0.0145403,0.229528,-0.0383236,-0.0369831,0.145055,-0.0183654,-0.0314171,-5.75186e-06,0.199904,-0.0314746,0.0407756,0.0855348,-0.00722179,-0.141233,-0.000470862,0.115065,0.0583632,-0.112496,0.331441,-0.327568,0.946014,1.98224,-1.09046,0.0803252,-0.424699,0.741338,1.88997,-0.207151,-1.41663,2.40631,-1.03146,-0.00346848,-0.059744,0.0738957,9.73503,5.89568,2.86624,4.30977,-21.6089,3.96278,-0.0391423,6.1021,7.61743,4.27153,9.63651,-24.6247,4.05293,-0.0785756,8.35191,1.34182,1.39952,2.68556,-0.516832,-0.148009,3.24534,-0.110878,2.5179,-0.940301,-0.327528,3.06944,-0.0926751,0.0933898,-0.286503,1.34061,-0.477047,0.143722,-0.0674794,0.329328,0.55079,-0.0858091,0.0835635,-0.574028,-2.07182,-1.49544e-05,2.58528,-0.897997,0.635229,3.99329,0.628754,0.305752,4.46449e-05,-1.45623,0.867516,0.45787,1.81298,0.0493867,1.30065,12.6921,-6.62717,4.87114,-2.80388,5.64061,10.0703,1.82013,0,0,1,1,-0.205425,0,-0.330591,0.00427268,-2.20908,0.277259,-0.777834,402.159,-50.4745,-0.20166,0,-0.866755,-0.0424578,3.4946,0.477018,-4.79789,394.904,53.9049,0.000276415,0.0433556,2.97827
0.07,0.116314,-0.015013,0.0805471,-0.134065,1.15653,-0.599367,-0.195034,-0.129287,-0.29229,0.0212873,0.0575984,0.245282,-0.0173468,-0.162558,-0.190781,-0.340512,0.0177474,0.0907148,0.42798,-0.0184604,-0.259456,0.0286133,-0.0710373,-0.0809975,-0.193514,-0.139546,1.09434,2.06324,-0.128095,-0.202669,-0.0928933,1.07218,2.02903,-0.146671,-0.0219132,-0.00900996,-0.049989,-0.00242858,-0.0152151,0.232821,-0.0328157,-0.0378412,0.145891,-0.0241056,-0.0521353,-5.90141e-06,0.225757,-0.0404546,0.0471279,0.125468,-0.000934244,-0.138175,-0.000470416,0.100503,0.0670383,-0.107917,0.349571,-0.327074,0.959021,2.10916,-1.15673,0.129037,-0.452738,0.797744,1.99068,-0.18895,-0.515033,3.20184,1.62833,-0.0125949,-0.0231518,0.0496853,10.2264,6.03133,2.84466,4.2152,-21.8223,3.95788,-0.0395834,5.59131,7.4157,4.2268,9.88903,-24.8939,3.90471,-0.0779984,8.89407,0.915029,3.69346,2.92699,-0.388536,-0.0963209,3.34643,-0.106582,2.77005,-0.761923,-0.271271,3.20174,-0.0940659,1.099,0.411937,1.43075,-0.525433,0.238937,-0.0605134,-0.619185,-0.130402,-0.136758,0.393099,-0.138247,-2.32008,-1.49702e-05,1.48211,-0.275902,0.466543,4.27869,0.342719,0.692892,5.1994e-05,-2.72376,-0.0997894,3.12337,1.16128,0.376618,-0.813707,12.8079,-2.6247,8.14104,-3.33627,9.6454,8.77034,2.44987,0,0,1,1,-0.205098,0,-0.330485,0.00633373,-2.17371,0.272583,-1.16821,400.925,-50.2759,-0.201453,0,-0.866645,-0.0445497,3.47256,0.474669,-5.09051,396.795,54.2385,0.000272241,0.0437263,3.62928
0.08,0.114957,-0.015191,0.0806001,-0.134618,1.15653,-0.599525,-0.192767,-0.129629,-0.292682,0.0227855,0.0573435,0.244529,-0.0173469,-0.160152,-0.191213,-0.339995,0.0194299,0.0907397,0.426668,-0.0184651,-0.258723,0.0292737,-0.0718041,-0.0773856,-0.196747,-0.130037,1.11671,2.05141,-0.12599,-0.20753,-0.0839513,1.09296,2.02739,-0.135681,-0.0177938,0.00529757,-0.0552433,-3.921e-05,-0.0158203,0.226629,-0.0341197,-0.0392088,0.149822,-0.0254881,-0.0753361,-6.05111e-06,0.240578,-0.0432136,0.0517933,0.168255,0.00249294,-0.131246,-0.000469896,0.0732656,0.0660404,-0.0766834,0.361184,-0.323308,0.950884,2.23724,-1.18298,0.210447,-0.486101,0.894198,2.07838,-0.164451,0.773361,4.3006,4.37532,-0.0231357,-0.00319996,0.041714,10.7203,6.32153,2.83071,4.14701,-22.0215,3.95953,-0.0399396,5.32575,7.01461,4.16988,9.95701,-25.1715,3.75232,-0.0778364,9.52025,0.326626,6.19982,3.19932,-0.273315,-0.0462047,3.43869,-0.100668,3.04496,-0.519209,-0.188937,3.33731,-0.0960469,2.25527,1.15031,1.26128,-0.58139,0.346829,-0.0218617,-1.59109,-0.860276,0.152103,0.922556,0.336382,-2.73857,-1.3347e-05,0.0869132,0.393697,0.0822645,4.30082,-0.00390549,1.03532,5.36525e-05,-4.17994,-1.22293,6.32793,0.609524,0.596938,-3.01333,12.5272,2.1634,11.9838,-3.83851,14.4039,6.99743,2.00285,0,0,1,1,-0.20476,0,-0.330379,0.00872894,-2.1387,0.267909,-1.63072,399.547,-50.0501,-0.201228,0,-0.866534,-0.0470772,3.44264,0.471301,-5.45159,398.661,54.5771,0.000268785,0.0440799,6.18376
0.09,0.113826,-0.0152539,0.0807792,-0.135228,1.15656,-0.599686,-0.19066,-0.130056,-0.293059,0.0243759,0.0571222,0.243502,-0.017347,-0.157737,-0.191606,-0.339468,0.0215425,0.0907642,0.425459,-0.0184698,-0.258408,0.0298118,-0.0719381,-0.0737128,-0.19992,-0.120829,1.14033,2.0398,-0.122687,-0.212775,-0.073569,1.11445,2.02594,-0.113128,-0.00629073,0.0179104,-0.0610572,0.00342908,-0.0160389,0.210718,-0.0427225,-0.0376878,0.159047,-0.0221243,-0.102722,-6.18458e-06,0.241447,-0.0392766,0.052616,0.211263,0.00245389,-0.120893,-0.000469359,0.0314662,0.0538112,-0.0134041,0.367279,-0.317338,0.92075,2.36251,-1.16134,0.330285,-0.524486,1.03824,2.14835,-0.144423,2.60494,5.22411,6.94743,-0.0722991,-0.0326319,0.0505043,11.2833,6.60593,2.81781,4.04379,-22.2031,3.96836,-0.0401459,5.44072,6.52627,4.10228,9.79747,-25.4532,3.59619,-0.0781356,10.1819,-0.449752,8.64301,3.47356,-0.198105,-0.0107005,3.50744,-0.093249,3.30405,-0.241076,-0.0927796,3.45658,-0.0980626,3.36398,1.79215,0.806395,-0.6492,0.449851,0.0450714,-2.30047,-1.56121,0.761226,1.72893,0.809779,-3.26233,-1.08413e-05,-1.32019,0.999833,-0.56063,4.11342,-0.308387,1.33003,5.0859e-05,-5.59845,-2.34202,9.78159,0.30495,0.630151,-5.12345,11.6771,7.62961,16.0971,-4.13451,19.2697,4.7313,0.901312,0,0,1,1,-0.204408,0,-0.330269,0.0115529,-2.10382,0.263209,-2.18557,398,-49.7939,-0.200994,0,-0.86642,-0.0500099,3.40502,0.466923,-5.8816,400.46,54.9142,0.000265705,0.0443429,9.07484
