time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0,0.00704824,-0.133778,0.111601,-0.0419491,0.896573,-0.284099,0.29315,0.146728,-0.00931149,-0.0281763,-0.0519092,-0.252658,-0.00690359,-0.323606,-0.199291,-0.435652,0.245473,0.467888,0.639955,-0.00919899,-0.25082,0.214196,-0.219068,-0.174661,-0.222591,-0.232798,0.524038,1.65615,0.0989949,-0.194876,0.106782,0.968963,1.88742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.144672,0,-0.227767,0.0353486,-0.267141,-0.00957492,-46.1429,348.718,12.4988,0,0,0,0,0,0,0,0,0,0.000815293,0.0592523,0
0.01,0.0016844,-0.155412,0.109331,-0.0288701,0.899955,-0.285215,0.293486,0.167695,-0.0164161,-0.0258041,-0.074845,-0.267601,-0.00690835,-0.327372,-0.225438,-0.451717,0.258386,0.452118,0.654883,-0.00914401,-0.243856,0.253659,-0.215583,-0.173565,-0.231919,-0.237113,0.533272,1.65838,0.0826724,-0.18024,0.101442,0.948138,1.8827,-0.536384,-2.16341,-0.226957,1.3079,0.338259,-0.111595,0.0335656,2.09669,-0.710465,0.237218,-2.29358,-1.49431,-0.000476134,-0.376539,-2.61462,-1.60644,1.29133,-1.57707,1.49275,0.00549767,0.696391,3.9463,0.348526,0.109644,-0.932811,-0.431522,0.923353,0.222709,-1.63225,1.46366,-0.534002,-2.08248,-0.472235,-6.91378,22.2519,7.18687,-0.05741,-0.137264,-0.309678,-51.0074,6.5382,1.13789,24.7476,1.98725,-0.631671,-0.0097278,17.3244,6.58836,1.22118,-1.28968,0.0717551,0.239319,0.00455257,25.9833,-8.72356,5.57058,0.104864,-0.973704,-0.272725,0.538657,-0.0404119,-2.41873,-1.65816,-0.291989,0.0134037,0.0126492,0.0108535,9.33124,-2.08071,-1.06873,-3.55023,0.89294,-6.64233,-5.08906,14.994,5.18316,38.7456,18.177,-4.0658e-06,24.134,11.4081,56.1094,34.0458,-27.7871,-47.4252,7.6695e-05,-2.29818,-13.2127,1.8546,1.4925,5.71707,-11.9197,0.63542,-1.48539,0.335653,-10.3207,16.0728,-1.2022,13.1819,0,0,1,0,0.147685,0,-0.226838,0.061616,-0.46291,-0.0110043,-48.7879,366.535,8.71327,0,0,0,0,0,0,0,0,0,0.000661103,0.0544935,24.3868
0.02,-0.00367836,-0.176113,0.106854,-0.015898,0.902983,-0.286242,0.293157,0.188153,-0.0220214,-0.0229136,-0.0939062,-0.280726,-0.00691311,-0.328724,-0.250443,-0.46217,0.274704,0.433568,0.665068,-0.00908902,-0.237122,0.291801,-0.211912,-0.172319,-0.240676,-0.24262,0.542569,1.66045,0.0663834,-0.166635,0.097709,0.927193,1.87929,-0.536276,-2.0701,-0.247764,1.29721,0.302757,-0.102665,-0.0328577,2.0458,-0.560525,0.289049,-1.90612,-1.31254,-0.000476174,-0.135199,-2.50054,-1.04535,1.63179,-1.85494,1.0185,0.00549844,0.673409,3.81418,0.367072,0.124569,-0.87564,-0.550719,0.929707,0.207855,-1.62889,1.36045,-0.373274,-2.0945,-0.340417,-7.51162,18.6784,6.91221,0.095243,-0.224166,-0.0980165,-49.5035,2.77957,1.30629,23.6065,2.52414,-0.713961,-0.00975015,15.4563,6.58193,1.14961,-0.628589,0.0726341,0.233472,0.00409416,25.7473,-10.1996,5.17238,0.0109808,-1.0068,-0.287721,0.536646,-0.0413544,-2.33524,-1.70819,-0.316485,0.0729058,0.00985614,-0.0765982,9.82759,-2.03762,-1.14056,-3.27917,0.805387,-6.62344,-5.63897,14.9982,4.9507,38.8062,18.4586,-3.93013e-06,24.6967,12.0004,56.704,34.4359,-27.7126,-48.9852,7.74665e-05,-2.18505,-13.8152,1.68899,1.69924,5.82286,-11.6549,0.375751,-1.69377,0.368221,-10.5134,16.0575,-0.956564,13.3184,0,0,1,0,0.151442,0,-0.225798,0.0827184,-0.620187,-0.00783773,-51.5691,386.643,4.88628,0,0,0,0,0,0,0,0,0,0.000561876,0.0504585,21.2875
0.03,-0.00904877,-0.195832,0.104172,-0.00304001,0.905682,-0.287188,0.292166,0.208047,-0.0261268,-0.0195281,-0.109087,-0.292006,-0.00691788,-0.327606,-0.274248,-0.466953,0.294466,0.412247,0.670354,-0.00903403,-0.230606,0.328561,-0.208072,-0.170904,-0.24885,-0.249293,0.551903,1.66236,0.0501313,-0.154082,0.095582,0.906153,1.87722,-0.537042,-1.97182,-0.26814,1.2858,0.269965,-0.0946116,-0.0990921,1.98941,-0.410543,0.338556,-1.51806,-1.12795,-0.000476214,0.111768,-2.38054,-0.478309,1.97615,-2.13207,0.528644,0.00549921,0.651559,3.67603,0.383962,0.141562,-0.817411,-0.667268,0.933464,0.190917,-1.62521,1.25531,-0.212699,-2.10407,-0.207233,-7.93583,15.4484,6.55505,0.0434069,-0.143905,-0.0460629,-48.1625,-1.03407,1.41201,22.5466,2.75046,-0.730047,-0.009768,13.9025,6.36919,1.09269,-0.0428724,0.0816606,0.216961,0.0031731,25.5362,-12.1484,4.80538,-0.0457101,-1.04653,-0.302428,0.555365,-0.0427093,-2.2121,-1.77815,-0.350796,0.151935,0.00623348,-0.346323,11.1336,-1.85469,-1.25881,-2.99499,0.729639,-6.59029,-7.15183,14.8342,4.17168,38.6701,19.041,-3.78568e-06,26.3061,13.572,58.0187,35.7003,-27.3849,-53.6632,7.81888e-05,-1.92358,-15.4717,1.20262,2.27903,6.11632,-10.7979,-0.355837,-2.32436,0.482656,-11.0599,15.9702,-0.224205,13.6424,0,0,1,0,0.155339,0,-0.224828,0.0966579,-0.726646,-0.002168,-54.3564,408.635,1.21919,0,0,0,0,0,0,0,0,0,0.000494037,0.0470493,18.5641
0.04,-0.0144538,-0.214436,0.101306,0.00969215,0.908082,-0.288061,0.290516,0.227226,-0.0287488,-0.0157253,-0.1204,-0.301381,-0.00692264,-0.323858,-0.296697,-0.465935,0.317797,0.388188,0.670274,-0.00897903,-0.224283,0.363774,-0.204113,-0.16926,-0.256412,-0.257045,0.561203,1.66404,0.0339274,-0.142635,0.095052,0.885089,1.87651,-0.540505,-1.86049,-0.286687,1.27322,0.240016,-0.0873152,-0.164995,1.91789,-0.262201,0.380273,-1.13136,-0.937541,-0.000476252,0.374829,-2.24482,0.101877,2.33315,-2.40591,-0.00798811,0.0055,0.632323,3.52131,0.395989,0.164352,-0.756248,-0.775247,0.929906,0.167673,-1.62039,1.14472,-0.0529968,-2.10631,-0.0708089,-7.88915,12.214,6.16185,-0.0936339,0.0223469,0.204619,-46.726,-4.89418,1.43006,21.453,2.65451,-0.666971,-0.00971273,12.7526,6.08519,1.01249,0.472449,0.099928,0.18933,0.00166796,25.2575,-14.7319,4.45049,-0.0714067,-1.08656,-0.31411,0.593348,-0.0441161,-2.0239,-1.86822,-0.397828,0.260308,0.00113609,-0.749003,13.2415,-1.44859,-1.4392,-2.7087,0.669144,-6.4994,-9.69336,14.1896,2.63466,37.8929,19.7278,-3.60292e-06,29.062,16.1296,59.6049,37.9625,-26.5799,-61.9282,7.85777e-05,-1.52713,-18.2247,0.343569,3.2569,6.60421,-9.10573,-1.57078,-3.45209,0.720633,-12.0045,15.7127,1.1604,14.0378,0,0,1,0,0.159295,0,-0.22395,0.102697,-0.778301,0.00378394,-57.0005,431.983,-2.10021,0,0,0,0,0,0,0,0,0,0.000446832,0.0441593,15.7937
0.05,-0.0199338,-0.231717,0.0982938,0.0222804,0.910212,-0.288867,0.288216,0.245435,-0.0299519,-0.0116591,-0.127925,-0.308784,-0.0069274,-0.317203,-0.317532,-0.458955,0.344925,0.361471,0.664002,-0.00892402,-0.218113,0.397165,-0.200118,-0.167291,-0.263314,-0.265708,0.570345,1.66537,0.0177956,-0.132388,0.0960933,0.864142,1.87721,-0.547995,-1.72807,-0.301173,1.25882,0.212929,-0.0806237,-0.229989,1.82096,-0.120305,0.40662,-0.75243,-0.740262,-0.000476288,0.665449,-2.08352,0.697927,2.71278,-2.67171,-0.62727,0.00550078,0.617052,3.33906,0.399424,0.196921,-0.690206,-0.866304,0.914198,0.133152,-1.61318,1.02467,0.10413,-2.09471,0.0695687,-7.24614,8.90703,5.6489,-0.151436,-0.0840296,-0.414823,-44.948,-8.74604,1.34771,20.2638,2.2303,-0.506096,-0.00950136,11.9358,5.60298,0.889726,0.899593,0.130675,0.148592,-0.000548878,24.829,-18.0325,4.09484,-0.0828924,-1.10162,-0.315955,0.644307,-0.0447344,-1.75988,-1.98787,-0.461727,0.397933,-0.00603024,-1.19533,15.7999,-0.772363,-1.67974,-2.43926,0.604279,-6.20272,-12.9602,12.6276,0.476174,36.0901,20.3201,-3.40627e-06,32.6704,19.2643,60.5277,40.903,-25.0829,-72.562,7.81217e-05,-1.01774,-21.6701,-0.796924,4.46844,7.20807,-6.56994,-3.02137,-4.93387,1.1112,-13.2443,15.185,3.22301,14.2463,0,0,1,0,0.163239,0,-0.223173,0.101536,-0.780363,0.00844003,-59.3424,456.082,-4.93277,0,0,0,0,0,0,0,0,0,0.000412501,0.0417127,12.8045
0.06,-0.0255333,-0.247418,0.0952049,0.0347006,0.912097,-0.289613,0.285296,0.262349,-0.0298922,-0.00754533,-0.13184,-0.314154,-0.00693216,-0.307282,-0.336441,-0.445923,0.376143,0.332246,0.650473,-0.00886901,-0.212044,0.428389,-0.196204,-0.164875,-0.269496,-0.275028,0.579184,1.66621,0.00177496,-0.123466,0.0986531,0.843518,1.87933,-0.559948,-1.57007,-0.308897,1.24203,0.188536,-0.074581,-0.292016,1.69136,0.00597095,0.411381,-0.391529,-0.537062,-0.000476322,0.992153,-1.89088,1.3032,3.12181,-2.92254,-1.35289,0.00550156,0.606874,3.12236,0.391455,0.241605,-0.618125,-0.932003,0.883985,0.0838138,-1.60207,0.892229,0.25598,-2.06248,0.212032,-6.25159,5.7874,5.12446,-0.494439,-0.136364,0.352748,-42.8569,-12.7249,1.15229,19.064,1.48417,-0.231138,-0.00902475,11.2665,4.81215,0.724035,1.22576,0.179568,0.0956406,-0.00357671,24.2642,-21.5722,3.77527,-0.0959586,-1.10416,-0.309982,0.70073,-0.0442575,-1.42345,-2.11231,-0.534684,0.56435,-0.0154313,-1.63183,18.2972,0.136544,-1.97102,-2.19684,0.566604,-5.40848,-16.4744,9.50722,-1.53402,33.3195,21.1014,-3.15255e-06,36.5603,22.3585,59.6324,43.8407,-22.6737,-82.5986,7.61561e-05,-0.408281,-25.168,-1.99517,5.62399,7.79683,-3.42243,-4.29915,-6.43552,1.646,-14.5743,14.2851,5.88004,13.9656,0,0,1,0,0.167123,0,-0.222492,0.0950217,-0.745459,0.0111858,-61.2235,480.307,-7.20715,0,0,0,0,0,0,0,0,0,0.000385838,0.0409524,9.96112
0.07,-0.0312959,-0.261289,0.0921296,0.0469238,0.913763,-0.290302,0.281835,0.277615,-0.0288817,-0.00358492,-0.132423,-0.317415,-0.00693693,-0.293704,-0.353114,-0.426928,0.411745,0.300753,0.628684,-0.00881399,-0.206016,0.457095,-0.192489,-0.161896,-0.274897,-0.284691,0.587594,1.6664,-0.0140811,-0.116001,0.102641,0.823481,1.88285,-0.576267,-1.3871,-0.307531,1.22232,0.166568,-0.0689149,-0.346101,1.52661,0.101043,0.396041,-0.0583341,-0.326048,-0.000476353,1.35776,-1.66729,1.89953,3.56021,-3.14928,-2.17888,0.00550232,0.602791,2.87068,0.371503,0.297845,-0.540157,-0.966228,0.840993,0.0194586,-1.58561,0.746486,0.398831,-2.00368,0.351687,-5.18708,3.09774,4.39421,-1.04984,-0.678228,0.276148,-40.5808,-16.7731,0.833874,17.999,0.437832,0.164659,-0.00820967,10.625,3.35787,0.549227,1.39206,0.254598,0.0330385,-0.00747896,23.51,-25.2924,3.49618,-0.124523,-1.07323,-0.291931,0.755145,-0.0419803,-1.03762,-2.24978,-0.617461,0.743829,-0.0270979,-2.04887,20.2582,1.1253,-2.28927,-2.00097,0.527781,-3.79411,-19.7835,4.08526,-2.36103,30.2454,23.0754,-2.78238e-06,40.0001,24.8366,55.878,45.8825,-19.0595,-87.8819,7.29981e-05,0.252091,-28.131,-2.95247,6.43123,8.22887,-0.0133975,-5.01702,-7.54975,2.25543,-15.7572,12.8715,9.00357,12.9628,0,0,1,0,0.170923,0,-0.22189,0.0855325,-0.689653,0.0121987,-62.5163,504.072,-8.91611,0,0,0,0,0,0,0,0,0,0.000363653,0.0420592,7.57953
0.08,-0.0372635,-0.273134,0.0891668,0.058918,0.915228,-0.290939,0.277995,0.290903,-0.0274628,0.000139394,-0.129982,-0.318368,-0.00694169,-0.276127,-0.367303,-0.402345,0.451936,0.267354,0.598107,-0.00875895,-0.199963,0.482989,-0.189069,-0.158275,-0.279476,-0.294354,0.595503,1.66584,-0.0297116,-0.110112,0.107917,0.804344,1.88766,-0.596755,-1.18452,-0.296278,1.19942,0.146558,-0.0636371,-0.384042,1.32878,0.141896,0.372431,0.24412,-0.0952938,-0.000476381,1.75776,-1.41893,2.45831,4.01904,-3.33987,-3.0577,0.00550305,0.605312,2.58937,0.341979,0.362158,-0.457868,-0.966362,0.790823,-0.0560389,-1.56305,0.588914,0.527546,-1.91364,0.481316,-4.1332,0.786525,3.47063,-1.24167,-0.657372,0.447118,-38.2627,-21.0249,0.386886,17.187,-0.8738,0.667552,-0.00704685,10.0155,1.23979,0.388838,1.37342,0.363166,-0.0302974,-0.0122249,22.6461,-28.9055,3.2719,-0.170632,-1.03417,-0.269385,0.805465,-0.0382576,-0.626025,-2.37581,-0.700784,0.928124,-0.0406248,-2.42415,21.3073,1.97942,-2.5975,-1.83705,0.511141,-1.19475,-22.5035,-4.19848,-1.16798,27.8271,27.5489,-2.2699e-06,42.2338,26.2445,48.6039,46.1573,-13.8936,-84.3503,6.98729e-05,0.860406,-30.1021,-3.36053,6.66017,8.3837,3.23884,-4.91217,-7.91798,2.83748,-16.5627,10.7959,12.395,11.2021,0,0,1,0,0.174636,0,-0.221348,0.0753154,-0.628424,0.0120445,-63.1461,526.885,-10.0984,0,0,0,0,0,0,0,0,0,0.000344216,0.0427416,5.64987
0.09,-0.0434734,-0.282849,0.0864019,0.0706525,0.91651,-0.291524,0.274035,0.30194,-0.0264637,0.00374691,-0.124758,-0.316566,-0.00694646,-0.254326,-0.378868,-0.372902,0.496742,0.232566,0.559095,-0.00870392,-0.193824,0.505873,-0.185985,-0.153987,-0.283216,-0.303694,0.60292,1.66449,-0.0450584,-0.105879,0.114272,0.786447,1.89359,-0.620997,-0.971446,-0.276484,1.17345,0.128187,-0.0585257,-0.39599,1.10374,0.0999109,0.360751,0.522391,0.180196,-0.000476404,2.1801,-1.15648,2.94435,4.48061,-3.47881,-3.9012,0.00550375,0.613916,2.28835,0.308373,0.428759,-0.374031,-0.933973,0.741701,-0.135219,-1.53468,0.423287,0.635505,-1.78969,0.593337,-2.72932,-1.11591,2.23933,-1.40027,-0.576283,0.694423,-36.0565,-25.3833,-0.171632,16.6873,-2.41742,1.24396,-0.00561515,9.56214,-1.3734,0.255915,1.15422,0.506877,-0.085247,-0.0176472,21.9298,-32.1561,3.12006,-0.238177,-0.998902,-0.247772,0.846462,-0.0334549,-0.231123,-2.47488,-0.776574,1.09871,-0.0548741,-2.698,21.2645,2.48876,-2.86948,-1.70035,0.516283,2.27104,-24.347,-15.364,2.33587,26.8601,35.4435,-1.59783e-06,42.6615,26.3556,37.914,44.0304,-6.85633,-70.1462,6.74832e-05,1.27192,-30.8106,-2.97381,6.1889,8.19323,5.89013,-3.89977,-7.3195,3.31409,-16.8031,7.96893,15.7395,8.98263,0,0,1,0,0.178285,0,-0.220846,0.0661647,-0.575003,0.011354,-63.1002,548.372,-10.8282,0,0,0,0,0,0,0,0,0,0.000326777,0.0430379,4.06007
