time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0,-0.0837844,0.0141204,0.0266222,-0.130319,0.878865,-0.263229,0.551069,0.0131666,-0.0965362,0.132318,0.197696,-0.0388989,-0.00223425,-0.205819,0.0072437,-0.287253,0.208517,0.529884,0.393599,-0.0117436,-0.0397434,0.0130035,-0.123504,-0.291244,-0.136795,-0.308325,0.309325,1.64457,0.141362,-0.200854,-0.279316,0.881587,1.92305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.135819,0,-0.222808,-0.0168569,0.164468,0.00557685,-15.0023,146.373,4.96328,0,0,0,0,0,0,0,0,0,0.00117924,0.0548769,0
0.01,-0.0812058,-0.00401433,0.0274824,-0.113853,0.884363,-0.261805,0.540119,0.0328917,-0.101236,0.138222,0.141526,-0.0844104,-0.00226131,-0.220672,-0.0174213,-0.289873,0.223784,0.531003,0.386267,-0.0117169,-0.036102,0.0333959,-0.125197,-0.294738,-0.140477,-0.306148,0.306958,1.64456,0.133929,-0.19689,-0.278156,0.88263,1.92192,0.257859,-1.81348,0.0860192,1.64657,0.549804,0.14243,-1.09498,1.97251,-0.469989,0.590392,-5.61698,-4.55115,-0.00270656,-1.48538,-2.4665,-0.261954,1.52672,0.111897,-0.733174,0.00267132,0.364144,2.03924,-0.169301,-0.349341,-0.368207,0.217758,-0.236622,-0.00138658,-0.743244,0.396443,0.115993,0.104333,-0.113421,-7.35625,8.59187,-4.28302,0.0615909,0.132803,0.714129,-49.4795,-7.51456,0.253767,18.9199,-0.0116209,-0.567434,-0.0140204,28.7546,-1.57059,1.04164,-4.22625,-0.39931,0.125112,0.0211793,8.19162,-1.17114,6.80494,3.44143,0.384017,0.0927699,1.72035,-0.0306605,-4.90973,0.506026,0.0544039,-2.01039,0.0597971,-3.73989,3.96661,-3.50657,-1.92685,-6.92864,0.363889,10.8876,-5.03824,-5.68736,22.3074,61.7829,52.3964,-2.4761e-05,43.1623,0.040593,25.6037,61.3606,-70.9913,-47.0319,4.22664e-05,2.72804,-4.96697,5.8034,9.6673,5.61195,-12.0283,8.63215,3.20215,-4.41723,5.5147,-5.05779,-17.8722,4.45127,0,0,1,0,0.138018,0,-0.222397,-0.0197284,0.167585,0.00443293,-22.2833,189.288,5.00701,0,0,0,0,0,0,0,0,0,0.000804854,0.0495347,12.1165
0.02,-0.0790012,-0.0217524,0.0279919,-0.0975799,0.889168,-0.260344,0.530258,0.052113,-0.106505,0.146357,0.0915344,-0.124682,-0.00228838,-0.23121,-0.0420822,-0.289932,0.245188,0.525023,0.374232,-0.0116902,-0.0321878,0.0532917,-0.12631,-0.297265,-0.143598,-0.305173,0.305455,1.64487,0.126055,-0.192374,-0.277502,0.881886,1.92123,0.22046,-1.77381,0.0509535,1.6273,0.480518,0.146069,-0.986105,1.92213,-0.526862,0.813465,-4.99915,-4.02718,-0.0027068,-1.05375,-2.46609,-0.00591722,2.14033,-0.598016,-1.20349,0.00267174,0.391424,1.98957,-0.111267,-0.252668,-0.312087,0.0974745,-0.1503,0.0306349,-0.787416,0.45159,0.0654151,-0.0743889,-0.0689083,-9.24699,10.9255,-3.26806,-0.11117,0.020031,0.916384,-52.4409,-8.80923,0.588422,18.1904,0.978948,-0.669118,-0.0138417,27.9711,-2.07268,0.898245,-4.03565,-0.351678,0.0973089,0.0195069,9.77691,-1.24996,6.93249,3.28219,0.256621,0.0733324,1.69585,-0.0323379,-4.83889,0.430285,0.028853,-1.88223,0.0546774,-3.80812,3.9609,-3.58032,-2.10097,-6.20295,0.408385,10.6496,-4.82253,-4.39579,21.7511,62.2886,50.9642,-2.34321e-05,43.7206,-0.00394672,25.4314,61.9492,-71.3555,-46.7189,4.55222e-05,2.66525,-4.99446,5.88475,9.75402,5.62488,-12.1015,8.87756,3.11088,-4.3546,5.49081,-5.06271,-17.8286,4.50455,0,0,1,0,0.140817,0,-0.221854,-0.0229384,0.175547,0.00359528,-30.7767,235.534,4.82383,0,0,0,0,0,0,0,0,0,0.000569238,0.0450343,14.7108
0.03,-0.0771774,-0.0390945,0.0281434,-0.081517,0.893353,-0.258843,0.521462,0.070852,-0.112213,0.156667,0.0477717,-0.159858,-0.00231545,-0.237375,-0.0667436,-0.287448,0.272786,0.511907,0.357525,-0.0116635,-0.028007,0.072688,-0.126834,-0.298816,-0.146156,-0.305408,0.30484,1.64548,0.117745,-0.187309,-0.277354,0.879359,1.92099,0.182379,-1.7342,0.0151503,1.60629,0.418488,0.150153,-0.879609,1.8739,-0.57082,1.03098,-4.37627,-3.51754,-0.00270704,-0.616547,-2.46613,0.248397,2.75982,-1.31157,-1.67068,0.0026722,0.418077,1.93963,-0.0524195,-0.155128,-0.255838,-0.0235404,-0.0615247,0.0617437,-0.830962,0.506498,0.014788,-0.252675,-0.0238628,-10.7414,13.4262,-2.3424,-0.295785,0.263821,0.780594,-54.7314,-10.3482,1.09182,16.4628,2.14086,-0.770427,-0.0142002,27.5616,-2.63697,0.762033,-3.87079,-0.294404,0.0693049,0.0176051,10.8668,-1.4402,7.09648,3.18229,0.0980139,0.0509651,1.70338,-0.0353418,-4.77506,0.363355,0.0069154,-1.75266,0.0498732,-4.02338,4.09507,-3.77822,-2.32658,-5.46065,0.463558,10.0381,-4.34618,-0.869781,20.2183,63.644,46.9504,-2.21122e-05,45.1785,0.126833,25.1301,63.1528,-72.3573,-45.7431,4.87586e-05,2.53165,-5.19986,6.1208,9.92949,5.64993,-12.2749,9.65308,2.84094,-4.18089,5.37452,-5.02664,-17.6372,4.67233,0,0,1,0,0.143837,0,-0.221243,-0.0270441,0.19082,0.00291294,-40.2145,283.748,4.33153,0,0,0,0,0,0,0,0,0,0.000423664,0.0413351,17.3751
0.04,-0.075756,-0.056027,0.0279171,-0.0656868,0.896992,-0.257295,0.513669,0.0891564,-0.118008,0.168998,0.0103734,-0.190338,-0.00234252,-0.239023,-0.0913922,-0.282451,0.306699,0.491555,0.336244,-0.0116367,-0.0235731,0.0915643,-0.126746,-0.299374,-0.14815,-0.306871,0.30519,1.64639,0.109018,-0.181706,-0.277709,0.875069,1.92122,0.142146,-1.69325,-0.0226319,1.58302,0.363882,0.154788,-0.779228,1.83044,-0.579518,1.23316,-3.73983,-3.04804,-0.00270726,-0.164762,-2.46487,0.499697,3.39135,-2.03514,-2.12811,0.00267269,0.443393,1.88763,0.0087885,-0.0558327,-0.199339,-0.146289,0.0350061,0.0901531,-0.872771,0.560244,-0.0354784,-0.429047,0.0228605,-11.5632,15.7229,-1.59514,0.116028,0.104236,0.0394707,-56.2787,-12.2045,1.76618,13.7307,3.34214,-0.870587,-0.0150867,27.7579,-3.0925,0.619324,-3.80694,-0.223632,0.0443727,0.015339,11.3837,-1.82231,7.28626,3.15833,-0.100113,0.0248444,1.75108,-0.0398924,-4.68737,0.295522,-0.0135696,-1.61146,0.0451158,-4.45674,4.55449,-4.06095,-2.59061,-4.73907,0.510931,9.05835,-3.80705,4.81475,17.471,65.6194,40.3143,-2.07138e-05,47.489,0.837442,24.9475,64.3033,-73.7797,-43.7504,5.21686e-05,2.39998,-5.79502,6.47679,10.1006,5.65777,-12.4303,11.1241,2.3338,-3.86387,5.07298,-4.84621,-17.186,4.98545,0,0,1,0,0.147033,0,-0.220567,-0.03264,0.216321,0.00224708,-50.185,332.6,3.45495,0,0,0,0,0,0,0,0,0,0.000341144,0.0383387,19.5828
0.05,-0.0747802,-0.072504,0.0272847,-0.0501156,0.900157,-0.255696,0.506783,0.10708,-0.123322,0.183077,-0.0204629,-0.216787,-0.0023696,-0.235922,-0.115957,-0.274959,0.347043,0.463826,0.310588,-0.01161,-0.0188991,0.109861,-0.126011,-0.298922,-0.149577,-0.309577,0.306653,1.64752,0.0999036,-0.175597,-0.278548,0.86906,1.92195,0.0975781,-1.64771,-0.0632414,1.55712,0.316491,0.159897,-0.688644,1.79237,-0.53137,1.40787,-3.08363,-2.64489,-0.00270747,0.310128,-2.45649,0.749173,4.03438,-2.77294,-2.56562,0.00267321,0.467393,1.82968,0.0735564,0.0451736,-0.142762,-0.270592,0.146247,0.113491,-0.91141,0.610973,-0.0839405,-0.600907,0.0727151,-11.6245,17.3265,-0.950385,0.170311,0.151908,0.334062,-56.9704,-14.645,2.57549,10.0337,4.4354,-0.963378,-0.016247,28.3588,-3.16137,0.447228,-3.81603,-0.130048,0.02466,0.0122971,11.538,-2.30415,7.48895,3.18194,-0.359079,-0.00748509,1.82766,-0.0457789,-4.54765,0.228839,-0.0307038,-1.44537,0.0401703,-5.17139,5.47326,-4.2631,-2.88644,-4.05988,0.543456,7.81625,-3.55849,11.4729,13.4034,67.4578,32.3512,-1.932e-05,50.3298,2.50116,25.1359,64.3899,-74.7177,-40.2942,5.55585e-05,2.42835,-6.92847,6.78253,10.1301,5.58852,-12.2648,13.2443,1.56807,-3.39181,4.50362,-4.39155,-16.422,5.4224,0,0,1,0,0.150357,0,-0.219833,-0.0401988,0.25406,0.00143499,-60.2493,380.782,2.15074,0,0,0,0,0,0,0,0,0,0.000299856,0.0358793,20.8903
0.06,-0.0743215,-0.0884338,0.026226,-0.0348331,0.902916,-0.254042,0.500678,0.124648,-0.127488,0.198496,-0.0445535,-0.240001,-0.00239668,-0.227788,-0.140272,-0.264954,0.393826,0.428625,0.280902,-0.0115833,-0.0139824,0.127465,-0.124597,-0.297458,-0.150446,-0.31351,0.30944,1.64881,0.0904503,-0.169037,-0.279827,0.861409,1.92322,0.0458643,-1.59297,-0.105872,1.52825,0.275892,0.165332,-0.610482,1.75678,-0.416641,1.5419,-2.40906,-2.32138,-0.00270766,0.813426,-2.43148,1.00053,4.67828,-3.52012,-2.96856,0.00267376,0.491677,1.7604,0.141382,0.146475,-0.0868764,-0.393239,0.27869,0.129172,-0.945328,0.65601,-0.127856,-0.765127,0.126939,-10.9524,17.7486,-0.50168,-0.443806,0.0846258,0.47547,-56.6702,-17.7968,3.45242,5.47674,5.27665,-1.03826,-0.0172682,29.0043,-2.77813,0.227107,-3.84067,-0.00261565,0.00901527,0.00796245,11.4886,-3.08371,7.65976,3.21054,-0.658356,-0.0432245,1.91251,-0.0517674,-4.33701,0.142023,-0.0506641,-1.24997,0.0346612,-6.15685,6.84331,-4.13467,-3.18734,-3.45445,0.506903,6.40655,-3.94218,17.2629,8.01879,68.1438,25.1292,-1.7979e-05,53.1974,5.26821,25.7858,62.4338,-73.6493,-34.8351,5.89714e-05,2.75828,-8.59201,6.77519,9.90459,5.36098,-11.338,15.742,0.576831,-2.76349,3.6263,-3.55031,-15.3863,5.90919,0,0,1,0,0.153756,0,-0.219052,-0.0502268,0.306567,0.000299311,-69.9717,427.082,0.416974,0,0,0,0,0,0,0,0,0,0.000281808,0.0337729,20.8722
0.07,-0.0744786,-0.103679,0.0247538,-0.0198693,0.905329,-0.252338,0.495214,0.141822,-0.129928,0.214717,-0.0618297,-0.260702,-0.00242375,-0.214334,-0.16406,-0.25237,0.446852,0.386059,0.247733,-0.0115565,-0.00878977,0.14421,-0.122506,-0.295002,-0.150779,-0.318576,0.313801,1.65016,0.0807207,-0.162114,-0.28146,0.852219,1.92508,-0.0157043,-1.52454,-0.147219,1.49638,0.241348,0.170401,-0.546416,1.71736,-0.244012,1.62209,-1.72762,-2.07009,-0.00270784,1.3454,-2.3788,1.25839,5.30262,-4.25661,-3.31691,0.00267435,0.51926,1.67448,0.209134,0.245521,-0.0332666,-0.506619,0.43611,0.13494,-0.972963,0.692273,-0.163359,-0.91899,0.186031,-9.82653,16.7301,-0.237017,-0.256768,0.252064,0.0695243,-55.21,-21.7536,4.31508,0.227649,5.75079,-1.08835,-0.0177294,29.3409,-1.94715,-0.0569881,-3.81465,0.168297,-0.00520589,0.00187368,11.1681,-4.21352,7.76099,3.20871,-0.975441,-0.0790951,1.98613,-0.0564821,-4.03486,0.0225832,-0.07673,-1.02227,0.0282549,-7.26849,8.51605,-3.41735,-3.43771,-2.93112,0.365006,4.84554,-5.19545,20.2589,1.5218,66.8614,20.811,-1.6711e-05,55.4573,9.02987,26.7707,57.7308,-68.7416,-26.8862,6.22106e-05,3.39669,-10.6123,6.19319,9.38697,4.88676,-9.17755,18.1733,-0.542511,-1.97468,2.46034,-2.26587,-14.2019,6.32957,0,0,1,0,0.157175,0,-0.21824,-0.0635183,0.3785,-0.00136599,-78.947,470.438,-1.69779,0,0,0,0,0,0,0,0,0,0.000273644,0.033109,19.4074
0.08,-0.0753625,-0.118073,0.0229399,-0.00524924,0.90745,-0.250598,0.490234,0.158476,-0.130343,0.23109,-0.0724197,-0.279322,-0.00245083,-0.195334,-0.186945,-0.237109,0.505651,0.336618,0.211875,-0.0115298,-0.00325751,0.159893,-0.119795,-0.291609,-0.150623,-0.32456,0.319979,1.65146,0.0707936,-0.154945,-0.283321,0.841609,1.92757,-0.0883891,-1.43938,-0.181393,1.462,0.212037,0.174051,-0.497961,1.66541,-0.0414234,1.63731,-1.059,-1.86198,-0.00270801,1.89997,-2.2885,1.5261,5.87993,-4.94403,-3.58577,0.00267497,0.553226,1.56835,0.271065,0.339391,0.015601,-0.598394,0.617843,0.129515,-0.99271,0.716876,-0.186018,-1.06101,0.249327,-8.48709,14.402,-0.0562247,-0.0897874,0.124295,-0.257098,-52.6727,-26.4953,5.08245,-5.42305,5.78828,-1.11051,-0.0173402,29.0068,-0.764428,-0.407024,-3.68148,0.384868,-0.0216674,-0.00614408,10.7034,-5.53862,7.77298,3.12542,-1.28912,-0.112481,2.02149,-0.0584875,-3.65986,-0.121284,-0.106334,-0.774397,0.0212241,-8.20385,10.2552,-1.93548,-3.61996,-2.4931,0.113948,3.04699,-7.38945,19.0395,-5.60852,63.3296,20.9573,-1.5542e-05,56.3953,13.4674,27.7614,49.9782,-58.2889,-16.2309,6.53133e-05,4.14835,-12.707,4.88083,8.63572,4.09145,-5.42499,20.0288,-1.63763,-1.01097,1.08049,-0.559629,-13.0291,6.54154,0,0,1,0,0.160565,0,-0.217409,-0.0808979,0.475231,-0.00381615,-86.8069,509.944,-4.09489,0,0,0,0,0,0,0,0,0,0.000267035,0.0340114,16.7195
0.09,-0.0770668,-0.131441,0.0209324,0.0090088,0.909321,-0.248846,0.485559,0.174391,-0.128853,0.246902,-0.0766768,-0.295846,-0.00247792,-0.170695,-0.208483,-0.219072,0.569449,0.281349,0.174395,-0.011503,0.00268959,0.174306,-0.116596,-0.287351,-0.150058,-0.331086,0.328161,1.65259,0.0607654,-0.147668,-0.285237,0.829696,1.93072,-0.170428,-1.33683,-0.200747,1.4258,0.187106,0.175191,-0.467491,1.59151,0.148972,1.58123,-0.425709,-1.65241,-0.00270816,2.46393,-2.15382,1.80371,6.37971,-5.52692,-3.74808,0.00267563,0.59471,1.44128,0.319874,0.425748,0.0565156,-0.652644,0.81813,0.113139,-1.00282,0.727681,-0.191614,-1.1913,0.314742,-7.23439,11.2801,0.106275,0.0696676,0.512984,-0.238762,-49.2051,-31.8347,5.69293,-11.1298,5.37049,-1.10389,-0.0160295,27.8503,0.504943,-0.799815,-3.44574,0.642087,-0.0447965,-0.0158878,10.1006,-6.83902,7.67922,2.92869,-1.56795,-0.139719,2.00019,-0.0566183,-3.23037,-0.28125,-0.137521,-0.516444,0.0136921,-8.55209,11.8037,0.324509,-3.71358,-2.10438,-0.230486,0.849085,-10.3833,13.1387,-12.6588,57.857,26.0197,-1.45215e-05,55.3064,18.1293,28.2719,39.3037,-41.1955,-3.12447,6.78947e-05,4.62263,-14.5659,2.87064,7.78998,2.94054,0.0191292,20.8658,-2.53593,0.145476,-0.405014,1.46489,-12.0087,6.40028,0,0,1,0,0.163892,0,-0.216567,-0.102428,0.598491,-0.0073201,-93.2689,544.974,-6.66555,0,0,0,0,0,0,0,0,0,0.000258245,0.0341801,13.4132
