time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0,-0.0615735,-0.0258113,0.00559935,-0.119786,0.962471,-0.533821,0.0706761,-0.0300758,-0.225586,0.212745,0.414352,0.137279,-0.126302,0.150688,-0.250512,-0.26818,0.313,0.198911,0.109727,-0.126311,-0.0916866,0.0598588,-0.0478943,0.0824463,-0.124305,0.0276181,0.542033,1.81287,0.071713,-0.0896299,0.0352544,0.543917,1.69905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.218798,0,-0.407494,0.00284408,0.134365,-0.0117165,8.27377,390.884,-34.0848,-0.137082,0,-0.782441,-0.0323608,0.737412,0.124879,-8.73658,199.082,33.7141,0.000231041,0.0292053,0
0.01,-0.0612827,-0.0259106,0.00541906,-0.119962,0.962539,-0.533853,0.0705639,-0.0299192,-0.225874,0.212439,0.414193,0.137633,-0.126302,0.150562,-0.25069,-0.268278,0.312896,0.198908,0.10971,-0.126311,-0.0917324,0.0600048,-0.0474744,0.0825264,-0.12401,0.0263716,0.541847,1.80738,0.071815,-0.0897055,0.0357269,0.544174,1.69613,0.0290818,-0.00993736,-0.0180295,-0.0176575,0.00674846,-0.00319149,-0.0112147,0.0156625,-0.0287798,-0.0305111,-0.0159183,0.0354472,-7.08046e-07,-0.0126158,-0.0177813,-0.009861,-0.0104393,-0.000291696,-0.00173138,-7.85067e-07,-0.00457477,0.0146033,0.0419827,0.00801258,0.0295243,-0.124651,-0.0185857,-0.548827,0.0101951,-0.00756217,0.047253,0.0257003,-0.291124,0.822512,2.98264,-2.2142,-0.0517659,24.3502,0.409384,5.77641,-16.0402,0.639463,-11.8457,-21.425,2.0246,-0.00228459,-1.44134,-1.89991,1.05436,-0.231055,-21.6087,1.37811,-0.00542398,7.97151,-0.818163,-1.17396,0.666088,-0.837966,-0.0785642,1.03704,-0.024467,0.7731,-0.768063,-0.124869,1.03846,-0.0292315,-0.634934,-0.181585,0.0378586,-0.0565644,-0.091024,-0.0923283,1.27633,0.0953538,0.987665,0.834886,-0.457373,-2.1388,1.86131e-07,0.986558,-0.024525,0.468325,0.427603,0.15699,-0.726973,4.23391e-07,0.501331,0.956442,-1.90478,0.673182,-2.73302,11.6418,1.76256,-4.13213,-0.985611,-0.458425,1.26708,1.12139,-2.74327,0,0,1,1,-0.218402,0,-0.40748,0.00267874,0.128549,-0.011207,8.13455,390.365,-34.0323,-0.137235,0,-0.782443,-0.0321394,0.73765,0.124862,-8.70071,199.695,33.8023,0.000229958,0.029152,24.6491
0.02,-0.0610554,-0.0260282,0.00524255,-0.120144,0.962597,-0.533894,0.0705794,-0.029753,-0.226063,0.212218,0.413988,0.137774,-0.126302,0.150534,-0.25087,-0.26833,0.312834,0.198921,0.10962,-0.126311,-0.091728,0.0602465,-0.0472451,0.0826739,-0.123988,0.0262893,0.541837,1.80148,0.0718183,-0.089827,0.0363261,0.544543,1.69295,0.0227324,-0.0117532,-0.0176509,-0.0182231,0.00583822,-0.00411477,0.00154852,0.0166161,-0.0189032,-0.0221623,-0.0204921,0.0140593,-7.06185e-07,-0.00275018,-0.0180265,-0.00517775,-0.00616324,0.0012782,-0.00900111,-7.80833e-07,0.000438536,0.0241677,0.0229349,0.0147444,0.0021941,-0.00823301,-0.000960018,-0.590148,0.000338966,-0.0121464,0.0599238,0.0369142,-0.318557,0.600049,2.95063,-2.16954,-0.0762718,24.3373,0.411342,5.632,-15.9798,0.640608,-11.6757,-21.5317,2.04234,-0.00228418,-1.49992,-1.88363,1.05662,-0.228738,-21.6435,1.37412,-0.00542211,7.9607,-0.804994,-1.14616,0.670178,-0.846198,-0.0797076,1.03693,-0.0238598,0.771689,-0.777388,-0.126609,1.03686,-0.0288776,-0.633199,-0.188141,0.0373101,-0.0584685,-0.0885513,-0.0885173,1.23491,0.129968,1.08451,0.752326,-0.521612,-2.25131,1.84717e-07,0.981801,-0.0356695,0.475186,0.417327,0.138054,-0.706499,4.19786e-07,0.494942,0.960685,-1.85954,0.65698,-2.7472,11.5716,1.75318,-3.6503,-0.940574,-0.469763,1.27732,1.03687,-2.43444,0,0,1,1,-0.217913,0,-0.407449,0.00251993,0.123288,-0.010747,7.96663,389.768,-33.9763,-0.137417,0,-0.78246,-0.0319141,0.738307,0.124933,-8.66393,200.433,33.9165,0.00022873,0.0291109,24.6222
0.03,-0.0608914,-0.0261645,0.00506977,-0.120332,0.962646,-0.533944,0.0707184,-0.0295738,-0.226143,0.212071,0.413731,0.137689,-0.126302,0.150605,-0.251054,-0.268334,0.312814,0.198948,0.109459,-0.126311,-0.0916741,0.0605843,-0.0472017,0.082887,-0.124241,0.0273641,0.542003,1.79521,0.0717277,-0.0899954,0.0370531,0.545016,1.68952,0.0164004,-0.0136346,-0.0172778,-0.0188078,0.0049527,-0.00499995,0.0138976,0.0179158,-0.00805809,-0.014639,-0.0257082,-0.00845385,-7.04338e-07,0.00706783,-0.0183832,-0.000425891,-0.00198998,0.00265874,-0.0160661,-7.76635e-07,0.00538795,0.0337746,0.00433945,0.0213142,-0.0252779,0.107483,0.0165717,-0.626651,-0.00906678,-0.016844,0.072697,0.0472829,-0.342901,0.309139,2.95456,-2.08462,-0.111622,24.3154,0.397472,5.45102,-15.894,0.644467,-11.4798,-21.6688,2.06527,-0.00228249,-1.55775,-1.87783,1.06048,-0.232911,-21.6899,1.37465,-0.0054161,7.92144,-0.786152,-1.07332,0.672382,-0.868761,-0.0828151,1.03247,-0.0220872,0.764364,-0.811456,-0.132605,1.02901,-0.027853,-0.627549,-0.199676,0.0190444,-0.0611504,-0.0845732,-0.0814245,1.1505,0.204254,1.31252,0.584629,-0.667472,-2.49629,1.85091e-07,0.964714,-0.064822,0.464464,0.394605,0.0958907,-0.639739,4.17082e-07,0.473437,0.964822,-1.72231,0.628087,-2.78156,11.3217,1.7073,-2.11482,-0.80914,-0.507317,1.28083,0.782454,-1.449,0,0,1,1,-0.217326,0,-0.407395,0.00236825,0.118621,-0.01034,7.76812,389.091,-33.9163,-0.137625,0,-0.782494,-0.031688,0.739348,0.125096,-8.62759,201.3,34.0596,0.000227296,0.0290749,24.5882
0.04,-0.0607901,-0.0263208,0.0048989,-0.120527,0.962688,-0.534002,0.0709724,-0.0293743,-0.226093,0.211983,0.413407,0.137355,-0.126302,0.150772,-0.251244,-0.268292,0.312834,0.198984,0.109234,-0.126311,-0.0915729,0.0610185,-0.0473305,0.083163,-0.124772,0.0295711,0.54234,1.78874,0.0715561,-0.0902146,0.0379082,0.545567,1.68595,0.0101249,-0.0156314,-0.0170874,-0.0194193,0.00410697,-0.00581419,0.0254026,0.0199583,0.00506716,-0.00879273,-0.0323829,-0.0334168,-7.02487e-07,0.016715,-0.0190314,0.00421875,0.00195607,0.00361765,-0.0224635,-7.72465e-07,0.0101223,0.0434228,-0.0128836,0.0275951,-0.0530936,0.2207,0.0336448,-0.647799,-0.0171582,-0.0219172,0.0855053,0.0551075,-0.357391,-0.0197025,2.98882,-1.9528,-0.144581,24.2854,0.362262,5.24316,-15.7888,0.648338,-11.2569,-21.8364,2.09365,-0.00227941,-1.61074,-1.88752,1.06516,-0.244803,-21.7484,1.37922,-0.00540721,7.86633,-0.767601,-0.944393,0.680092,-0.910886,-0.0899589,1.02462,-0.0189869,0.752678,-0.878461,-0.14465,1.01353,-0.025978,-0.616295,-0.206918,-0.0351215,-0.0657511,-0.0789395,-0.0697258,1.0553,0.292283,1.62287,0.395716,-0.852467,-2.77793,1.86657e-07,0.931725,-0.109381,0.399369,0.365618,0.040753,-0.518243,4.15129e-07,0.435453,0.955084,-1.46031,0.606011,-2.8202,10.7341,1.58743,0.839087,-0.55464,-0.574283,1.23909,0.285806,0.46234,0,0,1,1,-0.21664,0,-0.40732,0.00221964,0.114356,-0.00996848,7.5375,388.333,-33.8512,-0.137856,0,-0.782545,-0.0314604,0.740647,0.125337,-8.59299,202.298,34.234,0.000225727,0.0290265,24.5495
0.05,-0.0607505,-0.0264978,0.00472451,-0.120727,0.962721,-0.534067,0.071332,-0.0291454,-0.22588,0.211935,0.412998,0.136743,-0.126302,0.151032,-0.251445,-0.26821,0.31289,0.199024,0.108958,-0.126311,-0.0914281,0.0615482,-0.0476054,0.0834995,-0.125585,0.0328515,0.542835,1.78234,0.071329,-0.0904912,0.0388871,0.546147,1.68242,0.00396198,-0.0177006,-0.0174386,-0.0200768,0.00331758,-0.00651145,0.0359556,0.0228811,0.0212959,-0.00483557,-0.0409076,-0.0611961,-7.0062e-07,0.0260322,-0.0201252,0.00821244,0.00561225,0.00402518,-0.0276459,-7.68313e-07,0.0144768,0.0529736,-0.0274867,0.0336552,-0.0812955,0.328041,0.0495191,-0.639408,-0.0227046,-0.02766,0.0978962,0.0579655,-0.352768,-0.326627,3.02151,-1.77055,-0.152498,24.2523,0.309391,5.02672,-15.6747,0.647486,-11.0069,-22.0344,2.12906,-0.00227622,-1.65706,-1.91286,1.06944,-0.263975,-21.819,1.38742,-0.005398,7.82998,-0.770627,-0.755864,0.706801,-0.973654,-0.103592,1.01715,-0.014991,0.744585,-0.976056,-0.163254,0.992558,-0.0233887,-0.605979,-0.196866,-0.125188,-0.0733999,-0.0723582,-0.0535945,1.00214,0.350086,1.89438,0.276623,-0.989938,-2.92476,1.88172e-07,0.898146,-0.15608,0.266305,0.345976,-0.014855,-0.362991,4.13461e-07,0.39656,0.910486,-1.06848,0.617712,-2.82677,9.63435,1.35658,5.16668,-0.14305,-0.650977,1.09728,-0.503398,3.31315,0,0,1,1,-0.215853,0,-0.407222,0.00206737,0.110134,-0.00960101,7.27377,387.493,-33.78,-0.138104,0,-0.782614,-0.0312282,0.742002,0.125625,-8.56144,203.425,34.441,0.000224222,0.0289701,24.5084
0.06,-0.0607715,-0.0266945,0.00453761,-0.120935,0.962747,-0.534138,0.0717917,-0.0288816,-0.225477,0.211914,0.41249,0.135838,-0.126302,0.151382,-0.251662,-0.268101,0.312981,0.199063,0.108645,-0.126311,-0.0912437,0.062169,-0.0479871,0.0838978,-0.12668,0.0370954,0.543466,1.77646,0.0710877,-0.0908329,0.0399758,0.546676,1.67922,-0.00209781,-0.0196692,-0.0186905,-0.0208108,0.00259399,-0.0070474,0.045977,0.026382,0.0402396,-0.00206934,-0.050807,-0.0904437,-6.98739e-07,0.0350137,-0.021686,0.0108755,0.00907201,0.00387663,-0.0312758,-7.64179e-07,0.0184424,0.0620785,-0.0381714,0.0398323,-0.109563,0.424385,0.0630849,-0.587742,-0.0241351,-0.0341698,0.108869,0.0529315,-0.319636,-0.544424,2.99082,-1.53849,-0.107752,24.2234,0.253088,4.82212,-15.5668,0.637089,-10.7331,-22.2614,2.17138,-0.00227458,-1.69833,-1.94821,1.07255,-0.288042,-21.9021,1.39861,-0.00539031,7.85774,-0.832363,-0.512758,0.770595,-1.05407,-0.126014,1.01651,-0.011143,0.754936,-1.09043,-0.187452,0.972281,-0.0206146,-0.606624,-0.161447,-0.230304,-0.0850896,-0.0659601,-0.0346025,1.03925,0.337644,1.97517,0.304698,-0.992377,-2.76705,1.88446e-07,0.892177,-0.188375,0.0932751,0.354191,-0.0673481,-0.214324,4.11485e-07,0.380013,0.812107,-0.571441,0.690103,-2.76133,7.90828,1.00316,10.3044,0.45085,-0.696243,0.795913,-1.58661,6.80445,0,0,1,1,-0.214966,0,-0.407103,0.0019032,0.105464,-0.00919446,6.97615,386.578,-33.7022,-0.138362,0,-0.782702,-0.0309872,0.743184,0.125924,-8.53404,204.676,34.6801,0.000222819,0.028934,24.4634
0.07,-0.0608531,-0.0269074,0.00432767,-0.121152,0.962766,-0.534212,0.0723554,-0.028584,-0.224877,0.211924,0.411883,0.134657,-0.126302,0.151822,-0.251898,-0.267983,0.313107,0.199095,0.108311,-0.126311,-0.0910213,0.062871,-0.048426,0.0843652,-0.128052,0.04213,0.544197,1.77162,0.0708914,-0.0912442,0.0411441,0.547047,1.67671,-0.00816405,-0.0212837,-0.0209935,-0.0216617,0.00193439,-0.00739342,0.0563695,0.0297584,0.0599913,0.000977637,-0.0607307,-0.118114,-6.96854e-07,0.0439354,-0.0235698,0.0118082,0.0126139,0.00320315,-0.0334191,-7.60064e-07,0.0222426,0.0701996,-0.0438859,0.0467333,-0.137177,0.503468,0.0731164,-0.484698,-0.0196266,-0.0411322,0.116828,0.0370654,-0.251592,-0.616645,2.83196,-1.27097,0.0182765,24.2099,0.213891,4.64632,-15.4764,0.614212,-10.4417,-22.5151,2.22129,-0.00227444,-1.73625,-1.98475,1.07462,-0.315357,-21.9968,1.4116,-0.00538402,7.99069,-0.989543,-0.234389,0.89034,-1.1452,-0.158537,1.03125,-0.00896962,0.804583,-1.19951,-0.215269,0.962741,-0.0186135,-0.622104,-0.104429,-0.323484,-0.101746,-0.0604178,-0.014889,1.18965,0.237937,1.74693,0.518967,-0.820495,-2.21191,1.86676e-07,0.93637,-0.196993,-0.0623288,0.402896,-0.126721,-0.11676,4.08657e-07,0.399226,0.656433,-0.0190042,0.843249,-2.60265,5.59196,0.580524,15.1637,1.22865,-0.65752,0.272159,-2.88267,10.2868,0,0,1,1,-0.213987,0,-0.406964,0.00171911,0.0997749,-0.00869913,6.64379,385.597,-33.6193,-0.138624,0,-0.782804,-0.0307367,0.744016,0.126203,-8.51188,206.039,34.9491,0.000221376,0.0289195,24.4168
0.08,-0.060997,-0.0271307,0.00408539,-0.121379,0.962779,-0.534287,0.0730381,-0.0282627,-0.224103,0.211986,0.411194,0.133255,-0.126302,0.152355,-0.252153,-0.267871,0.313273,0.199114,0.107965,-0.126311,-0.0907589,0.0636386,-0.0488667,0.0849168,-0.129684,0.0477239,0.544986,1.76829,0.070818,-0.0917213,0.0423396,0.547129,1.67522,-0.0143851,-0.022328,-0.0242284,-0.0226792,0.00133022,-0.00754231,0.068266,0.0321378,0.0774607,0.00616731,-0.0689357,-0.140233,-6.94987e-07,0.0532991,-0.0255397,0.011185,0.0166429,0.00193593,-0.0345867,-7.55977e-07,0.0262348,0.0767639,-0.0440759,0.0551658,-0.163203,0.559387,0.0789217,-0.333061,-0.00734006,-0.0477075,0.11955,0.0082387,-0.148724,-0.520145,2.52203,-1.00375,0.25034,24.2303,0.21276,4.50444,-15.4084,0.579501,-10.1387,-22.7947,2.27845,-0.00227374,-1.77289,-2.01277,1.07649,-0.343734,-22.1028,1.42578,-0.00537755,8.25173,-1.24522,0.040715,1.07971,-1.23695,-0.200493,1.07076,-0.0101758,0.917405,-1.27975,-0.244614,0.97641,-0.0186849,-0.641958,-0.0364323,-0.386524,-0.124033,-0.0551426,0.00307262,1.43665,0.0592516,1.18282,0.907186,-0.501722,-1.28317,1.82044e-07,1.02874,-0.177824,-0.140728,0.492156,-0.213541,-0.119216,4.04357e-07,0.443235,0.461224,0.515928,1.08015,-2.37079,2.94655,0.248942,18.2713,2.1508,-0.491726,-0.529909,-4.20359,12.81,0,0,1,1,-0.212918,0,-0.406808,0.00150963,0.092504,-0.00806631,6.27602,384.569,-33.5342,-0.138879,0,-0.782919,-0.0304764,0.744308,0.126424,-8.49616,207.497,35.2444,0.00022,0.0288948,24.3896
0.09,-0.061205,-0.0273576,0.00380445,-0.121618,0.962787,-0.534362,0.0738644,-0.0279354,-0.22321,0.212138,0.410454,0.131724,-0.126302,0.152991,-0.252427,-0.267773,0.313489,0.199112,0.107607,-0.126311,-0.0904523,0.0644524,-0.0492559,0.0855765,-0.131553,0.0536124,0.5458,1.76678,0.0709597,-0.0922475,0.0434821,0.546791,1.67501,-0.0208047,-0.0226923,-0.0280936,-0.0239195,0.000778789,-0.00751158,0.0826325,0.0327303,0.0892888,0.0152392,-0.0739529,-0.153065,-6.93167e-07,0.0635866,-0.027318,0.00977768,0.0215644,-0.000199472,-0.0357788,-7.51934e-07,0.0306672,0.0813761,-0.0389166,0.0659673,-0.186911,0.588853,0.0814111,-0.150349,0.0141679,-0.0526247,0.114251,-0.0337972,-0.0206247,-0.279481,2.10925,-0.780457,0.602434,24.3123,0.262441,4.38986,-15.3584,0.537727,-9.83092,-23.0983,2.34225,-0.00227058,-1.81028,-2.02477,1.07911,-0.371566,-22.2187,1.44042,-0.00537009,8.63001,-1.55252,0.26773,1.34166,-1.31748,-0.248442,1.14288,-0.0161225,1.11281,-1.31603,-0.273954,1.02501,-0.0221046,-0.633256,0.0350463,-0.413341,-0.152331,-0.0475341,0.0165285,1.71369,-0.174101,0.365854,1.40554,-0.109165,-0.120227,1.72871e-07,1.1288,-0.122756,-0.0983066,0.606762,-0.347881,-0.278401,3.97607e-07,0.462593,0.257797,0.955857,1.37875,-2.13785,0.459918,0.269854,18.1249,3.13374,-0.202888,-1.58155,-5.25101,13.3406,0,0,1,1,-0.211768,0,-0.406634,0.00127344,0.0831628,-0.00725377,5.87261,383.514,-33.4516,-0.139119,0,-0.783044,-0.0302063,0.743835,0.126544,-8.48833,209.026,35.5603,0.000218974,0.0288459,24.4265
