time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0,-0.140681,-0.0296903,-0.0183397,-0.15093,0.963649,-0.685479,0.133594,-0.132471,-0.0802535,0.0756369,0.157425,0.134556,-0.0964313,0.164979,-0.189561,-0.231384,0.142878,0.178084,0.148096,-0.0964666,0.0716228,-0.0124559,0.0312933,0.192493,-0.596882,-0.108905,2.0127,1.63072,0.301329,-0.490068,-0.00367572,1.96832,1.70524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.210543,0,-0.454333,-0.00170381,-0.959697,0.142557,0.513945,289.488,-43.0018,-0.205976,0,-0.901832,-0.00409152,1.38184,0.182499,-0.962647,325.119,42.9383,0.000204208,0.0434654,0
0.01,-0.146073,-0.0298155,-0.0200504,-0.151091,0.963282,-0.685358,0.141777,-0.131997,-0.0772493,0.0780225,0.156869,0.131787,-0.0964314,0.172402,-0.19063,-0.232414,0.145308,0.178187,0.146753,-0.0964665,0.0776075,-0.0120139,0.0327379,0.192193,-0.59684,-0.108969,2.01267,1.62948,0.301048,-0.49012,-0.0038253,1.96806,1.70545,-0.539174,-0.0125201,-0.171068,-0.0160969,-0.0367,0.012116,0.818295,0.0474752,0.300419,0.238563,-0.0555813,-0.276917,-5.37834e-06,0.742303,-0.106904,-0.103019,0.243016,0.0103427,-0.134246,1.23449e-05,0.59847,0.0441959,0.144453,-0.0300271,0.00419117,-0.00643268,-0.00246481,-0.124231,-0.028045,-0.00523074,-0.0149582,-0.025465,0.0211686,-6.95005,0.952989,0.126422,-0.197374,4.24643,-0.027644,-3.22545,-1.33376,1.0093,4.71053,-15.5961,2.55818,-0.0258914,-2.92405,1.1712,1.41073,1.32727,-17.7672,3.43078,-0.0571739,4.13203,3.09667,0.216339,2.10456,-2.88921,-0.953026,1.05082,-0.0398583,2.57668,-1.72927,-0.70415,1.20275,-0.0429471,0.713654,2.74749,0.0851577,-0.09655,0.00863435,-0.113692,0.11727,-3.33203,-1.39428,1.13144,1.6722,2.98758,1.97802e-06,-0.953953,3.44882,0.759527,-0.620394,-0.921616,-1.76223,4.51943e-06,-1.07735,-2.60557,0.4884,0.498701,-0.291482,-0.152199,0.209378,1.06021,0.962555,0.298934,0.578419,0.724986,-3.94073,0,0,1,1,-0.210101,0,-0.454228,-0.00127755,-0.959683,0.142604,0.385316,289.446,-43.0103,-0.205736,0,-0.901859,-0.00447422,1.36248,0.179779,-1.06739,325.042,42.889,0.000203889,0.0435667,8.20361
0.02,-0.151393,-0.029666,-0.0217525,-0.151262,0.962916,-0.685248,0.149972,-0.131855,-0.0743846,0.0805213,0.15648,0.129316,-0.0964314,0.17973,-0.191354,-0.233369,0.147676,0.178199,0.145235,-0.0964664,0.0834844,-0.0118325,0.0342312,0.191943,-0.596827,-0.109049,2.01267,1.62834,0.300864,-0.490142,-0.00391704,1.96788,1.70527,-0.532037,0.0149548,-0.170216,-0.0170624,-0.0366137,0.0109791,0.819467,0.0141549,0.286476,0.249877,-0.0388593,-0.247042,-5.35856e-06,0.732764,-0.0724154,-0.0954236,0.236812,0.00112655,-0.151868,1.23901e-05,0.587697,0.0181402,0.149337,-0.0250401,0.00127634,-0.00795467,-0.000371024,-0.113629,-0.0184195,-0.0022414,-0.009174,-0.0182152,-0.0182387,-6.89054,0.905617,0.0784387,-0.203714,4.25792,-0.0225062,-3.48045,-1.33401,1.00716,4.71569,-15.6136,2.60374,-0.0258939,-3.02166,1.20623,1.38918,1.21662,-17.7002,3.40939,-0.0571436,4.17395,3.07884,0.169082,2.0924,-2.89022,-0.953672,1.05158,-0.0398631,2.57561,-1.72844,-0.702954,1.2029,-0.0429728,0.988012,2.69347,0.192895,-0.085039,0.0266998,-0.121791,-0.330212,-3.28899,-1.50424,0.962531,1.66413,3.0414,1.93977e-06,-1.29382,3.41344,0.755028,-0.686825,-0.884598,-1.60671,4.48364e-06,-1.34938,-2.56948,0.384959,0.495028,-0.286371,-0.164021,0.215992,1.10591,0.960855,0.286483,0.56802,0.733479,-4.00083,0,0,1,1,-0.2096,0,-0.454116,-0.000808553,-0.960479,0.142779,0.243638,289.418,-43.023,-0.205425,0,-0.901899,-0.0049572,1.3458,0.177443,-1.19703,324.976,42.8478,0.000204079,0.0436674,8.15339
0.03,-0.156615,-0.0292471,-0.0234354,-0.151441,0.962552,-0.685151,0.158134,-0.132043,-0.0716702,0.0831163,0.156258,0.12715,-0.0964315,0.186928,-0.191737,-0.234247,0.149976,0.178121,0.143555,-0.0964663,0.0892265,-0.0119081,0.0357631,0.191742,-0.596843,-0.109145,2.01269,1.62732,0.300776,-0.490136,-0.00395198,1.96777,1.70469,-0.522157,0.0418895,-0.168287,-0.0179128,-0.0363467,0.0097612,0.816165,-0.018735,0.271434,0.259503,-0.022218,-0.216628,-5.33917e-06,0.719825,-0.038281,-0.0878733,0.229944,-0.00771943,-0.167935,1.2435e-05,0.574203,-0.00755454,0.153186,-0.0200899,-0.00158737,-0.00959488,0.0017889,-0.10257,-0.00881092,0.000623428,-0.0034938,-0.0108804,-0.058247,-6.71708,0.780849,0.035104,-0.217744,4.27392,-0.0150429,-3.78588,-1.32748,1.00822,4.74153,-15.6442,2.64581,-0.0259184,-3.13929,1.22093,1.3682,1.12997,-17.659,3.39898,-0.0571056,4.32712,3.02427,0.120176,2.07236,-2.88822,-0.953351,1.05363,-0.039833,2.56613,-1.73292,-0.702889,1.2038,-0.0430868,1.591,2.49945,0.419869,-0.056699,0.0703674,-0.134146,-1.32384,-3.10178,-1.69824,0.57169,1.60851,3.09649,1.90375e-06,-2.02423,3.23825,0.719617,-0.800565,-0.779407,-1.22551,4.44799e-06,-1.95667,-2.41819,0.151491,0.494444,-0.266926,-0.186122,0.222605,1.23947,0.943997,0.249206,0.53746,0.760517,-4.16315,0,0,1,1,-0.209046,0,-0.453999,-0.000300044,-0.962101,0.143082,0.0902556,289.408,-43.0402,-0.205036,0,-0.901953,-0.0055494,1.33259,0.175603,-1.35312,324.926,42.8175,0.000204792,0.0437676,8.00276
0.04,-0.161677,-0.0285782,-0.0250763,-0.151626,0.962196,-0.685066,0.166163,-0.13254,-0.0691257,0.0857685,0.156197,0.125293,-0.0964315,0.193924,-0.191796,-0.235054,0.152195,0.177966,0.141753,-0.0964661,0.0947728,-0.0122254,0.0373101,0.19159,-0.596886,-0.109259,2.01273,1.62642,0.300782,-0.490105,-0.00393317,1.96774,1.70369,-0.506247,0.066884,-0.164088,-0.0184798,-0.035643,0.00841975,0.802927,-0.0497528,0.254451,0.265219,-0.00613295,-0.185663,-5.32013e-06,0.699583,-0.00589851,-0.0806771,0.221938,-0.0155135,-0.180191,1.24794e-05,0.554636,-0.0317365,0.154701,-0.0151454,-0.00425663,-0.0114561,0.00401494,-0.0901753,0.000629049,0.00311548,0.0018808,-0.00327521,-0.0998786,-6.47274,0.565291,-0.0123939,-0.236189,4.29041,-0.0044644,-4.12388,-1.30276,1.01356,4.78254,-15.6874,2.68403,-0.0259439,-3.26519,1.2106,1.34896,1.06244,-17.6447,3.39887,-0.057043,4.54452,2.92054,0.0687446,2.04583,-2.88164,-0.951426,1.05642,-0.0397441,2.54851,-1.74471,-0.704016,1.2047,-0.0432523,2.4319,2.11715,0.724136,-0.0169489,0.133263,-0.145417,-2.72247,-2.70262,-1.90096,0.00162985,1.46329,3.05453,1.86922e-06,-3.02519,2.85466,0.659705,-0.928728,-0.610671,-0.659157,4.40879e-06,-2.82022,-2.10113,-0.18891,0.507092,-0.230115,-0.202115,0.21514,1.47028,0.894001,0.174572,0.490705,0.810041,-4.40381,0,0,1,1,-0.208447,0,-0.453879,0.000246917,-0.96448,0.143503,-0.0740949,289.421,-43.0624,-0.20457,0,-0.90202,-0.00625667,1.3231,0.174299,-1.53636,324.896,42.8001,0.000205841,0.0438709,7.78971
0.05,-0.166497,-0.0276977,-0.0266447,-0.151812,0.961853,-0.684997,0.17392,-0.133308,-0.0667713,0.0884209,0.156282,0.123742,-0.0964316,0.200617,-0.191569,-0.235795,0.154322,0.17775,0.139886,-0.096466,0.100037,-0.0127529,0.0388382,0.19149,-0.596951,-0.109394,2.01279,1.62566,0.300878,-0.490056,-0.00386529,1.96779,1.70225,-0.481928,0.0880555,-0.156847,-0.0186493,-0.0343104,0.00696557,0.775702,-0.0767789,0.235442,0.265236,0.00849994,-0.155118,-5.30144e-06,0.669331,0.0226481,-0.0740801,0.212651,-0.0216202,-0.186782,1.25235e-05,0.526434,-0.0527477,0.152812,-0.0100745,-0.00655778,-0.0134772,0.00616634,-0.0754725,0.00956906,0.0048612,0.00678784,0.00482519,-0.143917,-6.2137,0.267138,-0.0648502,-0.253251,4.30438,0.0082843,-4.4624,-1.25074,1.02297,4.83049,-15.744,2.71849,-0.0259464,-3.38977,1.17687,1.3332,1.00856,-17.6584,3.40829,-0.0569459,4.76908,2.76471,0.0196756,2.0166,-2.87053,-0.947622,1.05925,-0.0395954,2.5245,-1.76477,-0.706232,1.20456,-0.0433708,3.35605,1.55533,1.04177,0.0258269,0.204145,-0.150341,-4.27231,-2.08661,-2.04696,-0.649737,1.2086,2.8311,1.83573e-06,-4.11403,2.25991,0.60189,-1.05399,-0.413176,-0.011369,4.36331e-06,-3.79038,-1.62051,-0.580333,0.538067,-0.181924,-0.191789,0.180216,1.76391,0.803927,0.052914,0.445441,0.869315,-4.61623,0,0,1,1,-0.207808,0,-0.45376,0.000833082,-0.967534,0.14403,-0.249237,289.462,-43.0902,-0.204028,0,-0.902102,-0.00708264,1.31717,0.173508,-1.74698,324.887,42.7967,0.00020686,0.0439741,7.56819
0.06,-0.17098,-0.0266616,-0.028109,-0.151996,0.96153,-0.684942,0.18125,-0.134284,-0.0646216,0.0910083,0.156488,0.122474,-0.0964316,0.206899,-0.191117,-0.236476,0.156343,0.177493,0.138017,-0.0964659,0.104922,-0.0134424,0.0403083,0.191443,-0.597035,-0.109548,2.01287,1.62508,0.301054,-0.490002,-0.00375287,1.96792,1.70035,-0.448368,0.103609,-0.146429,-0.018391,-0.0322689,0.00546216,0.732979,-0.097645,0.214972,0.258738,0.0205859,-0.126807,-5.28308e-06,0.628191,0.0452472,-0.0680612,0.202111,-0.025752,-0.186896,1.25672e-05,0.48853,-0.0689528,0.147009,-0.00469382,-0.00837702,-0.0153951,0.0079685,-0.0578334,0.0176083,0.00539034,0.0112422,0.0135183,-0.190079,-5.97841,-0.0924175,-0.11697,-0.26208,4.31494,0.0209085,-4.76669,-1.17087,1.03501,4.87557,-15.8138,2.74965,-0.0259101,-3.50632,1.12329,1.32209,0.964043,-17.7003,3.42524,-0.0568133,4.9621,2.56027,-0.0185145,1.98966,-2.85653,-0.942157,1.06152,-0.0394169,2.49734,-1.79264,-0.709495,1.20223,-0.0433051,4.19807,0.871259,1.3098,0.0635967,0.270762,-0.145305,-5.69946,-1.30817,-2.1066,-1.26989,0.858794,2.41059,1.80339e-06,-5.1033,1.50762,0.560654,-1.16824,-0.228691,0.613548,4.31139e-06,-4.69409,-1.02597,-0.952835,0.584266,-0.134726,-0.138621,0.106558,2.04448,0.685654,-0.115969,0.425935,0.90474,-4.62955,0,0,1,1,-0.207139,0,-0.453641,0.00146122,-0.971112,0.144639,-0.435661,289.537,-43.1241,-0.203411,0,-0.902199,-0.00802838,1.3142,0.173153,-1.98481,324.904,42.8078,0.000207763,0.0440633,7.37912
0.07,-0.175044,-0.0255384,-0.0294423,-0.152174,0.961234,-0.684902,0.188009,-0.135392,-0.0626825,0.0934687,0.156779,0.121447,-0.0964317,0.212671,-0.190514,-0.2371,0.158247,0.177212,0.136209,-0.0964658,0.109338,-0.0142346,0.0416831,0.191454,-0.597132,-0.109716,2.01296,1.62471,0.301298,-0.48996,-0.00359785,1.96815,1.69798,-0.406387,0.112321,-0.133331,-0.0177551,-0.0295613,0.00400912,0.675984,-0.110727,0.193906,0.246039,0.0291739,-0.102701,-5.26505e-06,0.577158,0.0603234,-0.0624546,0.190428,-0.0280389,-0.18076,1.26103e-05,0.441589,-0.0792125,0.13748,0.00114884,-0.00972428,-0.0167814,0.00903408,-0.0373887,0.0244649,0.00423064,0.0155016,0.0225657,-0.236374,-5.78746,-0.48571,-0.165504,-0.256185,4.32306,0.0309894,-5.01235,-1.07376,1.0476,4.91045,-15.8961,2.77788,-0.0258302,-3.60803,1.05496,1.31563,0.925309,-17.7693,3.44741,-0.0566533,5.10631,2.31938,-0.0390296,1.96981,-2.84247,-0.93566,1.06279,-0.0392582,2.4717,-1.8266,-0.713745,1.19676,-0.0429092,4.81497,0.148159,1.47704,0.090128,0.322287,-0.128985,-6.76942,-0.458027,-2.07975,-1.76346,0.455503,1.86042,1.77286e-06,-5.83248,0.681558,0.51744,-1.26131,-0.0849555,1.15155,4.2555e-06,-5.37125,-0.390481,-1.23872,0.639223,-0.107326,-0.0278,-0.0143311,2.2136,0.567221,-0.323067,0.45902,0.868797,-4.2498,0,0,1,1,-0.206445,0,-0.453526,0.00213509,-0.974997,0.145296,-0.634294,289.653,-43.1647,-0.202726,0,-0.90231,-0.00909169,1.31346,0.173137,-2.24928,324.949,42.8339,0.000208814,0.0441302,7.24662
0.08,-0.178627,-0.0244003,-0.030628,-0.152342,0.960971,-0.684875,0.194092,-0.136545,-0.0609515,0.0957527,0.157117,0.120606,-0.0964318,0.217859,-0.189842,-0.237673,0.160025,0.176923,0.134517,-0.0964656,0.113217,-0.0150657,0.042934,0.19153,-0.59724,-0.109886,2.01305,1.62456,0.3016,-0.48995,-0.00339693,1.96846,1.6952,-0.358237,0.113803,-0.118561,-0.0168538,-0.0263385,0.00271927,0.60829,-0.115307,0.173109,0.228405,0.0337289,-0.0840964,-5.24732e-06,0.518833,0.067139,-0.0572802,0.177815,-0.0288884,-0.169245,1.26528e-05,0.387877,-0.0831173,0.125093,0.00754106,-0.0107975,-0.0170594,0.00889077,-0.0152527,0.0301371,0.000999975,0.0200918,0.0312537,-0.278872,-5.6601,-0.877355,-0.211186,-0.230702,4.33103,0.0368949,-5.19118,-0.975564,1.05898,4.9319,-15.99,2.80442,-0.0257149,-3.6895,0.977755,1.3126,0.891339,-17.8645,3.47258,-0.0564818,5.19213,2.0653,-0.0396922,1.96078,-2.83175,-0.929001,1.06276,-0.039164,2.45333,-1.86449,-0.718949,1.18747,-0.0420525,5.11993,-0.531254,1.51244,0.10129,0.351871,-0.102478,-7.3398,0.367257,-1.97841,-2.0747,0.0500301,1.28778,1.74501e-06,-6.20234,-0.132295,0.426862,-1.31919,0.0133987,1.59277,4.19988e-06,-5.72135,0.216426,-1.38761,0.704262,-0.125482,0.155273,-0.183523,2.18719,0.492168,-0.556096,0.570214,0.713103,-3.29796,0,0,1,1,-0.205736,0,-0.453416,0.00285856,-0.979005,0.145972,-0.84623,289.819,-43.2126,-0.201976,0,-0.902434,-0.0102677,1.31405,0.173344,-2.53964,325.023,42.8757,0.000210061,0.0441786,7.18774
0.09,-0.181697,-0.0233154,-0.0316623,-0.152501,0.960743,-0.684858,0.199441,-0.137661,-0.0594182,0.0978293,0.157459,0.119894,-0.0964318,0.222427,-0.189184,-0.238203,0.161672,0.176636,0.132983,-0.0964655,0.116524,-0.0158753,0.0440462,0.191675,-0.597361,-0.110041,2.01312,1.62462,0.30195,-0.489996,-0.00313899,1.96885,1.69208,-0.307038,0.10849,-0.103437,-0.0158409,-0.0228197,0.00169449,0.534892,-0.111634,0.153324,0.207658,0.0342292,-0.0712187,-5.22987e-06,0.45681,0.065816,-0.0530116,0.164623,-0.0287544,-0.153317,1.26948e-05,0.330663,-0.080953,0.111217,0.0145837,-0.0120524,-0.0155066,0.00705554,0.0066192,0.0350588,-0.00456099,0.0257939,0.0383847,-0.311852,-5.61933,-1.22854,-0.255601,-0.182898,4.34215,0.0381159,-5.30842,-0.891916,1.06834,4.93942,-16.0935,2.8301,-0.0255815,-3.74471,0.895136,1.31107,0.860978,-17.9831,3.49779,-0.0563197,5.20388,1.82622,-0.0218625,1.96516,-2.82748,-0.923071,1.06126,-0.0391487,2.44877,-1.90433,-0.725384,1.17419,-0.04065,5.11,-1.10719,1.41327,0.0947878,0.358834,-0.0688096,-7.39766,1.09283,-1.81468,-2.19699,-0.317382,0.780427,1.7205e-06,-6.20204,-0.868622,0.243281,-1.32468,0.0834086,1.96902,4.1492e-06,-5.74453,0.746027,-1.37823,0.799266,-0.216534,0.421498,-0.393088,1.93515,0.525284,-0.801672,0.776205,0.40109,-1.64438,0,0,1,1,-0.205019,0,-0.45331,0.00363657,-0.983057,0.146652,-1.07294,290.042,-43.2684,-0.201168,0,-0.902569,-0.0115492,1.31499,0.173646,-2.85552,325.129,42.9336,0.000211227,0.0442191,7.21392
