Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0326496,0.024363,0.0233207,0.00694745,0.0152555,0,0.0289014,0.0238068,0.0110673,0.0195632,0.0148313,0.0100324,0,0,0.0229172,0.0112449,0.00648746,0.0121606,0.0194041,0.0154122,0.0172307,0.0139496,0.00931874,0.00515782,0.00564475,0.0138596,0,0.0292986,0.0204232,0.0123949,0.0209484,0,0,0.00707253,0.00941944,0.0279785,0.0209564,0.0082016,0.0121559,0.0225572,0.0204571,0.00766458,0.0105033,0.00747473,0.0116598,0.0105922,0.0111727,0.0124385,0.0133263,0.013,0.00684337
0,0.0132727,0.0157465,0.0184049,0.0101034,0.0116879,0,0.0434654,0.00250089,0.0118981,0.0188222,0.00920001,0.0201994,0,0,0.0161412,0.0189004,0.00815173,0.0195988,0.0117125,0.00818844,0.0123311,0.00962818,0.00519632,0.00447439,0.00666605,0.010891,0,0.0363726,0.0079366,0.0207516,0.0261249,0,0,0.00497477,0.00386358,0.0132346,0.0159639,0.0098026,0.0142361,0.0181678,0.0110544,0.00721385,0.00733097,0.000729547,0.0134863,0.00886242,0.010204,0.00817564,0.00239769,0.00519173,0.00582277
1,0.0133375,0.0151979,0.0181738,0.00968146,0.0116659,0,0.0435667,0.00230742,0.0116211,0.018661,0.00927434,0.020235,0,0,0.0165803,0.0192744,0.00848328,0.0200638,0.0117919,0.0080694,0.0121796,0.00951805,0.00506989,0.0046515,0.00685764,0.0106906,0,0.036552,0.00800472,0.0209259,0.0263395,0,0,0.00509684,0.00391956,0.0129596,0.0156133,0.00963638,0.0137371,0.0179349,0.0112865,0.00715823,0.00780559,0.00107173,0.013672,0.0086675,0.0100534,0.00818775,0.00244227,0.00529663,0.00547167
2,0.0134376,0.0146769,0.0180505,0.00927235,0.0116922,0,0.0436674,0.00213494,0.0113378,0.0184496,0.00934508,0.020309,0,0,0.0170077,0.019691,0.00882766,0.0205067,0.0118873,0.00796267,0.012194,0.00942516,0.00496955,0.00485493,0.00705778,0.0105959,0,0.0366574,0.0080641,0.0210775,0.0265513,0,0,0.00524526,0.00390507,0.0127588,0.0153272,0.00946615,0.0133284,0.0177072,0.0114503,0.00726902,0.00826963,0.00148784,0.0139249,0.00849353,0.0099314,0.00816598,0.00246762,0.00546177,0.00508157
3,0.0135472,0.0141805,0.0179992,0.00887905,0.0117425,0,0.0437676,0.00198956,0.0110451,0.0182042,0.00941152,0.020433,0,0,0.0174139,0.0201143,0.00917229,0.0209228,0.0119973,0.00786186,0.0125574,0.00934233,0.00490369,0.00507484,0.00726696,0.0105958,0,0.0367215,0.00814585,0.0211831,0.0267619,0,0,0.00540838,0.0038684,0.0126059,0.0150928,0.00927843,0.0130068,0.0174788,0.0115605,0.00748347,0.00874111,0.0018609,0.01423,0.0083728,0.00984664,0.00816369,0.0025799,0.00565378,0.00466861
4,0.013649,0.013706,0.0179561,0.00850013,0.0117874,0,0.0438709,0.00187928,0.0107449,0.0179665,0.00947357,0.0205553,0,0,0.0178016,0.0205052,0.00951963,0.0213156,0.0121245,0.00776256,0.0131567,0.00925984,0.00488799,0.00529844,0.00747767,0.0106641,0,0.0367835,0.00826676,0.0212508,0.026943,0,0,0.00556556,0.00387584,0.0124665,0.0148622,0.00908289,0.0127584,0.0172516,0.0116491,0.00770496,0.00923734,0.00230624,0.0145596,0.0082986,0.00980308,0.00822323,0.00289712,0.00583394,0.00426301
5,0.0137542,0.0132575,0.0178813,0.00813005,0.0118277,0,0.0439741,0.00181114,0.0104513,0.0177633,0.00952186,0.0205903,0,0,0.0181881,0.0208712,0.00988583,0.0216909,0.0122625,0.00767363,0.0135293,0.00918498,0.0049287,0.00551902,0.00768337,0.0107767,0,0.0368397,0.00838946,0.0213252,0.027056,0,0,0.00570756,0.00393246,0.0123455,0.014615,0.00893166,0.0125371,0.0170486,0.011751,0.0079128,0.00974368,0.00281822,0.0148899,0.00821407,0.00978512,0.00830295,0.00333256,0.00600278,0.00388497
6,0.0138641,0.012849,0.0177847,0.0077737,0.0118813,0,0.0440633,0.00178131,0.0101769,0.017579,0.00954199,0.020556,0,0,0.0185763,0.0212391,0.0102572,0.0220485,0.0123808,0.0076019,0.0135089,0.00913577,0.00502133,0.00571874,0.00788359,0.0109313,0,0.0368759,0.00848687,0.0214148,0.0271272,0,0,0.00583456,0.0040012,0.0122675,0.0143922,0.00885405,0.012291,0.016878,0.0118877,0.00813444,0.010224,0.0033013,0.0152156,0.00812023,0.00976764,0.00836154,0.00374037,0.00617494,0.00353498
7,0.0139616,0.0124974,0.0177174,0.00744721,0.0119451,0,0.0441302,0.00176867,0.00991904,0.0173885,0.00954098,0.0205344,0,0,0.0189348,0.0216099,0.0106022,0.0223938,0.0124656,0.00754271,0.0133824,0.0091268,0.00515379,0.00587774,0.00807704,0.0111322,0,0.0369062,0.00857798,0.0214852,0.027222,0,0,0.00593566,0.00407131,0.012247,0.014218,0.00880933,0.012037,0.0167137,0.012045,0.00836706,0.0106599,0.00373729,0.0155436,0.00807408,0.00973047,0.00843677,0.00409701,0.00633889,0.0031978
8,0.0140357,0.0122116,0.0177126,0.00715544,0.0119936,0,0.0441786,0.00175507,0.00967578,0.017187,0.00954511,0.0205123,0,0,0.01923,0.0219701,0.0109222,0.0227369,0.012536,0.0074917,0.0133621,0.00915411,0.00531207,0.00600697,0.00825677,0.0113622,0,0.0369376,0.00867241,0.0215306,0.027335,0,0,0.00600388,0.00415197,0.0122856,0.0140632,0.00874893,0.0118248,0.0165502,0.0121831,0.00859023,0.0110664,0.00410141,0.0158665,0.00807594,0.00966048,0.00856159,0.00444369,0.00647239,0.00285929
9,0.0140825,0.0119899,0.0177271,0.00688339,0.0120073,0,0.0442191,0.00174387,0.0094691,0.0169822,0.00956558,0.0204333,0,0,0.0194749,0.0223079,0.0112274,0.0230663,0.0126023,0.00745342,0.0133771,0.00918103,0.00548682,0.00613371,0.008413,0.0115918,0,0.036944,0.0087547,0.0215772,0.0274073,0,0,0.00606185,0.00423499,0.012367,0.0139094,0.00868356,0.011672,0.0164116,0.0122848,0.00879842,0.0114533,0.0043701,0.0161576,0.00808994,0.00956705,0.00867651,0.00478148,0.00657834,0.00252921
10,0.014111,0.0118256,0.017705,0.00662241,0.0119887,0,0.0442632,0.00174662,0.00933197,0.0167888,0.00959444,0.020352,0,0,0.0197166,0.0226051,0.0115,0.0233486,0.0126627,0.00743783,0.0133603,0.00917964,0.00566814,0.00626009,0.00854078,0.0118083,0,0.0369097,0.00882204,0.021611,0.0274294,0,0,0.00613654,0.00429841,0.0124632,0.0137786,0.00864902,0.0115771,0.0162822,0.0123756,0.00899617,0.0117996,0.00468711,0.0164084,0.00811641,0.00949193,0.00870628,0.00509059,0.0066744,0.00223699
11,0.0141521,0.0117145,0.017668,0.00638845,0.0119562,0,0.0443075,0.00176456,0.00926441,0.0166276,0.00963192,0.0203815,0,0,0.0199738,0.0228405,0.0117309,0.0235734,0.0127191,0.00744891,0.013368,0.00917695,0.00584593,0.00637125,0.00864242,0.0120057,0,0.036866,0.00887985,0.0215796,0.0274213,0,0,0.00622097,0.00432615,0.0125556,0.0136925,0.00864032,0.0115197,0.0161341,0.012484,0.00919595,0.0120989,0.00514377,0.0166421,0.00814189,0.00946179,0.0086696,0.00538562,0.0067588,0.00199347
12,0.0142165,0.0116512,0.0176632,0.00619481,0.0119292,0,0.0443257,0.00178715,0.00922768,0.016503,0.00968833,0.0205214,0,0,0.0202247,0.0230207,0.011941,0.0237723,0.0127729,0.00747351,0.0134172,0.00920413,0.00602133,0.00647097,0.00872189,0.0121636,0,0.0368449,0.00892225,0.0214813,0.0273806,0,0,0.00628707,0.00432094,0.0126345,0.0136472,0.00861846,0.0114499,0.016014,0.0126024,0.00940645,0.0123771,0.00552923,0.0168712,0.00813115,0.00943984,0.00863796,0.00566671,0.00681882,0.00177671
13,0.0142613,0.0115924,0.0176819,0.00602218,0.0119269,0,0.0442992,0.0018063,0.00919955,0.0163991,0.0097537,0.0206437,0,0,0.020449,0.023188,0.0121473,0.0239789,0.0128298,0.00749187,0.0134281,0.00924594,0.00620079,0.00656845,0.0087795,0.0122701,0,0.0368246,0.0089495,0.0213751,0.0273567,0,0,0.00632583,0.00429994,0.0126991,0.0136234,0.0085762,0.0113317,0.0159733,0.0127079,0.00960006,0.0126439,0.00568571,0.0170783,0.00811259,0.00938129,0.00863633,0.00586667,0.00686102,0.00156798
14,0.0142482,0.0114494,0.0176927,0.00583922,0.0119757,0,0.0442419,0.0018257,0.00920152,0.0163072,0.00979922,0.0206589,0,0,0.0206507,0.0233802,0.0123468,0.0241946,0.0129001,0.00750243,0.0133417,0.00928573,0.00638168,0.00664596,0.0088173,0.0123491,0,0.0367726,0.00897345,0.0212967,0.0274422,0,0,0.00634791,0.00426316,0.0127696,0.0136044,0.00855527,0.0111844,0.0159559,0.0128048,0.00973901,0.0128759,0.0057834,0.0172465,0.00814576,0.00931347,0.00864149,0.00594358,0.00689428,0.001388
15,0.0142099,0.0112349,0.0176828,0.00563979,0.0120651,0,0.0441633,0.00183957,0.00924745,0.0162251,0.009819,0.0206133,0,0,0.0208424,0.0235844,0.012528,0.024403,0.0129785,0.00752071,0.0132138,0.00933795,0.00655772,0.00668019,0.00884142,0.0124219,0,0.0367112,0.00898904,0.0212466,0.0275886,0,0,0.00634567,0.00420396,0.0128439,0.0135777,0.00857646,0.0110628,0.0158733,0.0129159,0.00984514,0.013057,0.00590944,0.017378,0.008196,0.0092805,0.00862843,0.00594942,0.00690327,0.00128307
16,0.0141961,0.0112102,0.0176508,0.00543686,0.0120836,0,0.0440372,0.00181038,0.00931005,0.0161425,0.0098226,0.0205753,0,0,0.0210273,0.0237588,0.0126773,0.0245975,0.0130458,0.00755528,0.0131886,0.00941302,0.0067282,0.00667346,0.00884455,0.0124362,0,0.0366727,0.00897256,0.0212228,0.0275936,0,0,0.00629676,0.00416099,0.0128406,0.0135297,0.00860045,0.0109951,0.0157306,0.0130452,0.00996888,0.0131934,0.00593439,0.0174856,0.00814414,0.00924681,0.00858397,0.00593893,0.00687154,0.00126736
