time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0.02,0.240042,0.0514264,0.20736,-0.300907,1.03754,-0.238012,0.199431,-0.0625006,-0.295535,-0.0132983,0.211471,0.263447,-0.0668681,-0.51059,-0.0265054,-0.201227,0.12113,0.439781,0.490782,-0.0844476,-0.490439,0.0394031,-0.105072,-0.360494,-0.101242,-0.349585,0.470107,2.14337,0.275599,-0.285484,-0.11829,0.925553,2.06271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0310965,0,-0.205848,0.0909837,0.860509,0.259694,3.27463,30.9709,9.34676,0,0,0,0,0,0,0,0,0,0.00059982,0.0677904,0
0.03,0.239476,0.0459636,0.213832,-0.285706,1.0379,-0.237791,0.194957,-0.052963,-0.288505,-0.00658292,0.206628,0.247524,-0.0668752,-0.519449,-0.0418658,-0.212914,0.129742,0.440295,0.508102,-0.0843794,-0.488829,0.0455995,-0.106182,-0.368918,-0.0980705,-0.353877,0.469168,2.14424,0.276688,-0.290408,-0.118531,0.944836,2.06592,-0.056586,-0.546274,0.647195,1.52011,0.0353558,0.0220996,-0.447433,0.953769,0.703041,0.671541,-0.484252,-1.59234,-0.000716245,-0.885953,-1.53604,-1.16862,0.861219,0.0513695,1.73201,0.00681891,0.16101,0.619645,-0.110987,-0.842398,0.317123,-0.429185,-0.0939102,0.0863104,0.108856,-0.492408,-0.0240838,1.92835,0.320507,-56.7947,-2.06007,-3.49962,114.625,797.066,25.7969,-15.1434,7.44632,-0.0988455,8.99044,1.41741,-1.33941,0.0120976,11.0139,-0.781989,0.599144,0.343535,0.481072,0.00735231,-0.0052781,11.7695,-2.15813,4.75476,0.952485,-2.75897,-0.315037,1.43059,-0.0497407,-4.03038,-0.939759,0.0214216,-0.0516055,-0.00578584,4.42728,-7.89812,-4.7486,2.57078,1.87772,1.43733,-19.9523,16.7403,24.0607,-26.0692,-59.0585,-22.6417,1.12258e-05,10.6025,-12.4413,0.61865,26.5195,-31.1265,-17.9531,0.000150969,0.302175,4.47114,3.7927,14.6806,-4.31221,6.72115,-4.87819,-1.78232,-24.6825,4.71583,-12.5477,-5.58726,-1.55243,0,0,1,0,0.0469108,0,-0.206809,0.0509279,0.900935,0.219122,2.8202,49.8905,12.1342,0,0,0,0,0,0,0,0,0,0.000536167,0.0658065,807.688
0.04,0.239353,0.0397111,0.219829,-0.270248,1.03844,-0.237426,0.188488,-0.0417512,-0.279068,-0.00247443,0.19588,0.229336,-0.0668824,-0.527248,-0.0584703,-0.224538,0.141006,0.437696,0.523627,-0.0843112,-0.487189,0.0522431,-0.106913,-0.375874,-0.0953305,-0.357496,0.467741,2.14492,0.275308,-0.294861,-0.120027,0.963561,2.06897,-0.0123132,-0.625255,0.599709,1.54582,0.054133,0.0364729,-0.646956,1.12117,0.943648,0.410849,-1.07484,-1.81876,-0.000716132,-0.779928,-1.66045,-1.16243,1.12641,-0.259896,1.55248,0.00682042,0.164032,0.664356,-0.0730599,-0.695591,0.274001,-0.361974,-0.142692,0.0684872,-0.137969,-0.445249,-0.149561,1.87248,0.304983,-63.145,0.736065,-3.96999,115.345,776.189,23.1919,-22.0778,10.0412,-0.269748,12.2956,2.10413,-1.54657,0.0105664,11.0876,-0.997287,0.603044,0.412003,0.493035,0.0147035,-0.00637468,12.0329,-2.19514,4.66615,0.867631,-2.67813,-0.301813,1.40412,-0.0485175,-3.89591,-0.958504,0.0109842,-0.00606459,-0.00722384,4.40831,-7.6528,-4.82475,2.55431,1.89531,1.41716,-19.5452,16.1626,22.9189,-25.247,-57.8073,-21.1963,7.2125e-06,10.5804,-11.9936,1.47212,26.5715,-31.5974,-19.2022,0.000152231,0.279315,4.2072,3.7846,14.6197,-4.34321,6.72079,-4.75739,-1.67655,-24.6136,4.79667,-12.4777,-5.80746,-1.60015,0,0,1,0,0.0566157,0,-0.206703,0.0246673,0.939249,0.195686,1.92216,73.1896,15.2486,0,0,0,0,0,0,0,0,0,0.000481911,0.0638449,787.601
0.05,0.23967,0.0326932,0.225344,-0.254534,1.03917,-0.23692,0.180064,-0.0289233,-0.26734,-0.000890646,0.179351,0.209029,-0.0668895,-0.53399,-0.0762742,-0.236015,0.154927,0.431937,0.537231,-0.084243,-0.485521,0.0593074,-0.107265,-0.381368,-0.0930248,-0.360444,0.465838,2.14544,0.271467,-0.298833,-0.12277,0.981705,2.07185,0.0317699,-0.701783,0.551462,1.57136,0.073086,0.0506446,-0.842408,1.2828,1.17284,0.158379,-1.65291,-2.03072,-0.00071606,-0.674124,-1.78039,-1.14771,1.39213,-0.57587,1.36046,0.00682194,0.166825,0.706428,-0.035214,-0.549394,0.230568,-0.294766,-0.190266,0.0517217,-0.384105,-0.397283,-0.274339,1.8144,0.288981,-67.4626,3.60864,-4.287,118.682,754.58,19.5602,-28.016,12.1767,-0.622305,15.25,3.08229,-1.79903,0.00800382,11.3339,-0.950939,0.6583,0.538107,0.496146,0.0248988,-0.00711997,12.7204,-2.25824,4.68819,0.769729,-2.62793,-0.292932,1.37998,-0.0471348,-3.81154,-0.984678,-0.00106805,0.0315658,-0.00851937,4.43999,-6.90706,-5.09917,2.51553,1.94825,1.34994,-18.3599,14.4821,19.3207,-22.6021,-53.7585,-16.8495,3.47857e-06,10.4856,-10.7045,3.89946,26.7243,-33.0906,-22.8593,0.000153634,0.129812,3.47338,3.84954,14.3749,-4.41943,6.64713,-4.28392,-1.30889,-24.343,5.03956,-12.2098,-6.47902,-1.75529,0,0,1,0,0.0637084,0,-0.206283,0.00441288,0.97291,0.179151,0.45796,100.967,18.5919,0,0,0,0,0,0,0,0,0,0.000436931,0.061937,767.099
0.06,0.240432,0.0249847,0.230349,-0.238569,1.0401,-0.236279,0.169803,-0.0146471,-0.253679,-0.00156707,0.157446,0.187037,-0.0668967,-0.539682,-0.0951485,-0.247102,0.171521,0.422869,0.54855,-0.0841748,-0.48384,0.066719,-0.107232,-0.385424,-0.0911611,-0.362727,0.463507,2.14582,0.265192,-0.302302,-0.126734,0.999201,2.07457,0.0761698,-0.770854,0.50047,1.59652,0.0925685,0.064144,-1.02601,1.42762,1.36604,-0.0676421,-2.1905,-2.19922,-0.000716025,-0.569268,-1.88743,-1.10872,1.65937,-0.906776,1.13187,0.00682347,0.168123,0.741162,0.00328148,-0.405645,0.186374,-0.228295,-0.233105,0.0386328,-0.627535,-0.346887,-0.396437,1.74961,0.271428,-68.1317,6.11939,-4.61204,125.643,731.54,15.2992,-32.4375,13.1001,-1.18234,17.6367,4.37564,-2.08639,0.00421113,12.256,-0.680106,0.760818,0.576833,0.486571,0.0365077,-0.00705485,14.0115,-2.35092,4.88092,0.637981,-2.61207,-0.289595,1.35475,-0.0453912,-3.77671,-1.01542,-0.013686,0.0620069,-0.00973517,4.62572,-5.62445,-5.65775,2.43858,2.03883,1.2346,-16.2264,11.5279,12.5076,-17.4383,-45.8327,-9.08507,-1.14653e-08,10.4145,-8.47377,8.0187,27.0853,-35.9879,-29.3217,0.000155168,-0.269882,2.23956,4.16361,13.7978,-4.52212,6.36234,-3.18615,-0.538374,-23.6856,5.48917,-11.5702,-7.74186,-2.09109,0,0,1,0,0.0694937,0,-0.205738,-0.0127432,0.994866,0.164594,-1.70412,133.041,22.0107,0,0,0,0,0,0,0,0,0,0.000401449,0.0601286,745.568
0.07,0.241656,0.0167137,0.234788,-0.22236,1.04123,-0.235514,0.157921,0.000781908,-0.238768,-0.00398732,0.130957,0.164136,-0.0669039,-0.544334,-0.11487,-0.257387,0.190823,0.410203,0.556936,-0.0841065,-0.482185,0.0743546,-0.106783,-0.388101,-0.0897495,-0.364374,0.460857,2.14616,0.256548,-0.305222,-0.131856,1.01592,2.07707,0.122427,-0.827099,0.443892,1.6209,0.112957,0.0764899,-1.18827,1.5429,1.49112,-0.242025,-2.64882,-2.29007,-0.000716026,-0.465123,-1.97217,-1.02853,1.93023,-1.26665,0.838649,0.00682503,0.165425,0.763558,0.0449176,-0.267667,0.141153,-0.164671,-0.264967,0.0332491,-0.864392,-0.291995,-0.512139,1.67219,0.250517,-63.6156,8.06907,-5.31221,136.598,704.495,11.0319,-35.3581,12.247,-1.92042,19.386,5.97287,-2.39245,-0.000698738,14.9689,-0.371253,0.869631,0.150912,0.466819,0.0457162,-0.00579245,15.956,-2.46045,5.30513,0.456931,-2.6332,-0.292751,1.32478,-0.0431685,-3.78403,-1.04701,-0.0259722,0.0878542,-0.0110169,4.94387,-3.97879,-6.50316,2.29492,2.14187,1.09247,-13.111,7.53737,2.61232,-9.68424,-33.8382,1.47059,-3.30931e-06,10.8831,-5.52923,13.3547,27.881,-40.3717,-38.1432,0.000156977,-0.91777,0.648478,4.92153,12.7842,-4.60316,5.74338,-1.25509,0.674571,-22.4366,6.12743,-10.3723,-9.60316,-2.71851,0,0,1,0,0.0745915,0,-0.205115,-0.0275346,0.995719,0.149101,-4.67271,168.977,25.3029,0,0,0,0,0,0,0,0,0,0.000375143,0.058464,720.579
0.08,0.243375,0.00804484,0.238576,-0.205921,1.04257,-0.23464,0.144727,0.0169646,-0.223596,-0.00737599,0.101085,0.141382,-0.066911,-0.547897,-0.135145,-0.266337,0.212914,0.393499,0.561509,-0.0840382,-0.480623,0.082055,-0.105842,-0.389499,-0.0887983,-0.365446,0.458082,2.14656,0.24566,-0.307529,-0.138014,1.03168,2.07931,0.171866,-0.866887,0.378861,1.64385,0.134376,0.0874146,-1.31938,1.61827,1.51724,-0.338868,-2.98721,-2.27536,-0.000716059,-0.356292,-2.02746,-0.894983,2.20904,-1.67037,0.457217,0.0068266,0.156247,0.770043,0.0941329,-0.139825,0.0951214,-0.107237,-0.277518,0.0399948,-1.08876,-0.230721,-0.615862,1.57616,0.223332,-54.0153,9.51246,-6.71758,149.588,669.748,7.59833,-37.4553,9.53173,-2.71926,20.6066,7.82107,-2.6906,-0.00634295,20.2162,-0.326504,0.901432,-0.994412,0.441294,0.0490407,-0.00327274,18.336,-2.54488,5.99853,0.227082,-2.69267,-0.30255,1.28877,-0.040472,-3.81754,-1.07295,-0.0368901,0.113288,-0.0125653,5.15887,-2.41488,-7.48652,2.04224,2.19948,0.963964,-9.14086,3.24639,-8.80638,-0.281568,-18.9021,12.4778,-6.44134e-06,12.7404,-2.58668,18.4659,29.7166,-45.835,-47.4928,0.000159347,-1.59842,-0.91558,6.24918,11.3344,-4.60969,4.74834,1.59123,2.26867,-20.4322,6.87767,-8.50938,-11.8898,-3.73545,0,0,1,0,0.0793384,0,-0.204407,-0.0392772,0.964473,0.130724,-8.47801,208.182,28.2168,0,0,0,0,0,0,0,0,0,0.000356878,0.0569816,688.513
0.09,0.24561,-0.000865511,0.241616,-0.189279,1.04413,-0.233669,0.130619,0.033472,-0.209304,-0.0107928,0.0693231,0.119876,-0.0669182,-0.550185,-0.155678,-0.273441,0.237976,0.372212,0.561331,-0.08397,-0.47922,0.0896639,-0.104275,-0.389764,-0.0883081,-0.366044,0.455466,2.14718,0.23273,-0.309149,-0.145024,1.04626,2.08117,0.223454,-0.891035,0.303996,1.66427,0.15637,0.0970542,-1.41079,1.65074,1.42918,-0.341683,-3.17623,-2.15058,-0.000716123,-0.228888,-2.05333,-0.710324,2.5062,-2.12872,-0.0177109,0.00682819,0.140263,0.760887,0.156625,-0.0264813,0.0490245,-0.059754,-0.261605,0.0626815,-1.29308,-0.161945,-0.700956,1.45726,0.185978,-43.117,10.3252,-8.44587,158.203,624.973,6.23589,-39.5567,5.31671,-3.4611,21.448,9.84077,-2.94521,-0.0123786,26.3387,-0.595722,0.834079,-2.32415,0.400875,0.0468785,3.84668e-05,20.518,-2.49995,6.989,-0.0207647,-2.78845,-0.317112,1.25147,-0.0375252,-3.84723,-1.08783,-0.0459023,0.143412,-0.0146311,4.57282,-1.23926,-8.32204,1.60872,2.1175,0.872392,-4.00715,-0.867317,-20.6541,9.60061,-2.16636,23.0614,-9.29526e-06,16.7152,-0.130213,22.6127,33.1794,-51.787,-56.1686,0.000162316,-1.75124,-2.22539,7.9994,9.62045,-4.4968,3.49653,5.23921,3.99797,-17.5259,7.61634,-5.94656,-14.3438,-5.25468,0,0,1,0,0.083925,0,-0.20359,-0.0464936,0.889549,0.10839,-13.0659,249.986,30.4604,0,0,0,0,0,0,0,0,0,0.000344931,0.0557107,646.293
0.1,0.248301,-0.00989979,0.243824,-0.172475,1.04591,-0.232611,0.11611,0.0498926,-0.197078,-0.0132496,0.0373442,0.100677,-0.0669253,-0.550803,-0.176225,-0.278282,0.266355,0.345746,0.555537,-0.0839017,-0.477993,0.0970502,-0.101909,-0.389067,-0.0882675,-0.366291,0.453374,2.14821,0.218046,-0.310007,-0.152628,1.0594,2.0825,0.269183,-0.903428,0.220775,1.68036,0.177545,0.105778,-1.45086,1.64206,1.22264,-0.245677,-3.19789,-1.91997,-0.000716216,-0.0617362,-2.05463,-0.484197,2.838,-2.64659,-0.579397,0.00682981,0.12275,0.738633,0.236619,0.0697231,0.0040565,-0.0247887,-0.209213,0.102661,-1.46834,-0.0857811,-0.760422,1.31382,0.133431,-33.6437,10.7447,-10.0092,157.979,568.63,6.7843,-42.223,0.395383,-4.01334,22.0253,11.9271,-3.12308,-0.0184646,32.1689,-0.973515,0.652643,-3.49899,0.351528,0.0442329,0.00311868,22.0752,-2.32349,8.20114,-0.255617,-2.91428,-0.334239,1.21657,-0.0346232,-3.85544,-1.0856,-0.0515765,0.177984,-0.017261,2.70985,-0.523833,-8.82685,0.963928,1.82418,0.816655,2.33724,-4.53814,-31.8061,18.8096,15.1615,32.9422,-1.17981e-05,23.0667,1.73993,25.5191,38.1272,-57.2526,-63.0249,0.000165801,-0.95902,-3.24985,9.86735,7.85582,-4.30668,2.23599,9.37292,5.49488,-13.7942,8.22078,-2.82966,-16.7143,-7.31894,0,0,1,0,0.0884654,0,-0.202648,-0.0474464,0.760562,0.0821929,-18.3205,293.675,31.7371,0,0,0,0,0,0,0,0,0,0.000337432,0.0546643,591.346
0.11,0.251264,-0.0189865,0.245149,-0.155575,1.04787,-0.231472,0.101836,0.0658594,-0.188032,-0.0138254,0.00688144,0.0847713,-0.0669325,-0.549113,-0.196597,-0.280573,0.298548,0.313555,0.543441,-0.0838334,-0.476861,0.104112,-0.0985563,-0.387584,-0.0886576,-0.366316,0.452219,2.14979,0.201983,-0.310042,-0.160515,1.07086,2.0831,0.296281,-0.908666,0.132507,1.69,0.195787,0.113945,-1.42749,1.59668,0.904577,-0.0575816,-3.04627,-1.59055,-0.000716334,0.168931,-2.03723,-0.229005,3.21927,-3.21912,-1.20965,0.00683147,0.11316,0.706134,0.335292,0.148281,-0.0390103,-0.00242879,-0.115484,0.15761,-1.60628,-0.00357329,-0.788718,1.14668,0.0602415,-26.974,11.2346,-10.9607,147.091,500.498,8.04312,-45.6901,-4.1736,-4.22231,22.3709,13.9594,-3.20616,-0.0243253,37.1524,-1.10133,0.334319,-4.40154,0.314732,0.0485382,0.00443813,22.7939,-2.12443,9.46661,-0.452572,-3.05541,-0.351225,1.18551,-0.0320508,-3.83537,-1.06179,-0.0524291,0.212474,-0.0202669,-0.426195,-0.245619,-8.88058,0.126635,1.29803,0.777323,9.36802,-7.49125,-40.8026,26.1202,31.5977,41.5312,-1.38826e-05,31.3647,3.07056,27.1542,43.7388,-60.8823,-66.8092,0.000169561,0.809099,-3.9506,11.4855,6.26645,-4.14772,1.29232,13.548,6.34252,-9.50509,8.59689,0.526241,-18.757,-9.8273,0,0,1,0,0.0930269,0,-0.201575,-0.0406412,0.570732,0.0535963,-24.1056,338.519,31.7897,0,0,0,0,0,0,0,0,0,0.000332699,0.0538358,522.659
