Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0449938,0.0196187,0.0169181,0.0122002,0.01092,0,0.027742,0.00821524,0.0148215,0.0150941,0.0301618,0.0261761,0,0,0.0247367,0.0190136,0.0141131,0.0115059,0.0167518,0.0164466,0.0158031,0.0156954,0.00807631,0.00609832,0.0056327,0.0100164,0,0.0225966,0.00904603,0.0193661,0.0208948,0,0,0.0129706,0.00614359,0.0254341,0.0140507,0.00957087,0.0162981,0.0150854,0.0139461,0.00976766,0.0128987,0.0124679,0.00996223,0.0175816,0.010071,0.0105912,0.0122806,0.0101772,0.0110024
0,0.0646059,0.018841,0.0435771,0.0338431,0.0206522,0,0.0268853,0.0216837,0.0315778,0.0413296,0.0203563,0.00890683,0,0,0.0234782,0.0309557,0.0260562,0.0198158,0.0452523,0.0461835,0.0372406,0.037008,0.0169697,0.0215973,0.0232573,0.0078669,0,0.0134103,0.0262429,0.0255912,0.0230389,0,0,0.0106734,0.0226128,0.0131035,0.0242602,0.0242079,0.0192568,0.0307023,0.0169429,0.0209506,0.0251221,0.0232465,0.0209053,0.025211,0.016832,0.0227543,0.0227032,0.0201131,0.0299915
1,0.0589606,0.0159922,0.0377051,0.0261304,0.0160674,0,0.0280639,0.0166402,0.0262041,0.0347196,0.0199641,0.0100869,0,0,0.0177618,0.0254846,0.0204297,0.0136899,0.0388233,0.0401531,0.0304544,0.0299141,0.0110436,0.0155313,0.017264,0.00364797,0,0.00848846,0.0205035,0.02461,0.0196981,0,0,0.00481936,0.0161154,0.0183852,0.018088,0.0211993,0.0140267,0.0268629,0.0138745,0.0162116,0.0204306,0.0184153,0.0160315,0.0214642,0.0107948,0.0163475,0.0163426,0.0135605,0.0274679
2,0.0540859,0.0146097,0.032636,0.0197994,0.013179,0,0.0300052,0.0128536,0.0215682,0.0283984,0.0211851,0.013378,0,0,0.0145871,0.0207952,0.0156697,0.00874779,0.0332655,0.0347441,0.024786,0.0236801,0.008473,0.0107189,0.0124598,0.00650002,0,0.00684704,0.0157147,0.0250526,0.0183044,0,0,0.00351988,0.0104258,0.02374,0.0129041,0.0182881,0.00969928,0.0236032,0.0130601,0.0130569,0.0170871,0.0149103,0.0128117,0.0194232,0.00599031,0.0107849,0.0111072,0.00804075,0.0250161
3,0.0500183,0.0143513,0.0284124,0.0147159,0.0120092,0,0.0321298,0.010487,0.017795,0.0226011,0.0231032,0.0168232,0,0,0.0140207,0.0166955,0.0116876,0.00502819,0.0286393,0.03001,0.020274,0.0183245,0.00873555,0.00704485,0.00869358,0.0107242,0,0.008684,0.0119565,0.0262762,0.0184104,0,0,0.0073275,0.00564704,0.028461,0.00888707,0.0155443,0.00630126,0.0208373,0.0141019,0.0117525,0.0153604,0.0130416,0.0116102,0.0188846,0.00404558,0.00618827,0.00721425,0.00391452,0.022622
4,0.0467772,0.0146888,0.0250559,0.010732,0.012048,0,0.0340479,0.00945433,0.01506,0.0176433,0.0250722,0.0198249,0,0,0.015039,0.0130287,0.00842215,0.00297282,0.0249139,0.026006,0.0168634,0.0139015,0.00975291,0.00441805,0.00581591,0.0142393,0,0.0114491,0.00927023,0.0276682,0.0192093,0,0,0.0109489,0.00194867,0.0323061,0.00629042,0.0132292,0.00405827,0.0184873,0.0159908,0.0120351,0.0152203,0.0128361,0.0121228,0.0193252,0.00591907,0.00297134,0.00501656,0.0026127,0.0204454
5,0.0443172,0.0151755,0.0225041,0.00770701,0.0125665,0,0.0355543,0.00928479,0.0133612,0.0137698,0.0267759,0.0222425,0,0,0.0165612,0.0097035,0.00588079,0.00295015,0.0219371,0.0226888,0.0143922,0.0103926,0.010338,0.00291499,0.00377089,0.0168574,0,0.0138818,0.00754981,0.0288265,0.020042,0,0,0.0137264,0.00129751,0.035214,0.00522027,0.0116021,0.00330865,0.0164787,0.0179438,0.0130944,0.016155,0.0137548,0.0134258,0.0201837,0.00845494,0.00238034,0.0044799,0.00383087,0.0186265
6,0.0425427,0.0155726,0.0206246,0.00564451,0.013088,0,0.0365825,0.00944484,0.0125107,0.0111865,0.0281001,0.0240815,0,0,0.0181188,0.0068739,0.0044525,0.00370553,0.0195223,0.01992,0.0126726,0.00768922,0.0102758,0.00261063,0.00262079,0.0186251,0,0.0157172,0.00653448,0.0295682,0.0205742,0,0,0.0156612,0.00303711,0.0372231,0.0052169,0.0106853,0.00366312,0.014741,0.0195982,0.0142515,0.0175406,0.0151415,0.0148007,0.0210773,0.0104789,0.00343041,0.00468348,0.00481016,0.0171882
7,0.0413378,0.0158023,0.0192569,0.0047397,0.0134281,0,0.0371498,0.00961543,0.0122456,0.0100205,0.0290324,0.0254046,0,0,0.0196346,0.00528968,0.00480141,0.00439884,0.0175283,0.0175129,0.0115767,0.00563154,0.00970594,0.00293949,0.0023316,0.0196574,0,0.0169808,0.00591047,0.0298619,0.0207104,0,0,0.0168749,0.00415424,0.038427,0.00554995,0.0101868,0.00423964,0.0132165,0.0208389,0.0151705,0.0189375,0.0166091,0.0159122,0.0218199,0.0118261,0.00416601,0.00494284,0.00510776,0.0160237
8,0.040592,0.0158689,0.0182555,0.00491159,0.0135583,0,0.0373091,0.00966938,0.012334,0.0101039,0.0296071,0.0262925,0,0,0.0211465,0.00591386,0.00643663,0.00498558,0.0158987,0.0152865,0.0110628,0.00408832,0.00881317,0.00327566,0.00245296,0.0200865,0,0.0177839,0.00543262,0.0297591,0.0204834,0,0,0.0175186,0.00470822,0.038943,0.00582562,0.00971024,0.00469478,0.011872,0.0216532,0.0157187,0.0200935,0.0180115,0.0166257,0.0223584,0.0125412,0.00439667,0.00526308,0.00492493,0.0149526
